time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/std,eval/mean_reward,eval/mean_ep_length
60,1,32768,301.0,-233.00496,539,,,,,,,,,,,,,
136,2,65536,301.0,-130.9494,479,-0.00954955086363043,0.00030297040939331055,0.009039607,0.2,-5.669556907191873,96.34044889807701,0.1740478515625,10,42.693050384521484,0.001,0.9952995777130127,,
213,3,98304,301.0,-11.265795,461,-0.015743891249258013,0.044463276863098145,0.00919276,0.2,-5.634472584724426,88.92393036782741,0.1369232177734375,20,44.38778305053711,0.001,0.98899245262146,,
290,4,131072,301.0,153.84421,451,-0.018090388682958293,0.34336650371551514,0.01129945,0.2,-5.6258626859635115,120.10846318602562,0.147601318359375,30,47.7221565246582,0.001,0.9860095977783203,,
367,5,163840,301.0,195.60936,445,-0.010148217738992571,0.10829538106918335,0.010173376,0.2,-5.614905837923288,1236.1625762939452,0.1292694091796875,40,75.06661987304688,0.001,0.9837218523025513,,
444,6,196608,301.0,81.51191,441,-0.004022063351158067,0.04590892791748047,0.007669625,0.2,-5.601484990119934,3195.7487165212633,0.07115478515625,50,3411.206787109375,0.001,0.9791512489318848,,
530,7,229376,301.0,68.254486,432,-0.005873474282907409,0.006083250045776367,0.009476978,0.2,-5.56049156151712,1126.5804428100587,0.0902008056640625,60,149.36456298828125,0.001,0.9695613384246826,,
608,8,262144,301.0,19.977654,430,-0.002468414901250071,0.021084368228912354,0.007177121,0.2,-5.529730420187116,1057.37162733078,0.058258056640625,70,937.942138671875,0.001,0.9610466361045837,,
686,9,294912,301.0,81.04801,429,-0.00260733813229308,0.3398939371109009,0.0052486565,0.2,-5.502799699082971,548.0026845216751,0.0429290771484375,80,120.38440704345703,0.001,0.9524596929550171,,
764,10,327680,301.0,73.87329,428,-0.002815844282031321,0.31854891777038574,0.0063845636,0.2,-5.443920505046845,1085.4880997776986,0.05751953125,90,254.47434997558594,0.001,0.9400280714035034,,
841,11,360448,301.0,-9.910968,428,-0.00289986381185372,0.39792001247406006,0.0072731883,0.2,-5.384868336841464,839.6052886962891,0.06324462890625,100,160.3809356689453,0.001,0.9326121807098389,,
920,12,393216,301.0,43.02534,427,-0.0028324224301741197,0.5813782513141632,0.0067868005,0.2,-5.371941866725683,567.0776438236237,0.07119140625,110,224.3090362548828,0.001,0.9286003708839417,,
1003,13,425984,301.0,99.34402,424,-0.0019220434706767263,0.6200478672981262,0.006273865,0.2,-5.3496694806963205,833.7504119277,0.0768829345703125,120,158.68850708007812,0.001,0.9189578294754028,,
1083,14,458752,301.0,83.20421,423,-0.0013591893699413048,0.6523967981338501,0.008499751,0.2,-5.31587530747056,895.3550072431565,0.075927734375,130,148.52224731445312,0.001,0.9121198654174805,,
1162,15,491520,301.0,65.04599,422,-0.0020741886740324846,0.692773163318634,0.008193418,0.2,-5.293183482065797,881.6915030837059,0.1039520263671875,140,438.1944885253906,0.001,0.9119498133659363,,
1246,16,524288,301.0,48.862457,420,-0.00043505412231752415,0.7554234713315964,0.009088589,0.2,-5.297621183469891,589.9994136691093,0.11514892578125,150,231.87120056152344,0.001,0.9159939885139465,,
1325,17,557056,301.0,138.18169,420,-0.0015671536385070794,0.7157844603061676,0.008135795,0.2,-5.292252476885915,619.1361186623574,0.1204376220703125,160,175.8253631591797,0.001,0.9113881587982178,,
1403,18,589824,301.0,143.52554,420,0.0008801110050626448,0.7200571298599243,0.013476961,0.2,-5.2941500544548035,538.5078183531762,0.1358123779296875,170,127.36863708496094,0.001,0.9110177159309387,,
1480,19,622592,301.0,225.02646,420,0.001821614815526118,0.6716116964817047,0.014120761,0.2,-5.260976867377758,600.9133940935135,0.1695587158203125,180,138.28756713867188,0.001,0.9001630544662476,,
1557,20,655360,301.0,204.4121,420,0.0023498634335737735,0.44532066583633423,0.01284708,0.2,-5.233251136541367,1120.143451821804,0.168731689453125,190,503.86669921875,0.001,0.9025707244873047,,
1634,21,688128,301.0,248.6169,420,0.004682706789753866,0.5209543704986572,0.03164146,0.2,-5.243718198314309,866.5876061320305,0.181658935546875,200,876.0452880859375,0.001,0.8984500169754028,,
1711,22,720896,301.0,199.84541,421,0.003714017774700551,0.15573060512542725,0.012596004,0.2,-5.234135700389743,2449.3465903878214,0.1651275634765625,210,419.2348937988281,0.001,0.8947497606277466,,
