time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance
1,301.0,32768,582,56,-219.20093,,,,,,,,,,,
2,301.0,65536,441,148,-148.98372,0.2,0.0001,0.112713623046875,10,0.008381333,84.69660926386715,0.9936251640319824,-0.011692314048332264,-5.659684958774596,42.679847717285156,0.0009906291961669922
3,301.0,98304,405,242,-17.250965,0.2,0.0001,0.15408935546875,20,0.010237323,98.1320774808526,0.9878953695297241,-0.01708921819558782,-5.63358049094677,42.8184700012207,0.2706499695777893
4,301.0,131072,391,334,158.58835,0.2,0.0001,0.1826812744140625,30,0.0112598855,126.04977031722665,0.9761158227920532,-0.020242732224937755,-5.588386064954102,80.9348373413086,0.37878406047821045
5,301.0,163840,382,428,129.2008,0.2,0.0001,0.1495452880859375,40,0.010661711,2047.3965737953781,0.964266836643219,-0.012184864466030376,-5.546770784538239,74.15933227539062,0.08712828159332275
6,301.0,196608,376,521,38.82743,0.2,0.0001,0.1065185546875,50,0.007988018,3310.583921805024,0.9529814720153809,-0.007067988460494235,-5.501132390554995,196.98538208007812,0.04798823595046997
7,301.0,229376,372,616,54.386757,0.2,0.0001,0.0931304931640625,60,0.007701685,534.4063115298748,0.9428044557571411,-0.007465337565759,-5.4456560331396755,135.23976135253906,0.00038880109786987305
8,301.0,262144,369,710,-2.7679033,0.2,0.0001,0.05377197265625,70,0.0059930277,1608.900316029787,0.9348849654197693,-0.0036367900960613043,-5.419563718978315,168.5425567626953,0.038176536560058594
9,301.0,294912,366,805,5.667418,0.2,0.0001,0.0510162353515625,80,0.005739848,1405.388562308252,0.9273982644081116,-0.004058173089970296,-5.3890257534570996,144.7682342529297,0.22337597608566284
10,301.0,327680,364,900,-38.43622,0.2,0.0001,0.036688232421875,90,0.004651835,1096.2285971939564,0.9223580956459045,-0.0028714826654777426,-5.3570332078263165,459.25872802734375,0.4729156494140625
11,301.0,360448,362,995,-43.312714,0.2,0.0001,0.0145416259765625,100,0.0034643458,894.3434689521789,0.924532949924469,-0.0013421661400116135,-5.357291612401605,395.2089538574219,0.6422852277755737
12,301.0,393216,360,1091,-56.14868,0.2,0.0001,0.0268768310546875,110,0.0045462474,1883.0722746431827,0.9236783981323242,-0.001733840934048203,-5.360762139316648,1893.846923828125,0.5662466585636139
13,301.0,425984,358,1187,-38.00418,0.2,0.0001,0.040740966796875,120,0.004569156,1193.313395267725,0.9231377840042114,-0.003607149271920207,-5.353159680683166,1672.614013671875,0.7030759751796722
14,301.0,458752,357,1284,-14.680533,0.2,0.0001,0.0296173095703125,130,0.0047786143,932.0206628412009,0.92041015625,-0.0025722859995539692,-5.349463324341923,241.51080322265625,0.7763454765081406
15,301.0,491520,355,1381,-34.115616,0.2,0.0001,0.016552734375,140,0.0036223396,658.6117988497019,0.9200193881988525,-0.0017537829389766557,-5.340068876370788,189.04348754882812,0.8146104961633682
16,301.0,524288,354,1479,-60.94566,0.2,0.0001,0.0189788818359375,150,0.004210735,1554.0026053220033,0.9165907502174377,-0.0015985026001999359,-5.335209440533072,184.0889129638672,0.6768153607845306
17,301.0,557056,353,1576,-7.14433,0.2,0.0001,0.02869873046875,160,0.0045947875,993.1505854547024,0.9182916879653931,-0.0030341393183334732,-5.331812450289727,269.4063720703125,0.737294614315033
18,301.0,589824,352,1674,33.970993,0.2,0.0001,0.031793212890625,170,0.005085456,703.1370560407638,0.9179396033287048,-0.0029038089456435044,-5.332455039955676,221.62049865722656,0.7910583019256592
19,301.0,622592,350,1774,117.98349,0.2,0.0001,0.0387451171875,180,0.00479058,599.9088250815869,0.914127767086029,-0.003573911340390623,-5.3199224174954,117.19574737548828,0.7774218916893005
20,301.0,655360,349,1874,142.54565,0.2,0.0001,0.0280548095703125,190,0.0044669937,1187.4588223546743,0.9102166295051575,-0.0025145851402612607,-5.304055112786591,151.96986389160156,0.6167880296707153
21,301.0,688128,348,1973,189.35898,0.2,0.0001,0.02275390625,200,0.004421561,856.0785682737827,0.9054946899414062,-0.002205193455756671,-5.281682889629155,131.8744659423828,0.5907208621501923
22,301.0,720896,347,2072,127.382034,0.2,0.0001,0.04603271484375,210,0.0058038887,2176.8004521042108,0.8977529406547546,-0.003503024064957572,-5.25260558091104,175.04913330078125,0.3038567900657654
23,301.0,753664,347,2170,229.89284,0.2,0.0001,0.07684326171875,220,0.0068898564,1120.0576244816184,0.8907120823860168,-0.006561445349689166,-5.215681395307183,180.74807739257812,0.43250471353530884
24,301.0,786432,346,2269,167.60246,0.2,0.0001,0.0672454833984375,230,0.0072683627,2231.2625349014997,0.8832598328590393,-0.004813358839260218,-5.181744484324009,2070.714111328125,0.3160843253135681
25,301.0,819200,345,2368,75.81063,0.2,0.0001,0.0360748291015625,240,0.004672932,1489.6253261238337,0.8808307647705078,-0.003205147935545938,-5.158808678854257,191.20291137695312,0.39449721574783325
26,301.0,851968,345,2467,167.04697,0.2,0.0001,0.045672607421875,250,0.005588642,359.18116346597674,0.8717068433761597,-0.00490503008363703,-5.126765609160065,192.65374755859375,0.7630365490913391
27,301.0,884736,344,2566,231.56075,0.2,0.0001,0.053851318359375,260,0.0061600045,1214.166056844592,0.8648727536201477,-0.004638118825732817,-5.097218657843769,198.40086364746094,0.5318404138088226
28,301.0,917504,344,2664,233.40233,0.2,0.0001,0.0373809814453125,270,0.005206886,1208.4152417182922,0.8600280284881592,-0.0032385800949896295,-5.071851392369718,2305.708251953125,0.4984508752822876
29,301.0,950272,343,2763,236.99107,0.2,0.0001,0.0420684814453125,280,0.0057894485,2389.523345258832,0.8547388315200806,-0.003697159415946771,-5.048245210573077,210.70272827148438,0.3043312430381775
30,301.0,983040,343,2862,349.78235,0.2,0.0001,0.05919189453125,290,0.0067036296,665.5667732566595,0.8471661806106567,-0.005793692552197171,-5.010384081397206,175.15687561035156,0.557009756565094
31,301.0,1015808,343,2961,369.96063,0.2,0.0001,0.0374725341796875,300,0.0049168533,2043.645443367958,0.8406152725219727,-0.002223816295099823,-4.979284292832017,513.9761352539062,0.21158093214035034
