rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/std,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/approx_kl
2072.6934,677.6,1,134,242,32768,,,,,,,,,,,
2989.7341,736.1807228915662,2,282,231,65536,-1.9476679768413305,17345.8515625,0.2,0.1514251708984375,0.39462000131607056,40980.01414718628,2480,0.04105794429779053,0.0035268934639134386,0.0001,0.013307074
3414.0325,758.9,3,431,227,98304,-1.9473556583747267,15842.9287109375,0.2,0.097625732421875,0.39453262090682983,39791.9552986145,2490,0.17407631874084473,0.0007412872655550018,0.0001,0.010034325
3460.509,747.32,4,579,226,131072,-1.946340165194124,13315.4658203125,0.2,0.0672088623046875,0.39442214369773865,35175.541522216794,2500,0.231686532497406,0.00013822838409396354,0.0001,0.007971702
3878.1116,776.17,5,727,225,163840,-1.9453464942984282,17115.205078125,0.2,0.0733734130859375,0.3943459391593933,36021.638390350345,2510,0.30703097581863403,0.0012882805064691639,0.0001,0.008274318
4155.5103,787.29,6,874,224,196608,-1.9447818224318325,10266.8701171875,0.2,0.08204345703125,0.39430221915245056,33837.31856994629,2520,0.3479803800582886,0.0008587469326812424,0.0001,0.00883495
4311.16,811.75,7,1023,224,229376,-1.9444638148881495,7627.4677734375,0.2,0.0721160888671875,0.39428141713142395,31529.491327667238,2530,0.3148762583732605,0.0007337885470406035,0.0001,0.008041412
4980.902,858.34,8,1168,224,262144,-1.94358315365389,8454.873046875,0.2,0.0569976806640625,0.3941204845905304,30691.379998779295,2540,0.4245571494102478,0.0009622670532735356,0.0001,0.0072325007
5220.8037,877.12,9,1315,224,294912,-1.9424371536821128,10483.271484375,0.2,0.0579254150390625,0.39405831694602966,29080.102138519287,2550,0.4014253616333008,0.0001893214876872662,0.0001,0.007343038
5613.6445,887.77,10,1463,223,327680,-1.9412983432412148,7743.04052734375,0.2,0.058367919921875,0.3938651382923126,29943.11392211914,2560,0.4426664113998413,-0.00046152805543897557,0.0001,0.0070791487
5706.9575,871.19,11,1610,223,360448,-1.9395150311291218,9320.0166015625,0.2,0.069635009765625,0.39371374249458313,29621.93995361328,2570,0.4669812321662903,-0.0003076232959756453,0.0001,0.007775563
6115.5044,871.53,12,1761,223,393216,-1.9378427470102906,8392.9921875,0.2,0.0570831298828125,0.3935307562351227,26882.52756576538,2580,0.39904868602752686,-0.001242887082571542,0.0001,0.0072701788
6586.2964,886.37,13,1915,222,425984,-1.9362334372475742,5802.220703125,0.2,0.059259033203125,0.3933957517147064,29474.057217407226,2590,0.48550623655319214,-0.00013529135394492188,0.0001,0.006958236
6629.8027,889.19,14,2112,217,458752,-1.93546147858724,9920.5078125,0.2,0.052093505859375,0.39338988065719604,31195.459116363527,2600,0.4261999726295471,0.0009460693211622128,0.0001,0.0064722197
6603.7505,887.66,15,2428,202,491520,-1.9351510770618916,11024.0087890625,0.2,0.073345947265625,0.3933275640010834,29020.468823242187,2610,0.4734764099121094,0.00023141063311413746,0.0001,0.007819809
