time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
16384,472,678.7894736842105,1,2665.4543,34,,,,,,,,,,,,,
32768,356,711.4878048780488,2,3098.046,91,7201.15283203125,0.2,0.014491064,0.148626708984375,0.0032734807802626163,2480,0.3945804238319397,-1.9472906682640314,0.0003,27448.694998168947,0.047413527965545654,,
49152,328,680.5217391304348,3,2871.277,149,11159.4921875,0.2,0.011938125,0.122052001953125,0.0014394683894352056,2490,0.39442968368530273,-1.9466667491942644,0.0003,27244.209991455078,0.13701856136322021,,
65536,314,693.9772727272727,4,2938.2412,208,6298.0615234375,0.2,0.008840334,0.077276611328125,0.0014657924366474617,2500,0.3942340612411499,-1.9450011461973191,0.0003,27317.112088012695,0.16149497032165527,,
81920,308,704.33,5,3083.5293,265,6767.5048828125,0.2,0.008767651,0.085552978515625,-0.00023563875256513712,2510,0.394059419631958,-1.943173784762621,0.0003,23989.600939941407,0.0680733323097229,,
98304,304,688.67,6,2929.4082,322,6478.49609375,0.2,0.007655588,0.071990966796875,0.0011148947480251082,2520,0.3938920795917511,-1.9413889423012733,0.0003,24150.991583251955,0.3004608750343323,,
114688,302,705.07,7,3123.5085,379,4835.376953125,0.2,0.008840217,0.095404052734375,0.0018488993679056875,2530,0.3938278555870056,-1.9400353018194436,0.0003,24760.15341796875,0.25421464443206787,,
131072,298,749.3,8,3793.4307,438,5900.01708984375,0.2,0.0093754325,0.0927490234375,0.001958659909723792,2540,0.3938383460044861,-1.9398081332445145,0.0003,23342.070959472658,0.34332454204559326,,
147456,296,734.46,9,3625.4785,497,6252.859375,0.2,0.008473494,0.07486572265625,-8.280065740109421e-05,2550,0.3935616910457611,-1.9386627037078141,0.0003,18892.92329711914,0.4358317255973816,,
163840,295,763.4,10,4097.891,555,5930.76904296875,0.2,0.008039059,0.078533935546875,0.00013323417661013082,2560,0.393392950296402,-1.936282005906105,0.0003,22271.997494506835,0.41859912872314453,,
180224,293,797.57,11,4555.254,613,4985.6728515625,0.2,0.007962842,0.081195068359375,-0.0006886555158416741,2570,0.39325734972953796,-1.934789714217186,0.0003,20297.52875213623,0.38746756315231323,,
