rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/n_updates,train/learning_rate,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/loss,train/value_loss,eval/mean_ep_length,eval/mean_reward
616.4666666666667,84,1652.5918,32768,386,1,,,,,,,,,,,,,
671.9560439560439,174,2421.2354,65536,375,2,-1.94737255461514,0.0016654560298775324,0.2,2480,0.0001,0.008502247,0.0829620361328125,0.023346304893493652,0.3945869207382202,15276.349609375,41526.76918334961,,
723.45,259,3119.6172,98304,378,3,-1.9467888951301575,0.00039013785572024063,0.2,2490,0.0001,0.0070771994,0.0518218994140625,0.08773064613342285,0.39448779821395874,15421.0205078125,44767.31294555664,,
730.95,343,3203.865,131072,381,4,-1.9458866640925407,-0.000290967634646222,0.2,2500,0.0001,0.007153823,0.056298828125,0.1863701343536377,0.39441826939582825,18150.814453125,42692.19255981445,,
726.85,428,3284.5393,163840,382,5,-1.9454000815749168,-0.0004383570289064664,0.2,2510,0.0001,0.006074789,0.0398284912109375,0.248304545879364,0.3943982720375061,17102.513671875,39263.280670166016,,
784.82,514,4063.4836,196608,382,6,-1.9450025886297226,-0.0001174866203655256,0.2,2520,0.0001,0.0070252465,0.0519287109375,0.3064395785331726,0.39433538913726807,16122.56640625,37863.28474121094,,
804.21,600,4276.2163,229376,381,7,-1.9443325016647577,0.000678888359470875,0.2,2530,0.0001,0.006665163,0.0461090087890625,0.34146738052368164,0.3942769765853882,13877.478515625,39847.385522460936,,
839.74,687,4982.17,262144,381,8,-1.943854732438922,-8.503941426170058e-05,0.2,2540,0.0001,0.006050011,0.0390960693359375,0.36706429719924927,0.39423781633377075,17975.677734375,40330.025354003905,,
872.34,772,5441.9727,294912,381,9,-1.9434960678219795,3.2626590837026015e-05,0.2,2550,0.0001,0.0053906254,0.0322296142578125,0.42303407192230225,0.3942064642906189,14337.3369140625,39038.201232910156,,
901.74,861,6113.9106,327680,380,10,-1.9432383503764867,-0.0006357658392516896,0.2,2560,0.0001,0.0062061837,0.038592529296875,0.4518696069717407,0.3941885232925415,15847.4501953125,37383.43270263672,,
883.88,949,6076.5684,360448,379,11,-1.942850138619542,0.0001024036140734097,0.2,2570,0.0001,0.005449813,0.0391998291015625,0.42435455322265625,0.3941335082054138,13034.998046875,41455.05252075195,,
909.38,1039,6497.12,393216,378,12,-1.9423332132399083,-0.0008143597158777993,0.2,2580,0.0001,0.0059593227,0.0390838623046875,0.3895873427391052,0.394092857837677,15420.0771484375,43952.53575439453,,
913.85,1131,6630.942,425984,376,13,-1.9419223256409168,-0.0009101461568207014,0.2,2590,0.0001,0.006952865,0.049285888671875,0.46059781312942505,0.39405637979507446,14859.61328125,38489.74253540039,,
938.6,1221,6969.4814,458752,375,14,-1.9415105942636728,-0.00017956868614419364,0.2,2600,0.0001,0.0055576246,0.0330810546875,0.5451462268829346,0.39400941133499146,12569.212890625,35885.26485595703,,
960.39,1311,7403.8867,491520,374,15,-1.9410458337515593,0.0007017913747404236,0.2,2610,0.0001,0.0061566187,0.044818115234375,0.5048498511314392,0.39396393299102783,12004.0556640625,37782.14553222656,,
1021.07,1402,8197.036,524288,373,16,-1.9405659191310405,0.0005877753850654699,0.2,2620,0.0001,0.006069133,0.040093994140625,0.5093907713890076,0.3939192295074463,12272.56640625,37724.284783935545,,
1012.61,1494,8110.391,557056,372,17,-1.9401667907834053,-0.0003539726931194309,0.2,2630,0.0001,0.0050949594,0.0311309814453125,0.48683351278305054,0.39389175176620483,12033.3818359375,36761.945275878905,,
1015.22,1584,8117.489,589824,372,18,-1.939459878206253,0.00018898484340752476,0.2,2640,0.0001,0.006150947,0.037542724609375,0.5099038183689117,0.39378029108047485,13636.0390625,36711.411120605466,,
971.35,1676,7652.8975,622592,371,19,-1.9387844529002904,0.0004032515033031814,0.2,2650,0.0001,0.0058474205,0.0404998779296875,0.5090377330780029,0.3937661051750183,12724.5078125,36489.421368408206,,
980.65,1767,7861.3184,655360,370,20,-1.9382299691438676,0.0004950775488396175,0.2,2660,0.0001,0.0049036825,0.035546875,0.5051378011703491,0.3936629295349121,13891.1640625,39309.361328125,,
976.46,1856,8002.0107,688128,370,21,-1.9374033518135547,0.0006564325973158702,0.2,2670,0.0001,0.006109833,0.0435028076171875,0.4792112112045288,0.39361846446990967,15248.599609375,39446.88214111328,,
1017.77,1950,8718.51,720896,369,22,-1.9370277445763349,-0.00015402783974423074,0.2,2680,0.0001,0.0047628023,0.0257354736328125,0.5068727135658264,0.3935827612876892,13597.6806640625,38766.651843261716,,
1059.44,2045,9263.763,753664,368,23,-1.936941158398986,0.0004749410662043374,0.2,2690,0.0001,0.004886885,0.0345733642578125,0.5624670684337616,0.39361026883125305,13585.978515625,36560.00370483399,,
1104.11,2141,9622.11,786432,367,24,-1.9371245339512826,0.00021207337740634103,0.2,2700,0.0001,0.004932843,0.027862548828125,0.5667490661144257,0.3936067223548889,14988.2109375,34501.631640625,,
1029.71,2230,8336.488,819200,367,25,-1.9369521982967854,-2.8280619881115852e-05,0.2,2710,0.0001,0.006682015,0.0507171630859375,0.49313706159591675,0.3935760259628296,11618.3037109375,38201.642559814456,,
1007.2,2318,7698.47,851968,367,26,-1.9367216642946006,-9.504479821771383e-05,0.2,2720,0.0001,0.005208796,0.0305267333984375,0.31796127557754517,0.39356938004493713,53152.48046875,98155.24556274414,,
1002.69,2406,6787.29,884736,367,27,-1.9367512591183185,0.00023872961537563242,0.2,2730,0.0001,0.006183102,0.0443695068359375,0.19853633642196655,0.39359018206596375,88543.0,196473.63792114257,,
1073.26,2500,8109.245,917504,366,28,-1.936598439142108,-0.00055074732445064,0.2,2740,0.0001,0.005287026,0.0297576904296875,0.39492201805114746,0.39352738857269287,75972.8671875,284458.4891601562,,
1035.74,2589,7593.39,950272,366,29,-1.9359983373433352,0.0006421264981327113,0.2,2750,0.0001,0.0051963646,0.032440185546875,0.629133403301239,0.39347848296165466,15698.689453125,37214.39873046875,,
1000.02,2678,8477.959,983040,367,30,-1.9355571325868368,-6.849304263596423e-05,0.2,2760,0.0001,0.0046104523,0.026513671875,0.5424820184707642,0.39344245195388794,14693.0595703125,39033.35035400391,,
981.64,2771,8153.0737,1015808,366,31,-1.935008031129837,-0.0003004941077961121,0.2,2770,0.0001,0.004402025,0.02603759765625,0.49618130922317505,0.3933795094490051,16633.302734375,60214.882263183594,,
1003.14,2861,7485.2676,1048576,366,32,-1.934716122224927,-0.0006311436620308087,0.2,2780,0.0001,0.0058787894,0.0365478515625,0.4127272367477417,0.3933961093425751,205717.96875,201118.5082458496,,
