time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
11,355,180224,2944.0178,633.38,506,0.2,-0.00013524037931347265,0.4195953607559204,2570,8450.8623046875,0.0003,-1.9432549238204957,0.049407958984375,0.39418917894363403,0.0070570083,26010.621813964844,,
12,353,196608,3143.7324,649.57,555,0.2,0.00016679155305610038,0.48278915882110596,2580,6856.69580078125,0.0003,-1.942921881377697,0.039984130859375,0.39415156841278076,0.0059972852,24390.91162109375,,
13,351,212992,3449.1072,670.03,605,0.2,0.00032059427321655675,0.37865251302719116,2590,9055.6689453125,0.0003,-1.9423059582710267,0.039715576171875,0.39406466484069824,0.006403248,30624.8384765625,,
14,350,229376,3832.93,696.3,654,0.2,-0.0010863400937523692,0.48386627435684204,2600,8724.9970703125,0.0003,-1.941044557094574,0.035321044921875,0.3938910961151123,0.005932843,29594.67658691406,,
15,349,245760,3791.4077,685.62,703,0.2,0.00034069698449457064,0.4377228617668152,2610,6913.2783203125,0.0003,-1.939415842294693,0.039385986328125,0.39378103613853455,0.0063337847,26403.403076171875,,
16,347,262144,4003.3674,696.92,753,0.2,-0.0007801288054906763,0.4758710265159607,2620,7641.1611328125,0.0003,-1.9387091815471649,0.036126708984375,0.3937453627586365,0.005648381,30705.120166015626,,
17,346,278528,4129.538,703.79,802,0.2,-0.0005624789970170241,0.47675925493240356,2630,6878.880859375,0.0003,-1.9383753746747971,0.03349609375,0.3937075138092041,0.0052739475,26726.218981933594,,
18,345,294912,4337.8794,718.64,853,0.2,-0.000288894833647646,0.5770224332809448,2640,6684.771484375,0.0003,-1.9379690423607827,0.037225341796875,0.3936775326728821,0.0060271984,24396.166455078124,,
19,344,311296,4786.8887,746.82,903,0.2,0.0003100378264207393,0.5028412342071533,2650,5945.00927734375,0.0003,-1.9378168702125549,0.04068603515625,0.39369261264801025,0.006023646,26919.101831054686,,
20,343,327680,4503.549,714.26,953,0.2,-0.0006661027335212566,0.620844304561615,2660,5644.9677734375,0.0003,-1.937408919632435,0.037713623046875,0.3935602009296417,0.0059312843,25159.474487304688,,
21,343,344064,4569.8423,718.13,1002,0.2,-3.653311287052929e-05,0.5658396780490875,2670,5678.369140625,0.0003,-1.9360691919922828,0.0309326171875,0.39345014095306396,0.005941026,24026.05906982422,,
22,342,360448,4636.486,706.84,1052,0.2,-0.0011375423884601333,0.5028966665267944,2680,9041.994140625,0.0003,-1.9352105900645256,0.032305908203125,0.3933999836444855,0.005705839,29090.738708496094,,
23,341,376832,4701.466,697.1,1102,0.2,0.0002385857114859391,0.4749388098716736,2690,9006.46875,0.0003,-1.9347690433263778,0.03192138671875,0.3933347165584564,0.005173363,31721.031665039063,,
24,340,393216,4985.142,712.79,1153,0.2,-0.0004881915432633832,0.5246738791465759,2700,8577.9833984375,0.0003,-1.9342471078038215,0.01942138671875,0.39331287145614624,0.004787846,31790.00095214844,,
25,340,409600,5340.29,730.2,1202,0.2,-0.0007052370223391335,0.5331473052501678,2710,6350.3271484375,0.0003,-1.9340169429779053,0.021258544921875,0.3932862877845764,0.0045801112,29781.92843017578,,
26,340,425984,5298.786,722.16,1252,0.2,-0.0007655743822397199,0.6528609097003937,2720,7451.7890625,0.0003,-1.9338201031088829,0.025762939453125,0.3932747542858124,0.0044043753,26463.343298339845,,
27,339,442368,5189.166,719.05,1301,0.2,0.00013109712526784278,0.5484209060668945,2730,8236.14453125,0.0003,-1.9339954167604447,0.017877197265625,0.3933369219303131,0.0039108507,29922.107690429686,,
28,339,458752,5135.705,721.34,1351,0.2,-0.0008373828008188866,0.6085665822029114,2740,6784.56591796875,0.0003,-1.934203964471817,0.02041015625,0.39328858256340027,0.004476729,24878.691674804686,,
29,339,475136,4694.306,689.43,1400,0.2,-0.0002657513301528525,0.6143624186515808,2750,6473.0947265625,0.0003,-1.9336597859859466,0.0165771484375,0.39325350522994995,0.004362998,24552.799841308595,,
30,338,491520,4804.5815,687.26,1450,0.2,-0.00036401226243469863,0.6606722772121429,2760,7124.26025390625,0.0003,-1.9334809705615044,0.028399658203125,0.39326348900794983,0.005069823,26172.261364746093,,
31,338,507904,4701.0215,669.47,1500,0.2,-0.0011764360533561558,0.6491128504276276,2770,6792.08740234375,0.0003,-1.9335998430848123,0.02952880859375,0.3932570815086365,0.005222984,25819.91437988281,,
32,338,524288,4652.8677,656.81,1549,0.2,-0.0005775694407930132,0.6591115593910217,2780,9192.251953125,0.0003,-1.9335305824875832,0.021160888671875,0.3932623267173767,0.004650978,30700.111328125,,
33,338,540672,4570.5996,642.35,1597,0.2,-8.224282573792152e-05,0.5386310517787933,2790,9966.99609375,0.0003,-1.9335435435175896,0.01993408203125,0.39325377345085144,0.0040842937,32184.083142089843,,
34,338,557056,4893.7817,663.54,1647,0.2,0.0003522238774166908,0.545456737279892,2800,9777.642578125,0.0003,-1.933239009976387,0.017767333984375,0.393189013004303,0.0041721873,34490.15576171875,,
35,337,573440,5028.8315,673.67,1696,0.2,-9.605601808289066e-05,0.6655531227588654,2810,8337.3603515625,0.0003,-1.932425281405449,0.015826416015625,0.3931044340133667,0.0040388824,26999.4275390625,,
36,337,589824,5321.9087,694.84,1745,0.2,0.00033844152931123973,0.623799204826355,2820,10488.9580078125,0.0003,-1.9318280652165414,0.031488037109375,0.393072247505188,0.0055619646,30021.141748046874,,
37,337,606208,5598.2437,713.36,1797,0.2,0.00023843692761147395,0.6438259184360504,2830,9758.7578125,0.0003,-1.9313428431749344,0.022149658203125,0.3930127024650574,0.004456468,29340.157373046874,,
38,337,622592,5916.931,739.06,1847,0.2,-0.0005186373382457532,0.6763010621070862,2840,7362.56689453125,0.0003,-1.9309916898608208,0.015997314453125,0.3930210471153259,0.0043386454,26373.009375,,
39,336,638976,5729.4023,731.65,1897,0.2,-1.77989510120824e-05,0.6577381789684296,2850,8574.4951171875,0.0003,-1.9310071483254432,0.032025146484375,0.39300358295440674,0.0048001665,27233.74677734375,,
40,336,655360,5860.125,742.04,1948,0.2,0.00013537519334931857,0.6548434197902679,2860,5843.73095703125,0.0003,-1.9309699177742004,0.027490234375,0.39303165674209595,0.005074542,22930.232385253905,,
41,335,671744,6622.0405,786.32,1999,0.2,-0.0010441446967888624,0.7450038194656372,2870,6565.12841796875,0.0003,-1.9310657933354378,0.031121826171875,0.3930049538612366,0.0048444057,23897.7724609375,,
42,335,688128,6829.57,803.05,2050,0.2,0.0004584894995787181,0.7660298198461533,2880,5808.68212890625,0.0003,-1.9308434829115868,0.0230224609375,0.39299750328063965,0.0039252974,23305.43620605469,,
43,335,704512,7062.0,812.75,2101,0.2,-0.0004942368104821071,0.754584550857544,2890,6002.24755859375,0.0003,-1.930666434764862,0.019671630859375,0.39296817779541016,0.0046668844,21953.37448730469,,
44,335,720896,7027.4014,799.9,2149,0.2,-0.00032895980766625146,0.7516750544309616,2900,6811.5576171875,0.0003,-1.9302592024207115,0.02186279296875,0.39291754364967346,0.005132922,24778.738439941408,,
45,335,737280,6296.9536,745.57,2198,0.2,-0.0006176711467560381,0.6740981936454773,2910,6623.01416015625,0.0003,-1.9301243364810943,0.036224365234375,0.3929705023765564,0.004921499,24102.647033691406,,
46,335,753664,5568.011,691.72,2248,0.2,-7.259940321091562e-06,0.6292551159858704,2920,9700.5146484375,0.0003,-1.9304291054606437,0.029388427734375,0.39294537901878357,0.0050066775,33469.1236328125,,
47,334,770048,5659.6113,694.38,2298,0.2,-0.0022936272187507713,0.6955386698246002,2930,10468.755859375,0.0003,-1.9299960151314735,0.04112548828125,0.3928954601287842,0.0055172658,29380.42840576172,,
48,334,786432,5760.556,703.01,2348,0.2,-0.0002287921553943306,0.7217044234275818,2940,7735.9248046875,0.0003,-1.929566815495491,0.03101806640625,0.39286959171295166,0.005425013,27605.25701904297,,
,,800000,,,,0.2,0.0005067077567218803,0.7645704746246338,2950,8599.1083984375,0.0003,-1.929205484688282,0.028076171875,0.39282453060150146,0.0048561087,26697.556701660156,3841.38134765625,644.15
49,320,802816,6087.5913,720.08,2508,,,,,,,,,,,,,
50,320,819200,6327.391,734.41,2558,0.2,-0.0014407230672077275,0.751203641295433,2960,7261.60498046875,0.0003,-1.928853379189968,0.024774169921875,0.3927987217903137,0.005276662,23674.964111328125,,
51,320,835584,6567.2026,752.35,2608,0.2,-0.0007333013520110399,0.8075976818799973,2970,5393.17333984375,0.0003,-1.9282619938254357,0.0213623046875,0.39269596338272095,0.0045965826,21921.665954589844,,
52,320,851968,6705.792,764.86,2658,0.2,-0.0007083678516210057,0.7684715092182159,2980,8305.4853515625,0.0003,-1.9272874161601066,0.02020263671875,0.392630398273468,0.0052262093,25391.574267578126,,
