rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/explained_variance,train/clip_range,train/loss,train/approx_kl
826.72,291,1,4632.1553,28,827392,,,,,,,,,,,
858.64,227,2,4785.5527,71,835584,0.38222429156303406,-1.821705844812095,0.0003,15402.396409988403,-0.0009257340565454797,0.078662109375,3480,0.4284206032752991,0.2,3948.979248046875,0.008459943
836.04,217,3,4570.4834,113,843776,0.3820732533931732,-1.8198250951245427,0.0003,14411.421397781372,-0.0003990580757090356,0.08514404296875,3490,0.7699557542800903,0.2,3008.910400390625,0.008687098
815.17,210,4,4462.1016,155,851968,0.38222774863243103,-1.8197603011503816,0.0003,15621.835290527344,-0.0006696375894534867,0.09769287109375,3500,0.406533420085907,0.2,5236.40478515625,0.008879023
806.62,206,5,4425.9907,198,860160,0.38214340806007385,-1.820382315851748,0.0003,14931.267919921875,-0.0017164267044790904,0.0697998046875,3510,0.5413630306720734,0.2,3672.626220703125,0.006597422
822.21,203,6,3811.5046,241,868352,0.38195979595184326,-1.819093749858439,0.0003,12635.338554382324,-0.0022116297908723937,0.07779541015625,3520,0.6315768659114838,0.2,3423.666015625,0.008236831
815.4,204,7,3201.942,280,876544,0.3820493817329407,-1.818449772708118,0.0003,571194.884438324,-0.0014326869131764397,0.10003662109375,3530,0.6707735061645508,0.2,1863.802490234375,0.009023109
787.55,202,8,2877.357,323,884736,0.3822389245033264,-1.819694647565484,0.0003,321950.9722137451,-0.0015527414110692917,0.074951171875,3540,0.8032833337783813,0.2,3581.048828125,0.0076927217
813.55,200,9,3741.8162,367,892928,0.3822019100189209,-1.8206068865954876,0.0003,16304.694339752197,0.00022691348967782688,0.09293212890625,3550,0.25920403003692627,0.2,3163.022705078125,0.008897604
798.07,200,10,4017.5012,409,901120,0.38200533390045166,-1.8192864896729588,0.0003,14192.12406539917,-0.0016253685644187499,0.08602294921875,3560,0.550061821937561,0.2,3346.548828125,0.009030454
759.82,199,11,3786.5647,452,909312,0.3820483088493347,-1.8182594953104854,0.0003,14156.502574157716,-0.00024268980778288096,0.09742431640625,3570,0.35296911001205444,0.2,2520.75048828125,0.009607683
762.12,198,12,3895.9976,496,917504,0.38209882378578186,-1.8189757451415063,0.0003,13182.202571487427,0.0019362073675438297,0.0874267578125,3580,0.6086541712284088,0.2,2186.448974609375,0.009538656
779.39,196,13,3732.0872,541,925696,0.38198620080947876,-1.8185931423678994,0.0003,18770.78183250427,-0.0021298833791661307,0.07877197265625,3590,0.7863149344921112,0.2,2242.1181640625,0.0076666605
792.28,195,14,3763.9568,585,933888,0.38181889057159424,-1.817058506794274,0.0003,196137.34379196167,8.546821336494759e-05,0.095751953125,3600,0.7561034113168716,0.2,116843.234375,0.009340899
762.29,195,15,3388.3804,627,942080,0.381406307220459,-1.8142220981419086,0.0003,21499.271200942992,0.00198013106964936,0.1286376953125,3610,0.7573614120483398,0.2,19179.7265625,0.010283137
741.47,194,16,4097.4185,673,950272,0.3814621865749359,-1.8120643379166723,0.0003,13356.37042274475,-0.0007986408354554442,0.08699951171875,3620,0.7815332412719727,0.2,2550.357421875,0.008345874
767.04,193,17,4240.8423,719,958464,0.38118767738342285,-1.8113492872565984,0.0003,243078.13417053223,0.0006317237031908008,0.1143798828125,3630,0.6923268735408783,0.2,30556.119140625,0.009363872
779.35,192,18,3319.097,764,966656,0.3809945285320282,-1.808731703273952,0.0003,14454.433097457886,0.0003017471990460763,0.096044921875,3640,0.852262943983078,0.2,2210.458984375,0.008489963
778.34,192,19,3204.2112,808,974848,0.38090547919273376,-1.8069667737931012,0.0003,359461.70763702394,0.010148389771529764,0.12821044921875,3650,0.5995465517044067,0.2,406922.09375,0.011783881
781.05,192,20,3137.598,849,983040,0.38096898794174194,-1.8067151909694075,0.0003,15401.630980300903,-0.0034390169814287217,0.118994140625,3660,0.7700508385896683,0.2,3761.978759765625,0.0112772565
790.91,192,21,3115.4092,893,991232,0.38100701570510864,-1.8074368415400386,0.0003,13680.781158828735,0.00043883155085495674,0.10352783203125,3670,0.4297448396682739,0.2,2006.640380859375,0.008880291
757.06,192,22,2931.2046,935,999424,0.3809949457645416,-1.807385596446693,0.0003,11036.767337417603,0.0002534905586799141,0.09517822265625,3680,0.6971983909606934,0.2,3064.442626953125,0.008138207
727.14,192,23,2743.2097,976,1007616,0.38090741634368896,-1.8066724518314004,0.0003,45102.169818878174,0.0013284446893521817,0.10384521484375,3690,0.4914599061012268,0.2,14031.3037109375,0.009534553
727.07,192,24,2988.8608,1020,1015808,0.38077259063720703,-1.8057640168815852,0.0003,16515.36992263794,-0.0018223408344056225,0.069970703125,3700,0.40770912170410156,0.2,2460.144775390625,0.0073523335
701.49,193,25,2710.5066,1060,1024000,0.38066595792770386,-1.804440695606172,0.0003,18446.754983901978,-2.1117178039276042e-05,0.10831298828125,3710,0.7029293477535248,0.2,8023.54638671875,0.010602748
