time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance
1,-43.593204,424,77,301.0,32768,,,,,,,,,,,
2,-56.134598,358,182,301.0,65536,10,2151.5694935157894,477.3163757324219,-0.0011594502236675908,0.001,0.0532562255859375,0.9987645149230957,0.00451266,-5.668598480522633,0.2,3.254413604736328e-05
3,15.409264,342,287,301.0,98304,20,996.6158856578171,27.357210159301758,-0.004402705110669558,0.001,0.0592376708984375,0.9945157766342163,0.0077662366,-5.662035777047277,0.2,0.051374614238739014
4,161.09848,334,391,301.0,131072,30,1915.928332324326,341.6852722167969,-0.0036678421985925523,0.001,0.0981231689453125,1.001946210861206,0.010144189,-5.662665161304176,0.2,0.053536295890808105
5,209.76152,328,499,301.0,163840,40,1746.833563297987,2229.569580078125,-0.003866656710533789,0.001,0.1380401611328125,0.9986302852630615,0.012545612,-5.65812329147011,0.2,0.008285880088806152
6,329.47516,324,605,301.0,196608,50,2358.0275978922846,590.1404418945312,-0.0015395650664231653,0.001,0.163494873046875,0.9941413402557373,0.01385659,-5.660974475368858,0.2,-0.008363485336303711
