time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1,-59.164898,415,78,301.0,32768,,,,,,,,,,,,,
2,-47.020267,378,173,301.0,65536,10,2584.7814417779446,2085.188232421875,0.013138084359979985,0.001,0.2750732421875,0.9995043873786926,0.0053829253,-5.677376955747604,0.2,1.239776611328125e-05,,
3,-26.556202,366,268,301.0,98304,20,1509.523215445876,34.330589294433594,-0.0028686864826113377,0.001,0.047216796875,0.9993258714675903,0.0049149697,-5.674841376394033,0.2,0.016704797744750977,,
4,62.903675,360,364,301.0,131072,30,771.3331461295486,499.1497497558594,-0.003198376625368837,0.001,0.03287353515625,1.001243233680725,0.0048822146,-5.67908974327147,0.2,0.06929463148117065,,
5,30.901882,356,460,301.0,163840,40,1897.4460942447186,2084.307373046875,-0.0018579019554636033,0.001,0.038232421875,0.999162495136261,0.0058229505,-5.67460032813251,0.2,0.025293171405792236,,
6,141.57587,352,557,301.0,196608,50,1444.7933559179305,42.700294494628906,-0.0015381109414647654,0.001,0.041082763671875,0.9928157329559326,0.005896614,-5.660171012952924,0.2,0.05212044715881348,,
7,236.66231,350,653,301.0,229376,60,1339.3931891977786,456.91204833984375,-0.0026984612212118007,0.001,0.070709228515625,0.9834003448486328,0.008998623,-5.628886518254876,0.2,0.03370243310928345,,
8,376.55954,349,749,301.0,262144,70,1439.784297847748,556.993896484375,-0.0018606719078889,0.001,0.106884765625,0.9768655300140381,0.009517478,-5.596576029807329,0.2,0.027397572994232178,,
9,451.00366,348,846,301.0,294912,80,2730.6451094865797,524.80517578125,0.000272593521822273,0.001,0.09755859375,0.9661021828651428,0.0094023375,-5.556600625067949,0.2,-0.03175950050354004,,
10,447.11078,347,943,301.0,327680,90,2981.8000628352165,245.11294555664062,0.00012500477614594275,0.001,0.090777587890625,0.9660714864730835,0.008936509,-5.529746973514557,0.2,-0.0009746551513671875,,
11,348.39392,346,1039,301.0,360448,100,3318.8343998908995,1110.9635009765625,0.0006613957320496411,0.001,0.101837158203125,0.9653842449188232,0.010826207,-5.5270748037844895,0.2,-0.10530662536621094,,
12,505.85117,346,1136,301.0,393216,110,1901.517057800293,97.62181091308594,-0.0012477161233618971,0.001,0.15,0.9492128491401672,0.014740776,-5.4954554729163645,0.2,-0.0353015661239624,,
13,536.58466,345,1233,301.0,425984,120,2760.2928316473963,889.1995239257812,0.0007689997133638826,0.001,0.1545806884765625,0.9319280385971069,0.013889167,-5.418921946361661,0.2,0.0022329092025756836,,
14,504.1298,344,1330,301.0,458752,130,2914.0793947696684,295.38067626953125,0.0006547073198362341,0.001,0.1174163818359375,0.9327542185783386,0.0104845865,-5.3907128013670444,0.2,-0.1220860481262207,,
15,500.68903,344,1427,301.0,491520,140,3908.553232097626,4430.99462890625,1.2772296213370282e-05,0.001,0.13570556640625,0.922380805015564,0.011992209,-5.3661065332591535,0.2,0.02221083641052246,,
16,613.4319,343,1524,301.0,524288,150,2995.6409685134886,851.3824462890625,-0.00015270998737832998,0.001,0.1462158203125,0.9174562692642212,0.013506683,-5.3308566804975275,0.2,0.03009617328643799,,
17,632.3435,343,1620,301.0,557056,160,4176.379843878746,1819.4464111328125,0.0018212456584478787,0.001,0.139208984375,0.906364917755127,0.012093563,-5.3016108248382805,0.2,-0.022462964057922363,,
18,704.80396,343,1718,301.0,589824,170,4882.675916671753,1716.161865234375,0.00012687157568507245,0.001,0.126416015625,0.8948833346366882,0.011963598,-5.2467033170163635,0.2,0.038431644439697266,,
19,614.3395,342,1815,299.11,622592,180,3876.750625348091,429.5480651855469,0.00015600615033690702,0.001,0.1381988525390625,0.8903623819351196,0.01193415,-5.210486251488328,0.2,0.06129324436187744,,
20,592.736,342,1913,301.0,655360,190,4672.640860581398,1096.2276611328125,-0.0009732116941449931,0.001,0.1536956787109375,0.8849023580551147,0.015093964,-5.191314377635718,0.2,0.06082630157470703,,
21,848.4652,341,2012,301.0,688128,200,3418.362037038803,342.3250732421875,0.0007746861078430812,0.001,0.1609619140625,0.8834414482116699,0.013500905,-5.1721998758614065,0.2,0.0814828872680664,,
22,711.8716,341,2110,301.0,720896,210,5717.4939601898195,2289.41650390625,0.002010921305009106,0.001,0.1613433837890625,0.8772217035293579,0.013982013,-5.161863836273551,0.2,0.01644951105117798,,
