time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
1,-220.53143,56,301.0,32768,582,,,,,,,,,,,,,
2,-1825.1101,243,145.55,65536,269,99.06407172605395,0.01,0.9996002197265625,-6.039534317702055,47.44677734375,-8.392333984375e-05,0.2,10,70.03822,0.3164744249459545,1.0961111783981323,,
3,-1752.571,437,140.39,98304,224,43561.38987145424,0.01,0.9995330810546875,-6.012654334912076,13854.19921875,0.0,0.2,20,921.8415,0.28158975163087235,1.0879513025283813,,
4,-1731.0741,645,140.18,131072,202,38804.26740250587,0.01,0.9998291015625,-6.258770100213587,49654.55078125,0.0,0.2,30,104.001564,0.28067378432460827,1.1735169887542725,,
5,-1955.1125,843,175.74,163840,194,28919.028171014786,0.01,0.999871826171875,-6.721300287172198,9279.412109375,0.0,0.2,40,822.90515,0.2877629496759255,1.3610196113586426,,
6,-578.57764,1050,301.0,196608,187,16201.83289592266,0.01,0.999871826171875,-7.665604650462046,9360.8935546875,0.0,0.2,50,346.321,0.28451996461008094,1.8049139976501465,,
7,-496.81876,1259,301.0,229376,182,5587.158992159367,0.01,0.9998992919921875,-7.359896331327036,748.3651733398438,0.0,0.2,60,305.80838,0.21705845962678721,1.622170329093933,,
8,-496.8154,1473,301.0,262144,177,4300.778656218946,0.01,0.99984130859375,-7.337728155776858,954.7939453125,0.0,0.2,70,179.18842,0.22875950651359744,1.6449302434921265,,
9,-496.71246,1687,301.0,294912,174,3041.5289374791087,0.01,0.99986572265625,-7.8975956134032455,2703.225341796875,-1.1920928955078125e-07,0.2,80,190.01062,0.2279507143841329,1.9593422412872314,,
10,-496.69046,1902,301.0,327680,172,2365.5258211947976,0.01,0.999896240234375,-8.24174310164526,714.9652709960938,0.0,0.2,90,184.56021,0.22837299593375066,2.1270415782928467,,
11,-496.8195,2119,301.0,360448,170,1843.9597980269232,0.01,0.999896240234375,-8.208017344400286,965.135986328125,0.0,0.2,100,196.67502,0.23058479951587288,2.1751279830932617,,
12,-1716.7946,2333,163.32,393216,168,1333.8550985774025,0.01,0.9998992919921875,-7.688200847245753,490.0423889160156,0.0,0.2,110,1238.8922,0.22362444710888668,1.9164243936538696,,
13,-528.4,2548,301.0,425984,167,33997.79263238907,0.01,0.999896240234375,-7.9306496120058,15474.2421875,0.0,0.2,120,244.5117,0.27931123431881133,2.0891077518463135,,
14,-496.7752,2763,301.0,458752,166,2496.2595898404716,0.01,0.9998992919921875,-8.077557988837361,1401.5556640625,0.0,0.2,130,195.57121,0.2193623547351308,2.1694397926330566,,
15,-497.14606,2978,301.0,491520,165,1823.691724966839,0.01,0.9998931884765625,-8.632365336455404,369.2292175292969,5.960464477539063e-08,0.2,140,774.2543,0.2219976977326951,2.4437220096588135,,
16,-496.89944,3192,301.0,524288,164,1606.40731007047,0.01,0.99990234375,-8.354704128950834,1007.1832275390625,0.0,0.2,150,489.60474,0.22978543515746425,2.2272045612335205,,
17,-496.77277,3407,301.0,557056,163,1310.1364334182813,0.01,0.99990234375,-8.271022826619447,870.9981689453125,1.1920928955078125e-07,0.2,160,549.6256,0.23046826427380437,2.1465227603912354,,
18,-496.6671,3622,301.0,589824,162,1093.6236937906592,0.01,0.99990234375,-8.45720473350957,245.44125366210938,0.0,0.2,170,496.80475,0.2307051231033256,2.3109538555145264,,
19,-497.40872,3837,301.0,622592,162,911.4752385934814,0.01,0.99989013671875,-8.521716446615756,1613.2464599609375,5.960464477539063e-08,0.2,180,147.73024,0.226977774304396,2.273115396499634,,
20,-496.8034,4051,301.0,655360,161,731.5923534396104,0.01,0.9998992919921875,-8.114131593238563,132.46759033203125,0.0,0.2,190,1102.5297,0.2216724517278635,2.224942207336426,,
21,-496.138,4266,301.0,688128,161,718.7694225873798,0.01,0.99990234375,-8.164834978524595,375.72235107421875,0.0,0.2,200,829.95526,0.22995985176385147,2.4422709941864014,,
22,-496.2451,4480,301.0,720896,160,655.0028796204366,0.01,0.999896240234375,-9.443871610611676,186.08700561523438,0.0,0.2,210,426.97662,0.23093424069011234,3.3474669456481934,,
23,-496.43298,4695,301.0,753664,160,614.9685881832614,0.01,0.9998992919921875,-9.705906464532017,361.4674377441406,0.0,0.2,220,265.98413,0.23047138207039097,3.2195799350738525,,
24,-496.75647,4909,301.0,786432,160,564.176921923738,0.01,0.99990234375,-9.310020071268081,398.95343017578125,0.0,0.2,230,1139.574,0.2289480827310399,2.995685338973999,,
25,-496.24667,5128,301.0,819200,159,481.08615072518586,0.01,0.9998992919921875,-9.674994474090635,60.9954719543457,-1.1920928955078125e-07,0.2,240,94.43589,0.22128358750851476,3.1883127689361572,,
26,-496.67618,5343,301.0,851968,159,520.6656175657175,0.01,0.99990234375,-9.876006642915309,107.94239044189453,0.0,0.2,250,426.54184,0.22894727132115805,3.0709052085876465,,
27,-497.01855,5559,301.0,884736,159,505.16143938228487,0.01,0.9998992919921875,-10.528667746391147,278.879638671875,0.0,0.2,260,253.7237,0.2305699040503896,3.7150917053222656,,
28,-496.59167,5775,301.0,917504,158,494.14188847066833,0.01,0.999896240234375,-10.602404742408543,265.17901611328125,0.0,0.2,270,393.93674,0.2308750454118126,3.897663116455078,,
29,-496.2723,5989,301.0,950272,158,483.1151332480833,0.01,0.999884033203125,-10.43613963574171,229.9403076171875,-1.1920928955078125e-07,0.2,280,527.79614,0.2305694298032904,4.0564985275268555,,
30,-496.55667,6204,301.0,983040,158,400.29507290080653,0.01,0.99990234375,-9.309979204274715,126.21821594238281,0.0,0.2,290,536.6298,0.2222875996027142,3.0429656505584717,,
31,-496.76816,6419,301.0,1015808,158,465.630752929952,0.01,0.99990234375,-9.934354473464191,367.46484375,0.0,0.2,300,321.76953,0.2281506768644249,3.1370670795440674,,
32,-496.46008,6637,301.0,1048576,157,457.5282316564582,0.01,0.9998931884765625,-8.622256674058736,59.31669998168945,1.1920928955078125e-07,0.2,310,447.14893,0.23076969542598819,2.2154197692871094,,
33,-496.70435,6850,301.0,1081344,157,467.8027930451557,0.01,0.99990234375,-8.779968950338661,301.4670715332031,0.0,0.2,320,533.1433,0.23045213716904983,2.378791332244873,,
34,-496.4767,7064,301.0,1114112,157,465.9354435936548,0.01,0.99990234375,-9.767646292131394,199.9125213623047,5.960464477539063e-08,0.2,330,316.3389,0.23040510921200621,2.9172773361206055,,
35,-496.5933,7278,301.0,1146880,157,400.7252365494613,0.01,0.999896240234375,-9.962225387990475,258.3478088378906,0.0,0.2,340,247.1388,0.22162191571151196,2.985704183578491,,
36,-496.59332,7492,301.0,1179648,157,461.6584090523887,0.01,0.9998992919921875,-10.810115814767778,371.42498779296875,0.0,0.2,350,368.49146,0.22808836314143263,3.914060592651367,,
37,-496.33716,7706,301.0,1212416,157,456.5462711913045,0.01,0.99990234375,-10.98885422712192,77.72505187988281,0.0,0.2,360,258.13504,0.23077157142333818,3.8603053092956543,,
38,-496.69788,7921,301.0,1245184,157,457.6968104981817,0.01,0.9998748779296875,-11.959489456098527,26.570066452026367,5.960464477539063e-08,0.2,370,334.48926,0.23098405059499783,5.41707181930542,,
39,-496.99765,8135,301.0,1277952,157,452.42433754727244,0.01,0.99989013671875,-12.490961572993546,357.5300598144531,0.0,0.2,380,124.19652,0.23094164055364672,5.87481689453125,,
40,-496.34055,8350,301.0,1310720,156,406.8058580996003,0.01,0.99986572265625,-12.391513742227108,428.6754455566406,5.960464477539063e-08,0.2,390,268.46375,0.22266641746500682,6.645583629608154,,
41,-496.52945,8571,301.0,1343488,156,446.22458869451657,0.01,0.9998809814453125,-12.390657161083073,275.8531799316406,0.0,0.2,400,94.24213,0.2266146467984072,6.167215347290039,,
42,-496.90427,8785,301.0,1376256,156,462.69268025048075,0.01,0.9998626708984375,-12.30253430409357,396.6109313964844,0.0,0.2,410,298.48004,0.23065518420589798,6.443273067474365,,
43,-496.70242,9009,301.0,1409024,156,448.6877196763642,0.01,0.9998779296875,-12.939171893149615,273.9958801269531,-1.1920928955078125e-07,0.2,420,94.8889,0.2306893987022704,7.299061298370361,,
44,-496.4616,9208,301.0,1441792,156,437.94801456118,0.01,0.9998748779296875,-14.35629315143451,133.28857421875,0.0,0.2,430,41.409264,0.23132467911927962,10.093291282653809,,
45,-496.13333,9408,301.0,1474560,156,396.6880842382554,0.01,0.9997802734375,-14.29900301527232,101.08446502685547,-1.1920928955078125e-07,0.2,440,54.4084,0.22432530751430022,9.379096031188965,,
46,-496.30823,9609,301.0,1507328,156,425.38365294598043,0.01,0.9995208740234375,-14.287197506055236,135.33518981933594,0.0,0.2,450,39.87784,0.22620104222296505,10.60430908203125,,
47,-496.88754,9806,301.0,1540096,157,455.38887450080364,0.01,0.999853515625,-15.445347897335887,329.6648254394531,-1.1920928955078125e-07,0.2,460,47.30466,0.23053268100302376,13.914433479309082,,
48,-496.61276,10006,301.0,1572864,157,442.5314888552763,0.01,0.999517822265625,-15.86620128452778,92.26695251464844,0.0,0.2,470,43.25679,0.23036625975364586,16.647785186767578,,
