time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction
1017,360448,1388.0,354,423.24,11,0.00470710132685781,0.015487306,-1.8456759743392468,0.001,2630.35205078125,0.38428795337677,0.604501336812973,3190,0.2,13925.546280670165,0.1767730712890625
1109,393216,1473.0155,354,430.89,12,0.0049715552062480125,0.018148974,-1.8376409684307873,0.001,2880.50439453125,0.3836754560470581,0.6172043681144714,3200,0.2,13426.842197418213,0.2026275634765625
1201,425984,1265.9552,354,416.66,13,0.004884039991611644,0.017538844,-1.8325618885457515,0.001,2733.185546875,0.3833012580871582,0.5769030153751373,3210,0.2,14362.116567230225,0.1907257080078125
1294,458752,1428.8113,354,426.26,14,0.004743172723192401,0.01771288,-1.8273127499967814,0.001,3955.780029296875,0.3824923038482666,0.5946045815944672,3220,0.2,13966.659406661987,0.195855712890625
1386,491520,1636.4597,354,433.64,15,0.0048363117863118536,0.014578553,-1.8204663067124784,0.001,2820.072021484375,0.3819916248321533,0.679207980632782,3230,0.2,14042.81707458496,0.1650054931640625
1479,524288,1833.0,354,447.69,16,0.0061063043692684005,0.019309582,-1.8173642877489329,0.001,3079.66748046875,0.38188594579696655,0.6442750692367554,3240,0.2,15214.682759284973,0.2230438232421875
1573,557056,1749.5835,353,444.77,17,0.004068140175240842,0.01735846,-1.813097214139998,0.001,3204.80908203125,0.3812709152698517,0.666605144739151,3250,0.2,11472.8778591156,0.1962493896484375
1667,589824,1941.192,353,456.23,18,0.003160063349878328,0.016641617,-1.8048005689866842,0.001,5487.85107421875,0.380509614944458,0.6024640500545502,3260,0.2,14058.69922657013,0.1907073974609375
1762,622592,2349.9155,353,481.37,19,0.005164502181514763,0.01732428,-1.8014867207035423,0.001,1439.498291015625,0.38041746616363525,0.6514770984649658,3270,0.2,12390.078764152528,0.200531005859375
1856,655360,2132.0,353,456.44,20,0.00388454895655741,0.018909678,-1.7977521946653723,0.001,2870.166015625,0.3798958659172058,0.6392801403999329,3280,0.2,12550.292122650146,0.207672119140625
1947,688128,1343.0,353,402.95,21,0.004977059892189573,0.01777962,-1.7931067927740514,0.001,2876.1708984375,0.3796384334564209,0.5998087227344513,3290,0.2,14045.005368804932,0.2031890869140625
2042,720896,1991.0,352,454.74,22,0.0028641208035878663,0.01518111,-1.7937181293033064,0.001,2511.023681640625,0.3797593116760254,0.6499769389629364,3300,0.2,11728.31549053192,0.1741607666015625
2140,753664,1680.0,352,438.59,23,0.0017764397101018403,0.014607028,-1.7901355280540883,0.001,2381.530029296875,0.37899816036224365,0.5934867262840271,3310,0.2,12392.273349952698,0.171221923828125
2239,786432,1262.0,351,417.13,24,0.0018850616855161206,0.014779922,-1.7830903836525978,0.001,2401.02099609375,0.3783392012119293,0.6406747996807098,3320,0.2,11843.071782112122,0.16024169921875
