time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length
1,-79.36164,430,76,301.0,32768,,,,,,,,,,,,,
2,-99.67157,365,179,301.0,65536,10,2527.814621977508,3222.304931640625,0.011120349591465128,0.001,0.212518310546875,1.0019911527633667,0.0050668037,-5.6886201107874514,0.2,3.2782554626464844e-06,,
3,36.335835,345,284,301.0,98304,20,755.1362776830792,61.78282928466797,-0.005401121271825104,0.001,0.0726806640625,1.0053108930587769,0.0077037364,-5.686221568100154,0.2,0.05762571096420288,,
4,97.891884,335,390,301.0,131072,30,1182.2877484962344,522.0931396484375,-0.0037859936479890167,0.001,0.091741943359375,0.9972836971282959,0.009919843,-5.669556789658964,0.2,0.05015754699707031,,
5,215.08199,329,496,301.0,163840,40,1439.7240160480142,51.46396255493164,-0.0014320876542569748,0.001,0.12103271484375,0.9858049750328064,0.011774773,-5.65117831453681,0.2,-0.008891463279724121,,
6,259.8423,326,602,301.0,196608,50,2051.466089016199,469.993896484375,-0.000898643763389373,0.001,0.14571533203125,0.9828831553459167,0.013790399,-5.612841622345149,0.2,-0.05525481700897217,,
7,472.6727,323,709,301.0,229376,60,1728.6203790247441,50.449954986572266,-0.0005264411902317079,0.001,0.1627288818359375,0.9847490787506104,0.020969449,-5.6105617672204975,0.2,-0.19158828258514404,,
8,411.1219,321,816,301.0,262144,70,2920.620409667492,656.5122680664062,7.754966259199136e-05,0.001,0.176141357421875,0.9800208210945129,0.015467642,-5.602402734570205,0.2,-0.0016956329345703125,,
9,393.2617,319,923,301.0,294912,80,3205.4080506145956,213.12872314453125,-6.942221762074041e-05,0.001,0.1858001708984375,0.9792160987854004,0.018782655,-5.587638934515416,0.2,-0.08416342735290527,,
10,260.52072,318,1030,301.0,327680,90,2553.424348050356,149.67835998535156,0.0005732104824801354,0.001,0.168402099609375,0.97456955909729,0.01588441,-5.5867324590682985,0.2,-0.09430527687072754,,
11,300.68567,316,1137,299.63,360448,100,1243.1627677351237,1023.5572509765625,0.0016009503875011432,0.001,0.2430694580078125,0.9749877452850342,0.025257243,-5.566825695335865,0.2,-0.08467841148376465,,
12,550.8056,315,1245,301.0,393216,110,1639.6285321325063,1618.439453125,0.004003566441724615,0.001,0.2778167724609375,0.9798591136932373,0.031501632,-5.573375605605543,0.2,0.006222665309906006,,
13,621.4138,314,1353,301.0,425984,120,3776.357002782822,445.43597412109375,0.00247703462082427,0.001,0.2564453125,0.9783026576042175,0.027529206,-5.603723354823887,0.2,-0.0012259483337402344,,
14,521.84644,313,1461,301.0,458752,130,3821.68896202445,2356.979248046875,0.005816222004568772,0.001,0.2996917724609375,0.9755154252052307,0.032262154,-5.584834531880915,0.2,-0.01499474048614502,,
15,544.7475,313,1568,301.0,491520,140,3603.868299794197,225.1074676513672,0.0035018326803083256,0.001,0.3001434326171875,0.9703390002250671,0.033115737,-5.5525710109621285,0.2,-0.031806230545043945,,
16,672.6322,312,1677,301.0,524288,150,2733.787808728218,377.2401428222656,0.006276429473473399,0.001,0.3089385986328125,0.9814262390136719,0.037935898,-5.572672928124666,0.2,0.011410295963287354,,
17,658.0968,311,1786,301.0,557056,160,4715.514158058167,4242.00634765625,0.003876234310791915,0.001,0.2699462890625,0.9763181209564209,0.026579045,-5.584157704375684,0.2,-0.017424583435058594,,
18,656.0804,311,1895,301.0,589824,170,4212.648649847508,13844.203125,0.0015210854817269137,0.001,0.2847259521484375,0.972416877746582,0.029881157,-5.557823934592307,0.2,-0.03213822841644287,,
19,531.0924,310,2004,301.0,622592,180,3055.3565887272357,426.8583068847656,0.0017144676496627653,0.001,0.298773193359375,0.9661771059036255,0.032026425,-5.544207770004869,0.2,-0.025526881217956543,,
20,814.50226,310,2111,301.0,655360,190,2376.118818151951,227.2398223876953,0.004076724413926059,0.001,0.33565673828125,0.9557170867919922,0.039927527,-5.512289059348404,0.2,0.11130005121231079,,
21,587.3117,310,2219,301.0,688128,200,3918.4416693389417,207.75746154785156,0.0033173465201798537,0.001,0.324072265625,0.9504420757293701,0.03500446,-5.4770943585783245,0.2,0.00854402780532837,,
22,424.2,309,2327,296.24,720896,210,3180.507925570011,6145.38037109375,0.0021245914394057764,0.001,0.3171295166015625,0.9523389339447021,0.036216117,-5.476102807931602,0.2,0.02984994649887085,,
23,615.50854,309,2434,301.0,753664,220,2505.5441204786302,171.36631774902344,0.002406728086725707,0.001,0.3363525390625,0.9561469554901123,0.040002383,-5.479220179095864,0.2,0.01679772138595581,,
24,515.59454,309,2541,299.04,786432,230,3814.7779167056083,3472.816650390625,0.0018858184926557442,0.001,0.3209442138671875,0.9491157531738281,0.032473918,-5.464493078552186,0.2,0.027301013469696045,,
25,686.9836,309,2649,301.0,819200,240,2701.4859696149824,307.80010986328125,0.002380233998337644,0.001,0.32086181640625,0.9441856145858765,0.035147242,-5.447935924120247,0.2,0.15810388326644897,,
26,877.0785,309,2756,299.49,851968,250,3353.9630451083185,639.2813110351562,0.0018547559157013893,0.001,0.327960205078125,0.9388929009437561,0.039300304,-5.428919363580644,0.2,0.1620769500732422,,
27,689.2364,308,2864,301.0,884736,260,5050.506952786445,975.6886596679688,0.002541535580166965,0.001,0.3441864013671875,0.9373716115951538,0.038996473,-5.402797822467983,0.2,0.09902667999267578,,
