time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,train/clip_range,train/std,train/entropy_loss,train/loss,train/learning_rate
1,4106.9297,32768,246,132,659.475,,,,,,,,,,,
2,4614.8706,65536,245,266,703.3253012048193,2480,0.0006283138314756798,0.07728271484375,0.008967703,0.045824289321899414,61393.61336669922,0.2,0.3944372236728668,-1.9466501522809267,24301.79296875,0.0001
3,5220.9355,98304,246,399,751.83,2490,0.0013990578863740666,0.069708251953125,0.0083221765,0.13037461042404175,55712.529284667966,0.2,0.394345760345459,-1.9454666387289763,21925.744140625,0.0001
4,5467.6846,131072,245,533,785.03,2500,-3.0717393383383754e-05,0.0528961181640625,0.0072114784,0.2748912572860718,52418.12509765625,0.2,0.394270122051239,-1.9445985350757837,19548.70703125,0.0001
5,5737.755,163840,246,665,820.24,2510,-0.00035545811988413334,0.0503082275390625,0.006982148,0.4162313938140869,47531.013427734375,0.2,0.394162654876709,-1.9437020901590585,16472.923828125,0.0001
6,6150.842,196608,246,799,834.26,2520,0.00015247232840920333,0.0497955322265625,0.007124054,0.3494566082954407,45545.064904785155,0.2,0.3940414786338806,-1.9424662243574857,18400.13671875,0.0001
7,6832.378,229376,246,931,852.61,2530,0.0008209561619878514,0.0318145751953125,0.0054376745,0.37028968334198,49359.41635742188,0.2,0.39402028918266296,-1.9417099963873625,17521.572265625,0.0001
8,7335.17,262144,244,1072,868.21,2540,0.0001736682244882104,0.0363922119140625,0.0056261355,0.40086859464645386,46624.61530761719,0.2,0.39399200677871704,-1.941431701928377,16740.4375,0.0001
9,7427.6973,294912,244,1206,862.41,2550,0.0011003867288309267,0.0477508544921875,0.0064499895,0.46071678400039673,47641.24376220703,0.2,0.3938995599746704,-1.9408556181937455,16378.9130859375,0.0001
