time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range
12,393216,825,301.0,476,-496.371,0.01,311.4221821069717,0.9842376708984375,154.4340362548828,0.0,0.20675722737250907,5.024844169616699,110,-11.222680346667767,91.0903,0.2
13,425984,894,301.0,475,-496.4579,0.01,374.8528700113296,0.97760009765625,209.0204620361328,-1.1920928955078125e-07,0.21759090170671697,4.785579204559326,120,-11.053959798812866,89.402695,0.2
14,458752,966,301.0,474,-496.98102,0.01,382.7014324903488,0.984033203125,183.55735778808594,0.0,0.2177781806272833,5.148470401763916,130,-11.39603069126606,66.991295,0.2
15,491520,1034,176.84,475,-2031.4269,0.01,392.0918077707291,0.9841339111328125,266.2895812988281,0.0,0.21696221335441807,6.039198875427246,140,-12.18126252144575,37.60201,0.2
16,524288,1101,301.0,475,-535.57623,0.01,35683.86411743164,0.767169189453125,16389.994140625,0.0,0.19879470992227652,5.518466949462891,150,-12.119765548408031,27.902134,0.2
17,557056,1168,272.21,476,-2351.9539,0.01,2234.0251960754395,0.9156005859375,1026.282958984375,-1.1920928955078125e-07,0.18135650247531884,5.7373528480529785,160,-12.353441244363784,22.996313,0.2
18,589824,1236,124.14,477,-1717.7482,0.01,17599.480334472657,0.8576568603515625,6947.9052734375,-1.1920928955078125e-07,0.19841412494915858,4.423215389251709,170,-11.72237000465393,155.69058,0.2
19,622592,1305,188.71,476,-2099.8413,0.01,25944.700381469727,0.82366943359375,10391.80078125,0.0,0.244111725917719,4.337918758392334,180,-11.318091872334481,102.942406,0.2
20,655360,1389,301.0,471,-538.78204,0.01,16762.25644378662,0.894647216796875,7275.0078125,-1.1920928955078125e-07,0.23929104184871902,4.038347244262695,190,-11.057217292487621,76.136795,0.2
21,688128,1462,137.18,470,-1845.6764,0.01,6577.674182510376,0.8715606689453125,3243.037353515625,5.960464477539063e-08,0.18395928388963512,4.253917694091797,200,-11.227981290221214,64.97623,0.2
