rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/explained_variance,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl
-130.66034,1,301.0,424,77,32768,,,,,,,,,,,
-67.443886,2,301.0,392,167,65536,0.0478179931640625,-0.0003230571746826172,30.38727569580078,347.83222601115705,0.001,1.0018022060394287,10,-5.678549696877599,-0.0039074706160135975,0.2,0.0048570046
-18.82994,3,301.0,380,258,98304,0.02724609375,0.057784855365753174,252.58041381835938,832.8714153289795,0.001,1.003978967666626,20,-5.688195648789406,-0.002292997504264349,0.2,0.0042425264
-70.08982,4,301.0,375,348,131072,0.0354461669921875,0.09497427940368652,38.3393440246582,710.5444896429777,0.001,1.0045905113220215,30,-5.69631960131228,-0.002905303146872029,0.2,0.0049153212
61.51774,5,301.0,358,457,163840,0.0499359130859375,0.18174105882644653,512.1505737304688,223.43661031872034,0.001,1.0016380548477173,40,-5.689425806701183,-0.005107009153880427,0.2,0.0063770423
125.50393,6,301.0,300,653,196608,0.07095947265625,0.020408987998962402,496.9572448730469,1489.32130548954,0.001,0.9995715618133545,50,-5.6706907030195,-0.002939713506384578,0.2,0.0083673075
193.63708,7,301.0,269,849,229376,0.1236907958984375,0.04133021831512451,1022.9423217773438,772.5969870045781,0.001,0.9908546209335327,60,-5.645741390809417,-0.003919817218729804,0.2,0.010421375
255.15,8,301.0,269,973,262144,0.1120574951171875,-0.027943849563598633,962.008544921875,1071.6688124716281,0.001,0.9827362298965454,70,-5.614150945097208,-0.0016784096496849088,0.2,0.010904622
355.3197,9,301.0,276,1068,294912,0.1601959228515625,-0.02489030361175537,770.6494750976562,1665.4091559410094,0.001,0.9781606793403625,80,-5.583119906112552,-7.202117612905567e-05,0.2,0.014681721
461.75275,10,301.0,282,1161,327680,0.17857666015625,-0.021199703216552734,854.07470703125,2158.0594328045845,0.001,0.9731872081756592,90,-5.560485870391131,0.0007605981930737471,0.2,0.015142014
341.98505,11,301.0,287,1254,360448,0.1926788330078125,-0.039252638816833496,455.7297668457031,2668.669630074501,0.001,0.9739232063293457,100,-5.552504416555166,0.0024084313009552715,0.2,0.015063978
484.10074,12,301.0,292,1345,393216,0.1787689208984375,0.013315379619598389,55.47542190551758,1727.1117116034031,0.001,0.9643488526344299,110,-5.54045894369483,0.0022344570519294395,0.2,0.016366184
406.01086,13,301.0,296,1437,425984,0.19085693359375,-0.02862846851348877,676.7822875976562,2337.1335958480836,0.001,0.9554411768913269,120,-5.503483704477548,0.00425811260492992,0.2,0.017681707
477.97153,14,301.0,285,1604,458752,0.1860015869140625,0.06193399429321289,936.1654663085938,1404.4084806025028,0.001,0.9469813704490662,130,-5.467205354198813,0.0015644776995031862,0.2,0.015807634
550.9251,15,301.0,286,1714,491520,0.205352783203125,-0.028770923614501953,186.19369506835938,1911.4929756045342,0.001,0.928730845451355,140,-5.408201934024691,0.0019003957386303227,0.2,0.019383036
514.78064,16,301.0,289,1809,524288,0.2192535400390625,-0.04009127616882324,359.437255859375,2402.582279133797,0.001,0.9215353727340698,150,-5.354595817252994,0.004084390397929382,0.2,0.019687489
566.75836,17,301.0,292,1904,557056,0.203717041015625,-0.02386760711669922,722.9700317382812,2557.6856780052185,0.001,0.9149934649467468,160,-5.321196959540248,0.003061311525561905,0.2,0.018571433
607.6905,18,301.0,294,2001,589824,0.2108184814453125,0.05550771951675415,266.10626220703125,2458.674128651619,0.001,0.9096331596374512,170,-5.293686854466796,0.003163968912031123,0.2,0.017340694
