time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance
1,301.0,32768,557,58,-211.56038,,,,,,,,,,,
2,189.76,65536,358,182,-3583.3516,0.2,0.01,0.99974365234375,10,58.29139,96.81149396598339,1.032379388809204,0.32033475505159004,-5.797025444358587,52.625335693359375,0.00038629770278930664
3,301.0,98304,312,314,-516.6218,0.2,0.01,0.9996978759765625,20,143.19913,767304.7094291687,1.0381426811218262,0.19435436845560616,-5.812492691166699,412695.53125,-1.1920928955078125e-07
4,157.0,131072,294,444,-4417.338,0.2,0.01,0.9998046875,30,339.28516,1532.2786525011063,0.9339996576309204,0.22006134615658085,-5.37891273861751,267.38568115234375,-1.1920928955078125e-07
5,157.0,163840,284,575,-4407.262,0.2,0.01,0.9997467041015625,40,176.01288,1391117.3101409911,0.9451025128364563,0.2069951768429746,-5.424877460673452,58790.59375,-1.1920928955078125e-07
6,157.0,196608,278,705,-4377.3374,0.2,0.01,0.9997039794921875,50,384.84332,1311273.8010284423,0.9683961868286133,0.2018200802791398,-5.522262669354677,445647.28125,1.1920928955078125e-07
7,157.0,229376,273,839,-4397.2207,0.2,0.01,0.9998046875,60,348.84998,1252631.3642318726,0.9758923053741455,0.1980054554864182,-5.548580097686499,1179902.25,0.0
8,146.93,262144,269,971,-3208.31,0.2,0.01,0.999798583984375,70,280.17328,1234049.8091567992,0.9746264219284058,0.19807515007123583,-5.539445916935802,1288853.75,0.0
9,124.05,294912,266,1106,-2351.3882,0.2,0.01,0.9998046875,80,2229.141,1145936.7489635467,1.1465129852294922,0.1636168301352882,-6.204800827614963,665937.8125,0.0
10,140.09,327680,264,1240,-2641.742,0.2,0.01,0.9998046875,90,636.3274,563000.6011434555,1.153010368347168,0.16233241647096291,-6.237034518178552,30496.1953125,1.1920928955078125e-07
11,301.0,360448,260,1382,-574.97833,0.2,0.01,0.9998046875,100,2043.408,768658.1537492753,1.1938819885253906,0.15571180685219588,-6.363665353599936,216625.984375,1.7881393432617188e-07
12,301.0,393216,258,1521,-508.37958,0.2,0.01,0.9997711181640625,110,779.00635,196650.15855460166,1.1910710334777832,0.2089644942396262,-6.356472092121839,11955.265625,-1.1920928955078125e-07
