time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,train/std,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/loss,train/value_loss,train/approx_kl
59,1,32768,3333.0696,550,301.0,,,,,,,,,,,
249,2,65536,3243.521,262,301.0,630,0.001,0.21507972478866577,-4.396365718310699,0.7282878160476685,0.6025787353515625,0.06539478472751625,0.2,3507.3251953125,27158.883578038214,0.114820495
445,3,98304,3413.8682,220,301.0,640,0.001,0.34556591510772705,-4.414795462274924,0.7326287627220154,0.479718017578125,0.03330573690238907,0.2,3842.9716796875,22552.74687560797,0.06924485
642,4,131072,3502.2354,204,301.0,650,0.001,0.3023146986961365,-4.435550576308742,0.7339792847633362,0.46517333984375,0.03188961217194901,0.2,1968.89306640625,21807.193850195406,0.06779653
839,5,163840,3018.6838,195,301.0,660,0.001,0.3377494812011719,-4.430663600005209,0.7327671647071838,0.445562744140625,0.026154687007328904,0.2,3046.6640625,21838.08241121769,0.058614593
1043,6,196608,3177.0042,188,301.0,670,0.001,0.38867467641830444,-4.428772724000737,0.7350232601165771,0.435321044921875,0.02578154865432225,0.2,2562.10986328125,19286.058604395388,0.057490066
1246,7,229376,3430.0884,183,301.0,680,0.001,0.46300578117370605,-4.444163022888825,0.7356669902801514,0.4231719970703125,0.02159335506989919,0.2,4076.206787109375,20982.510546410085,0.05302216
1444,8,262144,3487.1404,181,301.0,690,0.001,0.4130193591117859,-4.4604981017298995,0.7420164942741394,0.430010986328125,0.02719866188162996,0.2,3557.893310546875,22912.055822896957,0.054651633
1641,9,294912,3121.3257,179,301.0,700,0.001,0.3946508765220642,-4.465904643386603,0.740062952041626,0.4178863525390625,0.023933186286194542,0.2,16437.068359375,21253.814184165,0.052338466
1838,10,327680,2617.863,178,301.0,710,0.001,0.37902212142944336,-4.4597821943461895,0.7404369711875916,0.4070343017578125,0.022222493621507057,0.2,4822.61669921875,23875.00182607174,0.049649127
2035,11,360448,3502.9673,177,301.0,720,0.001,0.4899214506149292,-4.450634456845,0.736125111579895,0.3842987060546875,0.018236082705152513,0.2,1310.6025390625,19295.03385682106,0.044776425
2232,12,393216,3867.5693,176,301.0,730,0.001,0.3975815773010254,-4.431651930138469,0.7339757680892944,0.4115478515625,0.02378465845234814,0.2,5291.923828125,27738.12297067642,0.050811857
2429,13,425984,3963.429,175,301.0,740,0.001,0.41551685333251953,-4.423686515260488,0.7327913045883179,0.397509765625,0.023127723507093377,0.2,6317.6865234375,29272.031341362,0.04825962
2627,14,458752,3777.6003,174,301.0,750,0.001,0.34471410512924194,-4.428746680403128,0.735317587852478,0.409759521484375,0.02725144698379154,0.2,5180.94775390625,30809.144634985925,0.05152537
2824,15,491520,3804.995,174,301.0,760,0.001,0.3971577286720276,-4.440340009564534,0.7372686862945557,0.4159088134765625,0.023101403568495014,0.2,6160.1982421875,30089.045746302603,0.053603195
3020,16,524288,3770.711,173,301.0,770,0.001,0.43200230598449707,-4.450942386779934,0.739067792892456,0.417498779296875,0.02370160952148126,0.2,8040.4501953125,31123.79793419838,0.052230004
3219,17,557056,3914.8171,173,301.0,780,0.001,0.3448377251625061,-4.447731640888378,0.7377215623855591,0.4252197265625,0.02869273570079258,0.2,5495.884765625,32994.68814470768,0.054858603
3416,18,589824,3363.6506,172,301.0,790,0.001,0.29492461681365967,-4.440152374329045,0.7356411218643188,0.4295684814453125,0.029205391482503274,0.2,5823.548828125,37998.635586595534,0.057966955
3613,19,622592,3195.077,172,301.0,800,0.001,0.3566465377807617,-4.428131928341463,0.734662652015686,0.4185150146484375,0.02542511698341059,0.2,6240.01025390625,35003.05141468048,0.053949803
3811,20,655360,3405.4517,171,301.0,810,0.001,0.3549302816390991,-4.423685956792906,0.7333855032920837,0.4261932373046875,0.02551850537206519,0.2,16119.0361328125,33718.7659542799,0.053394645
4015,21,688128,3343.745,171,301.0,820,0.001,0.3786613941192627,-4.421062446944416,0.733921229839325,0.392620849609375,0.024716982502661723,0.2,7831.06689453125,36914.5087395668,0.048453435
4225,22,720896,3438.7,170,301.0,830,0.001,0.4072171449661255,-4.4037564732600005,0.7288262844085693,0.4144134521484375,0.024499377890197137,0.2,5878.66455078125,34400.11975090504,0.053589437
4428,23,753664,3436.8682,170,301.0,840,0.001,0.4204068183898926,-4.385596621735021,0.7261762022972107,0.4089508056640625,0.02383264973424275,0.2,6513.6875,36317.51844451427,0.054185383
4628,24,786432,3508.0493,169,301.0,850,0.001,0.4307258725166321,-4.382750127185136,0.7267034649848938,0.4139923095703125,0.028661069046734156,0.2,8267.96484375,40665.66602711678,0.056313377
4827,25,819200,3031.5232,169,301.0,860,0.001,0.42858850955963135,-4.383498787460849,0.725686252117157,0.4380859375,0.02956556674695321,0.2,12981.0126953125,40790.77799258232,0.05993531
5027,26,851968,2944.1282,169,301.0,870,0.001,0.36005473136901855,-4.371596797881648,0.7235623598098755,0.4198394775390625,0.02689058533994739,0.2,33609.70703125,39969.13186135292,0.055078913
5241,27,884736,3362.1982,168,301.0,880,0.001,0.45970654487609863,-4.371203500498086,0.7245960235595703,0.3959991455078125,0.025372570243195013,0.2,10075.4189453125,36672.227201652524,0.051518183
5453,28,917504,2971.5984,168,301.0,890,0.001,0.40381091833114624,-4.382436623936519,0.7264019846916199,0.3884033203125,0.023517074181836507,0.2,15594.333984375,42097.30745139122,0.048279963
5663,29,950272,2919.549,167,301.0,900,0.001,0.4109908938407898,-4.368436050135642,0.7221229076385498,0.40557861328125,0.02319423015367761,0.2,13343.1044921875,44375.51182923317,0.052509136
5863,30,983040,2528.3865,167,301.0,910,0.001,0.42128002643585205,-4.36965167815797,0.7245575785636902,0.3841766357421875,0.022750305137219585,0.2,14848.556640625,42082.55103092194,0.049493372
6061,31,1015808,2964.845,167,301.0,920,0.001,0.45118051767349243,-4.35731603470631,0.7214435935020447,0.3933135986328125,0.023787709413659285,0.2,17987.154296875,36360.26910457611,0.050277494
