time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
72,32768,757.7058,449,383.8933333333333,1,,,,,,,,,,,,,
153,65536,957.8164,426,398.16,2,0.0009078777524337056,0.007560905,-1.8841028839349747,0.001,12316.5107421875,0.38844650983810425,0.5681653022766113,3100,0.2,32721.860932922362,0.0738189697265625,,
237,98304,1145.9625,413,411.5,3,0.0012042046989336086,0.009082677,-1.8837413150817155,0.001,8124.32421875,0.38831472396850586,0.6376047730445862,3110,0.2,25364.674101257326,0.0914215087890625,,
321,131072,1224.0,407,415.66,4,0.002927253264533647,0.00868827,-1.881858706101775,0.001,9776.5693359375,0.3880805969238281,0.6935164928436279,3120,0.2,25869.53142089844,0.0864349365234375,,
407,163840,1104.0,402,410.85,5,0.00224374177014397,0.010552786,-1.8796916691586376,0.001,8869.4990234375,0.3879089057445526,0.6536269187927246,3130,0.2,23464.004620361327,0.122711181640625,,
493,196608,1745.0,398,443.15,6,0.0017384339102136438,0.009843752,-1.8791157053783536,0.001,6619.515625,0.3878834843635559,0.7023536562919617,3140,0.2,18930.734759521485,0.111810302734375,,
575,229376,1185.0,398,411.79,7,0.002354402828586899,0.012258999,-1.8768212463706733,0.001,5904.49658203125,0.3875608742237091,0.62861567735672,3150,0.2,21189.655055999756,0.1381561279296875,,
658,262144,1227.0,398,415.78,8,0.001864087697776995,0.00989343,-1.8750223407521844,0.001,5314.587890625,0.3875636160373688,0.654830813407898,3160,0.2,16949.073401641846,0.10914306640625,,
743,294912,1449.0,396,431.38,9,0.0031652532930820597,0.0121768275,-1.8751344306394457,0.001,5808.11474609375,0.3875265419483185,0.6957597136497498,3170,0.2,17601.285427093506,0.1435760498046875,,
829,327680,1622.9348,395,430.95,10,0.0024580250530561896,0.011715873,-1.873757187835872,0.001,4549.90380859375,0.38734427094459534,0.7373288571834564,3180,0.2,14713.607279968262,0.131475830078125,,
911,360448,1523.9348,395,425.53,11,0.00644921606653952,0.014013023,-1.8718938827514648,0.001,3733.439208984375,0.387174516916275,0.6305522918701172,3190,0.2,19093.782800292967,0.1561614990234375,,
994,393216,1339.0,395,420.72,12,0.00265592344567267,0.010859792,-1.8670346634462476,0.001,3651.32958984375,0.38641923666000366,0.6860425174236298,3200,0.2,14955.001001739502,0.12308349609375,,
1081,425984,1703.0,393,436.06,13,0.00322741178333672,0.010745427,-1.8632111059501768,0.001,4687.75732421875,0.38650643825531006,0.6691802442073822,3210,0.2,19443.473348236083,0.1255859375,,
1167,458752,1853.0,392,451.02,14,0.003611253419876448,0.012781117,-1.863881029933691,0.001,5409.47265625,0.38655245304107666,0.6581603288650513,3220,0.2,18618.52077713013,0.1450042724609375,,
1253,491520,1497.0,392,432.12,15,0.002402713114861399,0.013329197,-1.8638377510011197,0.001,3221.804443359375,0.38650819659233093,0.6842590868473053,3230,0.2,15033.812586212158,0.147979736328125,,
1336,524288,1726.0,392,443.42,16,0.002612173411216645,0.012461318,-1.8615924738347531,0.001,3672.123046875,0.38616037368774414,0.6964632570743561,3240,0.2,14065.581991577148,0.13548583984375,,
1418,557056,1130.0,392,404.59,17,0.004151548983281827,0.013836039,-1.8588694354519248,0.001,3211.30615234375,0.38600510358810425,0.6883978247642517,3250,0.2,15903.203832244873,0.163372802734375,,
1501,589824,1237.0,392,405.17,18,0.0024641534550028155,0.013468097,-1.8571529764682055,0.001,3292.520263671875,0.3857523500919342,0.7439647912979126,3260,0.2,15103.22098236084,0.148193359375,,
1585,622592,1232.0,392,409.71,19,0.0021376417091232723,0.013024084,-1.8556141687557102,0.001,4427.73779296875,0.38566088676452637,0.6710725426673889,3270,0.2,13512.285842132569,0.153564453125,,
1671,655360,1136.0,392,408.06,20,0.003927496308006084,0.0137657,-1.852528691291809,0.001,4141.291015625,0.38514232635498047,0.7165581285953522,3280,0.2,15810.940615081787,0.1600311279296875,,
1757,688128,1709.0,391,430.46,21,0.0018767366465908708,0.012460962,-1.8474529808387161,0.001,4101.048828125,0.38465970754623413,0.6858152449131012,3290,0.2,16351.302311706542,0.1426361083984375,,
1842,720896,1790.6829,391,421.41,22,0.0033521558114443907,0.014576456,-1.8444260006770492,0.001,4698.9873046875,0.3846031427383423,0.7062659561634064,3300,0.2,14846.996558761597,0.16876220703125,,
1929,753664,2072.9976,390,434.82,23,0.005128746497211978,0.015585516,-1.8404291709885001,0.001,2724.37939453125,0.3838832378387451,0.6570009887218475,3310,0.2,14503.563426208497,0.17220458984375,,
2012,786432,1746.8862,390,419.25,24,0.006043131091246323,0.013680852,-1.8341607378795743,0.001,3469.189208984375,0.38346269726753235,0.6574610769748688,3320,0.2,15693.242227172852,0.155218505859375,,
2099,819200,1807.917,390,432.18,25,0.004187587612432253,0.01519005,-1.8313315588980914,0.001,3459.987060546875,0.38327330350875854,0.6583536565303802,3330,0.2,15880.040405273438,0.174237060546875,,
2184,851968,1943.917,390,441.86,26,0.0030115147685137343,0.013653739,-1.830822399444878,0.001,2176.5986328125,0.3834298849105835,0.6678045392036438,3340,0.2,14582.85944519043,0.166619873046875,,
2273,884736,2192.0,389,450.65,27,0.004768115883780411,0.01159716,-1.8301045114174486,0.001,3410.299560546875,0.3830467462539673,0.6809284687042236,3350,0.2,14976.895359802245,0.14541015625,,
