rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/value_loss,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
435.1212121212121,323,1,32768,3988.8608,101,,,,,,,,,,,,,
444.51,312,2,65536,4085.0247,209,0.0001,59130.54721679688,0.3945753574371338,0.1234619140625,0.012331333,0.2,2480,-1.9472860638052225,0.04120248556137085,23488.91796875,0.0014197934353433084,,
430.39,311,3,98304,4289.431,315,0.0001,61253.72365722656,0.39453935623168945,0.06142578125,0.0077147577,0.2,2490,-1.9470784842967988,0.3343037962913513,23293.150390625,0.00015559625499008689,,
464.73,309,4,131072,5066.3145,423,0.0001,63906.86713867188,0.39451155066490173,0.0613739013671875,0.0087438,0.2,2500,-1.9467224873602391,0.39340829849243164,29167.982421875,0.0005854442093550461,,
481.89,308,5,163840,5318.268,530,0.0001,53870.01940307617,0.39447107911109924,0.0405853271484375,0.0064765266,0.2,2510,-1.9463835511356593,0.5758315920829773,18152.5625,-5.9435293223941695e-06,,
461.06,309,6,196608,5106.873,635,0.0001,57988.61030273438,0.39445823431015015,0.0382659912109375,0.0057408325,0.2,2520,-1.9461090989410876,0.5961096286773682,26041.900390625,9.254938340745867e-05,,
463.62,308,7,229376,5255.713,742,0.0001,63880.93468017578,0.3944222629070282,0.0277252197265625,0.0052808467,0.2,2530,-1.9458866383880378,0.6149446070194244,24616.482421875,-0.0004062281248479849,,
450.49,309,8,262144,5399.7686,848,0.0001,58913.01967773437,0.3943784832954407,0.0244720458984375,0.0052182814,0.2,2540,-1.9454817436635494,0.6034221649169922,24335.892578125,-0.0005089071270049317,,
471.1,308,9,294912,5539.0215,954,0.0001,58891.49720458985,0.394376277923584,0.022369384765625,0.004264385,0.2,2550,-1.945215556025505,0.6332629919052124,27045.001953125,-0.00016842341228766599,,
510.89,308,10,327680,5921.0293,1062,0.0001,56042.95491943359,0.39433568716049194,0.02978515625,0.005624257,0.2,2560,-1.9450047265738248,0.6870109736919403,20560.541015625,0.001262325338939263,,
495.06,308,11,360448,5947.6465,1168,0.0001,55553.867224121095,0.3942960798740387,0.035137939453125,0.006082288,0.2,2570,-1.944621631503105,0.6624595522880554,19484.6875,0.0001335209501121426,,
497.77,308,12,393216,6444.4688,1275,0.0001,57751.142541503905,0.39427393674850464,0.0286163330078125,0.005527403,0.2,2580,-1.944319259747863,0.6699594259262085,24008.41015625,-0.0004048817496368429,,
496.95,308,13,425984,6575.585,1382,0.0001,60322.77531738281,0.3942674398422241,0.026318359375,0.00569663,0.2,2590,-1.9441472385078669,0.623622864484787,21391.185546875,-0.0006033291183484835,,
497.98,308,14,458752,6506.5957,1487,0.0001,59884.60560302735,0.3942646384239197,0.028424072265625,0.005098752,0.2,2600,-1.9440569587051868,0.7041527330875397,28251.662109375,-0.00026853568124352023,,
520.29,308,15,491520,6898.397,1595,0.0001,60992.4328125,0.39423495531082153,0.040118408203125,0.005472253,0.2,2610,-1.9439029622823,0.7066456079483032,27134.48046875,-0.0001000925065454794,,
542.12,307,16,524288,7128.8296,1703,0.0001,57802.50102539062,0.39420756697654724,0.033465576171875,0.0052992837,0.2,2620,-1.9435974404215812,0.716995358467102,23218.5625,-0.00022772280462959315,,
541.91,307,17,557056,7277.618,1809,0.0001,53697.06622314453,0.3941630423069,0.0196075439453125,0.0049133813,0.2,2630,-1.9432193871587515,0.7223976254463196,18225.646484375,-0.0005969823434497812,,
534.35,307,18,589824,7012.97,1916,0.0001,53153.8508605957,0.3941452205181122,0.0291961669921875,0.0050549787,0.2,2640,-1.9428750235587358,0.7517490237951279,19448.5,-0.00021407608037407044,,
541.84,307,19,622592,7576.0225,2022,0.0001,55534.91322021485,0.3941166400909424,0.0294219970703125,0.005461791,0.2,2650,-1.9426549427211284,0.7721635848283768,24831.720703125,-0.001112889110299875,,
537.67,307,20,655360,7615.805,2129,0.0001,50358.336364746094,0.39408549666404724,0.0330047607421875,0.0048369025,0.2,2660,-1.9423385623842477,0.7342104315757751,18791.224609375,0.00025829696751316077,,
