time/iterations,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/clip_fraction,train/entropy_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/explained_variance,train/loss,train/learning_rate,train/value_loss
17,557056,351,1584,157.64,-1799.441,0.996099853515625,-9.873655143007635,180.08878,160,0.2647049950206565,3.1513476371765137,0.2,0.0,9174.546875,0.01,24122.58291606903
18,589824,350,1681,157.59,-1699.1132,0.9968780517578125,-10.530624934658409,156.9747,170,0.2635071840915771,3.917417049407959,0.2,5.960464477539063e-08,15711.03125,0.01,23388.83620491028
19,622592,349,1780,157.6,-1729.4747,0.9993316650390625,-10.82150704562664,135.1176,180,0.2653105703066103,3.876055955886841,0.2,1.1920928955078125e-07,16540.21875,0.01,19782.894052314758
20,655360,349,1876,176.99,-3106.2297,0.9993408203125,-12.496988642960787,226.63116,190,0.26690854960106664,5.823604583740234,0.2,0.0,5477.48828125,0.01,19097.23682231903
21,688128,349,1971,191.35,-3517.8037,0.9807373046875,-12.786212386190892,25.165333,200,0.1879194696126433,6.503825664520264,0.2,0.0,107354.1015625,0.01,500053.0187561035
22,720896,348,2068,157.6,-5842.3057,0.9959564208984375,-12.745836070179939,38.51218,210,0.18847882794470933,6.215237617492676,0.2,5.960464477539063e-08,159105.671875,0.01,715531.8892578125
23,753664,348,2164,157.63,-5793.596,0.950994873046875,-13.32655159495771,21.0176,220,0.1915587347935798,7.582831382751465,0.2,0.0,1014159.875,0.01,2953342.096472168
24,786432,346,2267,157.61,-5748.7993,0.9663482666015625,-13.805454728007316,43.688034,230,0.19426006533049076,8.308466911315918,0.2,-1.1920928955078125e-07,2296526.75,0.01,2962987.321069336
25,819200,344,2379,157.57,-5790.0737,0.991558837890625,-13.632249097898603,55.170677,240,0.1999631484195561,8.397259712219238,0.2,5.960464477539063e-08,776219.625,0.01,2939009.1588378907
26,851968,342,2487,157.8,-5832.315,0.987969970703125,-13.344904915988446,50.44615,250,0.19784472445462598,7.197112083435059,0.2,5.960464477539063e-08,1298878.75,0.01,2937058.6630615233
27,884736,342,2583,157.67,-5799.388,0.995526123046875,-13.875548677146435,19.241375,260,0.2005262622034934,8.82087516784668,0.2,0.0,1632820.75,0.01,2895426.319506836
28,917504,341,2683,157.6,-5718.0767,0.993804931640625,-14.636322018504142,42.475914,270,0.19750370714609744,10.24982738494873,0.2,0.0,1472139.375,0.01,2912771.562158203
29,950272,341,2781,180.35,-6965.922,0.9771087646484375,-15.764561695232988,33.89763,280,0.1934390224811068,13.003689765930176,0.2,0.0,2060717.5,0.01,2856285.142919922
30,983040,341,2877,246.75,-8605.642,0.9840972900390625,-15.739816361293197,19.413738,290,0.18759750533772604,13.701665878295898,0.2,-1.1920928955078125e-07,1295630.5,0.01,3535028.627722168
31,1015808,341,2974,212.56,-5002.448,0.9910003662109375,-15.387482123076916,19.791744,300,0.1788453395576653,11.987628936767578,0.2,0.0,3052431.0,0.01,4051916.3974609375
