time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/iterations,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
1611,688128,1417.3137,427,420.9,21,-0.0003409284330700757,0.006389537,-1.869340931624174,0.001,9004.90625,0.38697388768196106,0.7145424783229828,3290,0.2,21587.30060424805,0.061053466796875,,
1687,720896,1495.7362,427,426.72,22,-0.0004969998448359547,0.0049416274,-1.8686059325933457,0.001,5904.88427734375,0.38689637184143066,0.7720849364995956,3300,0.2,19828.659533691407,0.03592529296875,,
1764,753664,1368.1334,427,414.91,23,0.00024980522102850954,0.0074195727,-1.8676880195736885,0.001,6706.57861328125,0.38681453466415405,0.6993507146835327,3310,0.2,23288.010540771484,0.081121826171875,,
1840,786432,1610.0,427,438.67,24,-0.00025054572361113967,0.006654241,-1.8673671782016754,0.001,7336.3916015625,0.38684001564979553,0.7293022871017456,3320,0.2,23998.444805908202,0.0644134521484375,,
1914,819200,937.0,427,389.29,25,-0.00016746496039559132,0.006401818,-1.867099428921938,0.001,6818.708984375,0.3867553770542145,0.6901808381080627,3330,0.2,24171.343591308592,0.0568389892578125,,
1989,851968,982.0,428,387.92,26,0.0014177202741848306,0.0066174543,-1.866671646386385,0.001,6825.7919921875,0.3867494463920593,0.6811603307723999,3340,0.2,24071.112719726563,0.0585296630859375,,
2064,884736,1071.0,428,400.71,27,0.001806169773772126,0.007482559,-1.8660991691052913,0.001,7286.52392578125,0.3866506814956665,0.6965976059436798,3350,0.2,23532.82533569336,0.0724884033203125,,
2140,917504,1277.0,428,412.89,28,0.0021772888438135853,0.0066362675,-1.864191697537899,0.001,4408.11181640625,0.3863723576068878,0.7561937868595123,3360,0.2,16514.68508300781,0.0628662109375,,
2214,950272,1226.0,429,402.81,29,0.0019986223898740716,0.007778475,-1.8621597431600094,0.001,5784.333984375,0.3862653970718384,0.6950899362564087,3370,0.2,18977.80630493164,0.0821746826171875,,
2287,983040,841.0,429,381.6,30,-0.0009948353494110052,0.006091721,-1.8617656610906124,0.001,6637.4296875,0.3863004446029663,0.6988155841827393,3380,0.2,18723.875939941405,0.053131103515625,,
2364,1015808,1188.0,429,405.79,31,-0.0001878358583780937,0.0061009135,-1.861247706413269,0.001,7758.0498046875,0.3861618638038635,0.7523124068975449,3390,0.2,18130.920031738282,0.067230224609375,,
2439,1048576,1021.0,429,398.08,32,0.0006272655329667032,0.0048859855,-1.8602360270917415,0.001,5824.2373046875,0.3861258327960968,0.7848933041095734,3400,0.2,21533.31676635742,0.040972900390625,,
2513,1081344,970.98444,430,398.03,33,0.00017749263352015988,0.0060127517,-1.8593012414872647,0.001,7137.7607421875,0.38598236441612244,0.7325389087200165,3410,0.2,20402.700677490233,0.058245849609375,,
2587,1114112,679.0,430,368.15,34,0.0002968892211356433,0.006825455,-1.8575393833220004,0.001,5612.73828125,0.38577842712402344,0.7855968624353409,3420,0.2,17438.34267578125,0.0589691162109375,,
2664,1146880,1035.9474,430,392.93,35,0.0007289948131074198,0.007375126,-1.855544589459896,0.001,6617.73095703125,0.3855888247489929,0.710378885269165,3430,0.2,22981.291796875,0.0726654052734375,,
2737,1179648,831.97656,430,379.27,36,0.0012997197365621105,0.0072738724,-1.8547268636524676,0.001,5309.77587890625,0.3856498599052429,0.7385596036911011,3440,0.2,18411.460107421874,0.077215576171875,,
2812,1212416,1098.9999,431,387.49,37,0.0017960999080969486,0.0075842445,-1.8554294787347316,0.001,6330.7958984375,0.38572394847869873,0.7203957736492157,3450,0.2,20016.38920288086,0.07841796875,,
