time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/std
60,1,32768,301.0,-223.43123,544,,,,,,,,,,,
134,2,65536,301.0,-156.4125,485,-0.009222374058663264,0.00021523237228393555,0.007635099,0.2,-5.668914152681827,90.46346424221993,0.1350738525390625,10,40.33052062988281,0.001,0.9966763257980347
213,3,98304,301.0,-27.458708,460,-0.0154958594332129,0.12264800071716309,0.009178769,0.2,-5.6577245522290465,104.43056775331497,0.1167236328125,20,52.67607879638672,0.001,0.9944339990615845
305,4,131072,301.0,135.59677,429,-0.010209470496556605,0.07311105728149414,0.008374523,0.2,-5.650731296092272,662.1385720193387,0.094561767578125,30,852.7777709960938,0.001,0.9930751323699951
432,5,163840,301.0,184.59552,378,-0.007999159900646192,0.14233839511871338,0.010436971,0.2,-5.6476389449089766,1301.2343192696571,0.0781097412109375,40,2500.72802734375,0.001,0.9925233721733093
527,6,196608,301.0,102.141914,372,-0.0036172810620882954,0.07885324954986572,0.006780664,0.2,-5.643828880041838,4029.5618033766746,0.05592041015625,50,706.0530395507812,0.001,0.9913550615310669
