time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/entropy_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,eval/mean_reward,eval/mean_ep_length
32768,1,296.6938775510204,208,157,962.29553,,,,,,,,,,,,,
65536,2,297.39,204,320,1343.8988,-0.0003453749042819254,-2.462026123329997,10861.705078125,25656.175912475584,1e-05,0.44948405027389526,2470,0.0016158998,0.6093828082084656,0.0019256591796875,0.2,,
98304,3,297.52,203,484,1128.6311,-0.00040185576654039323,-2.461966985091567,13127.6884765625,29361.794201660156,1e-05,0.449481725692749,2480,0.0016168561,0.5762674808502197,0.0022308349609375,0.2,,
131072,4,298.44,202,647,940.98126,-0.00039499794584116896,-2.4619933303445576,10731.8330078125,29725.829916381837,1e-05,0.4494878649711609,2490,0.0016143376,0.5998117029666901,0.0024688720703125,0.2,,
163840,5,297.4,201,811,982.57764,-0.00030240868627515736,-2.462023725733161,10798.451171875,26480.595263671876,1e-05,0.44949114322662354,2500,0.0017660253,0.6159620881080627,0.002459716796875,0.2,,
196608,6,299.57,201,974,1155.0579,-0.0002800819310323277,-2.4620234955102207,15659.8525390625,27041.378564453124,1e-05,0.44948482513427734,2510,0.0017065047,0.6314039528369904,0.0029693603515625,0.2,,
229376,7,299.68,201,1137,861.85187,-0.0003077231537645275,-2.4618626702576876,12761.923828125,28493.774264526368,1e-05,0.4494512975215912,2520,0.0017241427,0.638395220041275,0.00233154296875,0.2,,
262144,8,299.76,201,1301,1256.2856,-0.0003300449227936042,-2.4616697330027817,12404.857421875,26921.622105407714,1e-05,0.44944489002227783,2530,0.0010778826,0.6296939551830292,0.000567626953125,0.2,,
294912,9,301.0,201,1465,1206.1129,-0.0003824116873147432,-2.4616560507565737,12322.654296875,31473.97604675293,1e-05,0.44944989681243896,2540,0.001816635,0.6229466199874878,0.002880859375,0.2,,
327680,10,293.33,201,1628,1045.3004,-0.0004647780257073464,-2.461790217831731,12586.5556640625,26286.33670501709,1e-05,0.4494768977165222,2550,0.0015183694,0.6794949769973755,0.0014312744140625,0.2,,
360448,11,301.0,201,1792,1127.3157,-0.00028349556298508106,-2.461834806576371,13694.119140625,29584.892912292482,1e-05,0.4494539499282837,2560,0.0019654953,0.6394941508769989,0.004290771484375,0.2,,
