time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/loss,train/value_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/std,train/policy_gradient_loss,train/learning_rate
572,301.0,57,3102.862,1,32768,,,,,,,,,,,
441,301.0,148,3223.775,2,65536,4713.587890625,24968.857596206664,0.489752197265625,0.066712536,630,0.23535871505737305,-4.384647314250469,0.2,0.7260509133338928,0.04011796500180935,0.001
410,301.0,239,3576.686,3,98304,3985.243408203125,21959.238377666472,0.380743408203125,0.040416554,640,0.3078717589378357,-4.395160399004817,0.2,0.7278468012809753,0.01931269895330843,0.001
396,301.0,330,3491.1975,4,131072,3437.0107421875,21225.019814777374,0.357305908203125,0.03863761,650,0.36257827281951904,-4.399153151921928,0.2,0.7277483344078064,0.016851867580771795,0.001
388,301.0,421,3756.742,5,163840,6220.35693359375,20815.22955121994,0.351275634765625,0.03756316,660,0.3393556475639343,-4.395120646804571,0.2,0.7262990474700928,0.015209812365537801,0.001
383,301.0,512,3858.1865,6,196608,3638.91455078125,21153.549463272095,0.353460693359375,0.037225686,670,0.3265420198440552,-4.375201500579715,0.2,0.7212402820587158,0.01760247938414068,0.001
379,301.0,603,3735.2756,7,229376,5161.673828125,21907.993470573427,0.3515838623046875,0.037162904,680,0.3780611753463745,-4.347121142037213,0.2,0.7162152528762817,0.01694164693703897,0.001
377,301.0,694,3829.3022,8,262144,5984.9482421875,20225.700725078583,0.365167236328125,0.039613955,690,0.37087899446487427,-4.331271221861243,0.2,0.7149889469146729,0.01832181206491441,0.001
375,301.0,785,4195.2373,9,294912,1907.8992919921875,20132.352090072633,0.3596343994140625,0.038839392,700,0.44226300716400146,-4.331493920646608,0.2,0.7157015800476074,0.018134364558363814,0.001
373,301.0,876,4226.496,10,327680,4495.873046875,22110.646055412293,0.34715576171875,0.037644386,710,0.43113577365875244,-4.331912363134324,0.2,0.7152583003044128,0.016330518646554992,0.001
372,301.0,968,4159.952,11,360448,5944.53955078125,22790.47007923126,0.3742462158203125,0.04098967,720,0.40677815675735474,-4.322514021210372,0.2,0.7127735018730164,0.02033112912567958,0.001
371,301.0,1059,4242.4507,12,393216,10027.1923828125,21618.598398971557,0.364599609375,0.04007042,730,0.39227408170700073,-4.31260875761509,0.2,0.7116403579711914,0.019031672247638198,0.001
370,301.0,1150,4055.9133,13,425984,3478.45947265625,22563.216075134278,0.3649169921875,0.03835195,740,0.39433836936950684,-4.294734930433333,0.2,0.7070417404174805,0.019157246327540633,0.001
369,301.0,1242,4048.106,14,458752,4031.052734375,21669.300757789613,0.348876953125,0.03689479,750,0.4248104691505432,-4.2866181852295995,0.2,0.7082195281982422,0.017035252392724944,0.001
368,301.0,1334,4300.682,15,491520,6590.2734375,22282.94374847412,0.36163330078125,0.038290486,760,0.35345524549484253,-4.2813815185800195,0.2,0.7058340311050415,0.018425521032622783,0.001
367,301.0,1426,4361.465,16,524288,5483.35107421875,23446.13543586731,0.346356201171875,0.036514595,770,0.39619117975234985,-4.273701816052198,0.2,0.7046240568161011,0.01666902511315129,0.001
366,301.0,1518,4390.842,17,557056,2977.804931640625,23877.32469072342,0.3525634765625,0.03647524,780,0.3966466784477234,-4.2618275688961145,0.2,0.7014440894126892,0.017809058624152385,0.001
366,301.0,1610,4615.923,18,589824,5152.82763671875,24970.18320159912,0.3653289794921875,0.039582334,790,0.40867090225219727,-4.254549976624548,0.2,0.7024201154708862,0.021821523998278282,0.001
365,301.0,1702,4416.9634,19,622592,6748.47900390625,26041.333742523195,0.3374267578125,0.035679128,800,0.41335994005203247,-4.249525612965226,0.2,0.6999762654304504,0.014926455357135637,0.001
365,301.0,1794,4443.772,20,655360,3504.65869140625,25971.954833984375,0.3560577392578125,0.037944593,810,0.43198996782302856,-4.2387859031558035,0.2,0.6982120871543884,0.018501718669267576,0.001
364,301.0,1885,4718.8457,21,688128,3325.093994140625,25103.793445396423,0.3522705078125,0.037160486,820,0.4125053882598877,-4.228958179429173,0.2,0.6969137787818909,0.017473912508467037,0.001
364,301.0,1977,4758.456,22,720896,8425.826171875,27795.220430374146,0.35242919921875,0.036392905,830,0.40527456998825073,-4.233746638707816,0.2,0.6990686655044556,0.01783778245562644,0.001
364,301.0,2069,4733.6567,23,753664,3542.777587890625,28160.385166168213,0.3346649169921875,0.035124056,840,0.3660818338394165,-4.240553279034794,0.2,0.6996378898620605,0.016429577974804488,0.001
363,301.0,2161,4541.9077,24,786432,4179.9013671875,27255.50136642456,0.353179931640625,0.037605815,850,0.41092920303344727,-4.233931672014296,0.2,0.6975562572479248,0.018971162901925707,0.001
363,301.0,2253,4660.9805,25,819200,5994.21875,26564.085167884827,0.3343170166015625,0.03474105,860,0.4374328851699829,-4.223146366886795,0.2,0.6959278583526611,0.015245205613564395,0.001
363,301.0,2345,4662.752,26,851968,4799.94580078125,29253.704753112794,0.33330078125,0.03494937,870,0.3411349058151245,-4.208609387464821,0.2,0.6927052140235901,0.015917129670833675,0.001
363,301.0,2436,4847.2593,27,884736,3681.269775390625,30002.57918243408,0.35472412109375,0.037800882,880,0.4372628927230835,-4.193315297365189,0.2,0.6913926601409912,0.019283971059348915,0.001
362,301.0,2528,4954.701,28,917504,3296.08447265625,29640.279030418395,0.3586212158203125,0.03845675,890,0.33592331409454346,-4.19063954539597,0.2,0.6906773447990417,0.017496657121591853,0.001
362,301.0,2620,4696.4326,29,950272,8081.40087890625,31596.897262573242,0.365740966796875,0.040247004,900,0.35888218879699707,-4.183095226064324,0.2,0.6892513036727905,0.019651526863117396,0.001
362,301.0,2712,4753.164,30,983040,6684.69873046875,28325.47803173065,0.363616943359375,0.03818226,910,0.48519366979599,-4.177429463155567,0.2,0.6881189942359924,0.018190871130445884,0.001
362,301.0,2805,5077.1445,31,1015808,6145.53173828125,30851.20956325531,0.355987548828125,0.038961053,920,0.441084623336792,-4.171900974214077,0.2,0.6877203583717346,0.0185748870986572,0.001
