time/fps,time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/loss,train/std,train/value_loss,train/explained_variance,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/entropy_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
332,98,32768,1,312.1354166666667,3296.7627,,,,,,,,,,,,,
324,202,65536,2,335.79,3783.0,31599.1484375,0.3945921063423157,85905.82143554688,0.3037987947463989,0.0001,0.2,0.0011914508348127128,0.008259012,2480,-1.9474284663796424,0.075946044921875,,
322,304,98304,3,322.0,3333.9,36320.1640625,0.3945784568786621,82511.3797241211,0.4561493992805481,0.0001,0.2,0.0018558713725724374,0.0076509262,2490,-1.9473525054752827,0.0606109619140625,,
321,408,131072,4,343.09,3774.8,30278.326171875,0.39454084634780884,74940.84881591797,0.5827592015266418,0.0001,0.2,0.0001598018287040759,0.007891075,2500,-1.9471378978341818,0.0620758056640625,,
320,511,163840,5,340.82,4054.9197,24054.53125,0.3944720923900604,67826.14139404296,0.6880605518817902,0.0001,0.2,0.0004779700633662287,0.0072520794,2510,-1.9466257959604263,0.048577880859375,,
319,614,196608,6,353.08,4359.0,37839.2578125,0.39443182945251465,73365.78566894532,0.6791668236255646,0.0001,0.2,-0.0011136769348013332,0.0054687094,2520,-1.9460851307958364,0.030364990234375,,
319,718,229376,7,387.09,5378.9175,27605.685546875,0.3944033980369568,70973.94947509766,0.6914379298686981,0.0001,0.2,0.0003149159703752957,0.00714006,2530,-1.945762787759304,0.049688720703125,,
318,823,262144,8,377.82,5762.192,25720.572265625,0.3943655788898468,69931.88389892578,0.7291479110717773,0.0001,0.2,-0.00016515336064912845,0.0078002764,2540,-1.9454141467809678,0.058087158203125,,
318,925,294912,9,371.53,5702.648,29988.404296875,0.3943256735801697,76512.54880371093,0.7381923794746399,0.0001,0.2,0.0008026357638300397,0.006040428,2550,-1.945034384727478,0.0388519287109375,,
318,1029,327680,10,373.1,5949.5376,20912.142578125,0.39428991079330444,71501.04846191406,0.7480092346668243,0.0001,0.2,-0.0002480379018379608,0.006987093,2560,-1.9446590594947337,0.04951171875,,
