time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/n_updates,train/value_loss,train/loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/std,train/approx_kl,train/entropy_loss,train/clip_range,train/explained_variance,eval/mean_reward,eval/mean_ep_length
13,78.6105,417,1019,301.0,425984,120,2077.200869846344,1378.04150390625,-0.0010126723667781335,0.001,0.019354248046875,0.9874348640441895,0.0037465293,-5.624436239898205,0.2,0.0783987045288086,,
14,131.27574,417,1097,301.0,458752,130,2148.539560508728,1051.213623046875,-0.00043120634200022323,0.001,0.034490966796875,0.9861172437667847,0.0038459986,-5.621400320529938,0.2,0.05321371555328369,,
15,283.91418,417,1176,300.6,491520,140,1737.910343360901,1040.338623046875,-0.0015570743082207628,0.001,0.03935546875,0.9842082262039185,0.0045424295,-5.617163400352001,0.2,0.04024505615234375,,
16,305.91016,417,1254,301.0,524288,150,3548.1613109588625,1165.568359375,-0.0013194273225963116,0.001,0.02750244140625,0.9799578189849854,0.004428816,-5.6044483333826065,0.2,0.008118629455566406,,
17,295.349,417,1333,301.0,557056,160,3611.5019496917726,1389.2227783203125,-0.0002503521249309415,0.001,0.0278778076171875,0.9783747792243958,0.0037084334,-5.591700731217861,0.2,0.023640155792236328,,
18,339.42786,417,1411,301.0,589824,170,2739.0576786994934,1086.6287841796875,-0.0006825108772318345,0.001,0.018096923828125,0.9724448919296265,0.00419555,-5.57624721378088,0.2,0.04239398241043091,,
19,312.14163,417,1490,301.0,622592,180,4101.667247009277,1240.335205078125,-0.001008657350575959,0.001,0.0408447265625,0.9697784185409546,0.0064992835,-5.558940497040749,0.2,0.06750208139419556,,
20,262.98523,417,1570,301.0,655360,190,3661.7161922454834,2012.8609619140625,-0.0015834293713851365,0.001,0.031390380859375,0.9662978053092957,0.0048103174,-5.545466521382332,0.2,0.06185567378997803,,
21,348.30634,417,1649,301.0,688128,200,1956.8574627876283,528.1952514648438,-0.0008518166247085901,0.001,0.02353515625,0.9595421552658081,0.004182134,-5.524563345313072,0.2,0.012491464614868164,,
22,455.22617,417,1728,301.0,720896,210,4015.499499130249,603.452880859375,-0.0008492688582919072,0.001,0.0461700439453125,0.9553943872451782,0.004283362,-5.502480226755142,0.2,0.03724086284637451,,
23,372.22144,416,1808,301.0,753664,220,5156.128398132324,962.1292114257812,4.1479579158476555e-05,0.001,0.0176727294921875,0.9549298286437988,0.0026353195,-5.492033979296684,0.2,0.03181988000869751,,
24,396.90445,416,1888,301.0,786432,230,2689.8362308502196,1125.9820556640625,-0.0009241099945938913,0.001,0.03919677734375,0.9504237771034241,0.0045471615,-5.480551242828369,0.2,0.055668771266937256,,
25,429.6331,416,1967,301.0,819200,240,4576.295795440674,1951.1419677734375,-0.0019652418786790804,0.001,0.0539581298828125,0.9449107050895691,0.0060566077,-5.460077333450317,0.2,0.05156022310256958,,
26,603.2123,415,2048,301.0,851968,250,3001.155428695679,621.1409912109375,-0.0006111569418862928,0.001,0.0410919189453125,0.9394351243972778,0.0056474637,-5.435039193928242,0.2,0.004946410655975342,,
27,524.4456,415,2127,301.0,884736,260,5388.3941276550295,1491.987060546875,-0.00035529143970052245,0.001,0.0391448974609375,0.9372621774673462,0.0048260316,-5.418653009831905,0.2,0.010504305362701416,,
28,424.00882,415,2206,301.0,917504,270,3932.8589988708495,1376.408203125,-0.0009174603346764343,0.001,0.03726806640625,0.9325888156890869,0.0049622464,-5.407699559628964,0.2,0.04965561628341675,,
29,495.09637,415,2285,301.0,950272,280,4199.028794097901,1379.4024658203125,-0.00047223729197867217,0.001,0.03580322265625,0.9298068881034851,0.0045395596,-5.389364416897297,0.2,0.021968960762023926,,
30,724.68726,415,2364,301.0,983040,290,3456.627964782715,1309.6195068359375,-0.0019211738923331722,0.001,0.0316162109375,0.9288530945777893,0.0047626654,-5.381132428348065,0.2,0.157301127910614,,
31,741.54584,415,2443,301.0,1015808,300,7565.856652069092,5210.04638671875,-0.0009144037841906539,0.001,0.059527587890625,0.9229932427406311,0.007067982,-5.365531815588474,0.2,0.09747457504272461,,
32,543.5553,415,2523,301.0,1048576,310,7608.635410308838,2283.238037109375,-7.385360331682022e-05,0.001,0.0414703369140625,0.921940267086029,0.0053665554,-5.349510136246681,0.2,0.0952109694480896,,
