time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/std,train/clip_range,train/entropy_loss,train/clip_fraction,train/loss
125,8477.564,1,8192,877.5,65,,,,,,,,,,,
253,13623.134,2,16384,1337.111111111111,64,0.0001,0.5828119218349457,18659.038626098634,0.005845053,3480,-0.0028420963428288813,0.3907955288887024,0.2,-1.9089831123128533,0.040478515625,5044.09228515625
367,14510.793,3,24576,1420.625,66,0.0001,0.5635919868946075,17833.397283554077,0.0054013655,3490,-0.0020238175835402216,0.39073941111564636,0.2,-1.9084636006504296,0.038037109375,4564.146484375
496,13679.986,4,32768,1334.4285714285713,66,0.0001,0.6097733974456787,20426.982300949097,0.006461272,3500,-0.0018264354945131344,0.39068830013275146,0.2,-1.9078766336664557,0.05078125,8034.92431640625
615,13550.737,5,40960,1348.655172413793,66,0.0001,0.30111169815063477,23426.79714431763,0.005121398,3510,-0.0017252754609216937,0.39067399501800537,0.2,-1.9074524050578474,0.04217529296875,4728.263671875
741,12031.084,6,49152,1211.9473684210527,66,0.0001,0.4425075054168701,24138.952350616455,0.0059655705,3520,-0.0012446620523405727,0.39069920778274536,0.2,-1.9075395628809928,0.04620361328125,3939.77197265625
873,12055.089,7,57344,1205.2666666666667,65,0.0001,0.38067471981048584,34455.90178833008,0.0054236944,3530,-0.00034298943592148134,0.39067068696022034,0.2,-1.907551910355687,0.03289794921875,8740.7734375
998,12354.4795,8,65536,1227.9803921568628,65,0.0001,0.4245738387107849,25318.311811828615,0.005220497,3540,-0.0016515120380063309,0.3906511068344116,0.2,-1.9072866793721914,0.0379150390625,8448.5908203125
1130,12375.027,9,73728,1219.982456140351,65,0.0001,0.6559608578681946,17486.972663497923,0.0058271675,3550,-0.0008168900523742196,0.39062201976776123,0.2,-1.9070947226136923,0.04161376953125,2739.755615234375
1279,12652.016,10,81920,1259.5079365079366,64,0.0001,0.5309297442436218,16726.43103866577,0.004420708,3560,-0.0012797457002307056,0.39060312509536743,0.2,-1.9067862756550311,0.02900390625,3159.231689453125
1414,12930.657,11,90112,1293.6119402985075,63,0.0001,0.7712245881557465,17023.301313018797,0.004246062,3570,-0.0004071797946380684,0.39049774408340454,0.2,-1.9062283236533404,0.029931640625,2311.85302734375
1556,13132.09,12,98304,1291.736111111111,63,0.0001,0.8185350149869919,14055.58000907898,0.0056627784,3580,-0.0008750303359192912,0.3904465436935425,0.2,-1.905421334132552,0.04127197265625,2756.126220703125
1716,13272.519,13,106496,1303.3544303797469,62,0.0001,0.515984982252121,19110.03722305298,0.005686956,3590,-0.001800606662800419,0.39044031500816345,0.2,-1.9050881331786513,0.03985595703125,4505.3779296875
1863,13469.812,14,114688,1329.8313253012047,61,0.0001,0.7230050563812256,16975.804074859618,0.0046840655,3600,-0.0005250798440101789,0.3903690576553345,0.2,-1.9047560404986144,0.02916259765625,3094.27197265625
1993,13809.3,15,122880,1380.1363636363637,61,0.0001,0.8065628111362457,14840.596608352662,0.0041043954,3610,-0.0008070424522884423,0.3902730643749237,0.2,-1.9039621934294702,0.0230224609375,5369.1533203125
2127,13768.65,16,131072,1360.872340425532,61,0.0001,0.8166351914405823,13277.865361785889,0.005898043,3620,-0.00037309840736270415,0.3901524543762207,0.2,-1.9028732027858495,0.05096435546875,2186.64404296875
2257,13509.365,17,139264,1357.86,61,0.0001,0.5881320834159851,20068.359940338134,0.00645836,3630,-0.0020860161079326645,0.3900929391384125,0.2,-1.9018097506836056,0.051318359375,3878.351806640625
2392,13433.6,18,147456,1350.07,61,0.0001,0.7315096259117126,22359.525901412962,0.005447169,3640,-0.0033717648995661873,0.390011191368103,0.2,-1.9010912615805864,0.04317626953125,4930.7578125
2533,13445.022,19,155648,1358.23,61,0.0001,0.6593039333820343,22203.069226074218,0.0052039353,3650,-0.0008417826562435949,0.38995206356048584,0.2,-1.9003233896568417,0.04024658203125,5158.98681640625
2661,13656.455,20,163840,1363.6,61,0.0001,0.4446958303451538,19283.08621482849,0.0050328504,3660,-0.00032721397001296283,0.38994863629341125,0.2,-1.8999686330556869,0.0343017578125,4940.6689453125
2789,13705.429,21,172032,1374.48,61,0.0001,0.5564656555652618,19752.602646636962,0.0041357204,3670,-4.3991306665702726e-05,0.3898528814315796,0.2,-1.899538353830576,0.02574462890625,5086.2763671875
2930,13871.799,22,180224,1378.33,61,0.0001,0.4947381019592285,23011.335973358153,0.0039545307,3680,-0.0008206040365621448,0.38982439041137695,0.2,-1.8988976953551173,0.0220458984375,10363.736328125
3065,14004.969,23,188416,1406.75,61,0.0001,0.6642123460769653,18219.365522003172,0.00465768,3690,0.0006074045602872502,0.3897695243358612,0.2,-1.8985127545893192,0.02802734375,2653.106201171875
3213,14413.339,24,196608,1460.04,61,0.0001,0.6620993316173553,16690.009527587892,0.004692264,3700,-0.002671759361328441,0.38977277278900146,0.2,-1.8982281927019358,0.0347412109375,4688.50732421875
3349,14867.313,25,204800,1497.81,61,0.0001,0.7717609107494354,17312.04412536621,0.0059229718,3710,-0.0012382537419398433,0.38974371552467346,0.2,-1.898184059932828,0.03890380859375,4454.59228515625
