rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/std,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
7642.9688,906.7,29,3908,243,950272,-1.9343503665179014,10197.890625,0.2,0.0205718994140625,0.39332419633865356,34743.97677612305,2750,0.6174318492412567,0.00021690856301574967,0.0001,0.004327832,,
8269.02,946.38,30,4040,243,983040,-1.934084239602089,13415.6005859375,0.2,0.0247344970703125,0.3932551443576813,38303.70353393555,2760,0.6145229041576385,-0.0008080914161837427,0.0001,0.0042983633,,
8474.967,957.29,31,4178,243,1015808,-1.9336171746253967,11849.0283203125,0.2,0.0205810546875,0.3932368755340576,34538.5876953125,2770,0.6661439836025238,-0.0006073609569284599,0.0001,0.004222568,,
8393.171,959.4,32,4316,242,1048576,-1.9335187643766403,13276.0830078125,0.2,0.019610595703125,0.3932356834411621,36175.54503173828,2780,0.5861709117889404,-0.0008361786065506748,0.0001,0.0041298727,,
8260.722,944.84,33,4454,242,1081344,-1.9333774257451295,12940.896484375,0.2,0.017816162109375,0.393197625875473,34865.939929199216,2790,0.6379159688949585,-0.0005219885249971412,0.0001,0.0046451855,,
8417.796,956.79,34,4588,242,1114112,-1.9328217383474111,9818.5107421875,0.2,0.0362213134765625,0.39313000440597534,34045.13057861328,2800,0.6078534424304962,-0.00036190425016684457,0.0001,0.0050749686,,
8778.086,964.45,35,4723,242,1146880,-1.9325730718672276,13167.140625,0.2,0.031536865234375,0.39316147565841675,37477.17002563477,2810,0.5784629285335541,-0.0008135625950671966,0.0001,0.0050874306,,
9119.751,991.11,36,4856,242,1179648,-1.9326292302459478,15854.9970703125,0.2,0.0255706787109375,0.39312732219696045,39367.30208740234,2820,0.5433870851993561,0.0005522199633560376,0.0001,0.004107772,,
9005.086,977.53,37,4991,242,1212416,-1.9324099652469158,13719.44140625,0.2,0.0274505615234375,0.3931206464767456,35467.049969482425,2830,0.6075355112552643,-0.0014554418874467955,0.0001,0.005299654,,
9376.391,999.2,38,5127,242,1245184,-1.9323565762490034,13115.7724609375,0.2,0.023980712890625,0.3931202292442322,36593.74204711914,2840,0.5823822021484375,-0.00017347816356050316,0.0001,0.004339965,,
8984.903,953.53,39,5261,242,1277952,-1.9322645518928767,13630.572265625,0.2,0.0221832275390625,0.3931020200252533,36025.7677734375,2850,0.5742023587226868,-0.0005766756570665166,0.0001,0.004533626,,
9423.199,980.66,40,5396,242,1310720,-1.9320396684110164,12107.9072265625,0.2,0.019091796875,0.3930792510509491,38520.65054931641,2860,0.570331335067749,-0.00018757776415441186,0.0001,0.0040072124,,
9342.838,976.73,41,5532,242,1343488,-1.93166986964643,12545.8427734375,0.2,0.0321929931640625,0.39302077889442444,35760.21890258789,2870,0.6184705495834351,0.00041533419553161364,0.0001,0.0053332155,,
9774.191,1004.48,42,5666,242,1376256,-1.931021187454462,11762.958984375,0.2,0.023541259765625,0.39294907450675964,32785.778973388675,2880,0.6299774944782257,-0.00012259901632205583,0.0001,0.004563492,,
9359.04,985.93,43,5802,242,1409024,-1.9304326828569174,11759.822265625,0.2,0.026416015625,0.39290791749954224,31986.935998535155,2890,0.6462189555168152,-0.0001739081610139692,0.0001,0.005167907,,
8620.272,940.57,44,5936,242,1441792,-1.9300218120217323,13722.5068359375,0.2,0.02000732421875,0.3928642272949219,36650.169860839844,2900,0.5796008110046387,0.0004482773601921508,0.0001,0.004138366,,
8288.735,929.73,45,6068,243,1474560,-1.9298222918063401,12017.9677734375,0.2,0.0188262939453125,0.39287927746772766,33262.708813476565,2910,0.6166081726551056,0.0001412778517988045,0.0001,0.004066807,,
8332.68,935.25,46,6203,242,1507328,-1.929880390316248,12619.150390625,0.2,0.02431640625,0.39286577701568604,36680.672833251956,2920,0.6174362003803253,-3.2292748801410196e-05,0.0001,0.004745229,,
9114.802,984.98,47,6341,242,1540096,-1.9296650316566228,12241.1025390625,0.2,0.023785400390625,0.3928448557853699,33599.58800048828,2930,0.6132298111915588,0.0001531414563942235,0.0001,0.004224303,,
9250.731,1008.79,48,6479,242,1572864,-1.9295364819467067,12694.3935546875,0.2,0.028741455078125,0.39283761382102966,32178.957257080077,2940,0.6378094851970673,-0.0005986751388263656,0.0001,0.0049770446,,
,,,,,1600000,-1.929336592555046,13169.865234375,0.2,0.02657470703125,0.3928082287311554,36624.51608886719,2950,0.6241495013237,-0.0002189242679378367,0.0001,0.00465698,2413.40771484375,434.39
9267.279,999.21,49,6887,233,1605632,,,,,,,,,,,,,
8343.233,942.91,50,7032,232,1638400,-1.9290264029055835,14802.1025390625,0.2,0.0193206787109375,0.3927745819091797,35219.35333862305,2960,0.6533041596412659,-0.00020756025078298989,0.0001,0.0043630684,,
8219.344,916.59,51,7172,232,1671168,-1.9288064502179623,12612.20703125,0.2,0.0190277099609375,0.39276430010795593,35076.706225585935,2970,0.6408367455005646,-0.00041260320067522117,0.0001,0.0041474225,,
8609.468,946.55,52,7311,233,1703936,-1.9286312099546195,11819.4677734375,0.2,0.020361328125,0.3927379846572876,36058.34794311524,2980,0.6249288022518158,9.152499569609063e-05,0.0001,0.0043088906,,
8706.562,964.59,53,7447,233,1736704,-1.928464277461171,12297.923828125,0.2,0.0312164306640625,0.39273783564567566,32019.295983886717,2990,0.6698670983314514,-0.0002486544934072299,0.0001,0.0046682395,,
8489.176,956.75,54,7582,233,1769472,-1.9284050028771162,11275.49609375,0.2,0.0279266357421875,0.39272311329841614,33252.02908935547,3000,0.6586930453777313,-0.00046307823031384033,0.0001,0.0047668135,,
8559.325,959.04,55,7718,233,1802240,-1.928269888088107,17338.994140625,0.2,0.02421875,0.39270541071891785,41536.59361572265,3010,0.5295236110687256,-0.0009798982267966495,0.0001,0.0047183735,,
9452.82,1031.0,56,7856,233,1835008,-1.928240007534623,10715.2265625,0.2,0.0341827392578125,0.3927239775657654,35644.52661743164,3020,0.6478915810585022,-8.6964981892379e-05,0.0001,0.0053976565,,
10316.003,1095.18,57,7991,233,1867776,-1.9280060645192862,9573.9755859375,0.2,0.029461669921875,0.3926543593406677,28200.53080444336,3030,0.7139816880226135,0.00021527143053390319,0.0001,0.004888948,,
10442.564,1101.86,58,8130,233,1900544,-1.9275020979344846,10594.5458984375,0.2,0.016357421875,0.3926331400871277,33917.57313232422,3040,0.6715158522129059,-0.0008575382566050393,0.0001,0.003764448,,
9941.716,1079.84,59,8268,233,1933312,-1.9271057885140181,10412.568359375,0.2,0.0266998291015625,0.39257553219795227,33478.553259277345,3050,0.6704240441322327,0.0004538948811386945,0.0001,0.0043182373,,
9760.345,1036.5,60,8404,233,1966080,-1.9268442578613758,9804.8359375,0.2,0.0188873291015625,0.3925827741622925,29849.393432617188,3060,0.6570070385932922,0.00011687698097375687,0.0001,0.0039700554,,
9957.597,1073.09,61,8546,233,1998848,-1.9268832754343748,12208.9013671875,0.2,0.0195892333984375,0.3925725221633911,32115.19991455078,3070,0.6955677270889282,-2.7484777456265873e-05,0.0001,0.0036190364,,
10500.284,1091.46,62,8686,233,2031616,-1.9267444293946028,9776.9951171875,0.2,0.017767333984375,0.39255979657173157,31249.97837524414,3080,0.7134248316287994,-0.0006772152701159939,0.0001,0.004052233,,
