rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/entropy_loss,train/loss,train/clip_range,train/clip_fraction,train/std,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
2842.6206,737.2285714285714,1,127,257,32768,,,,,,,,,,,,,
2733.3503,715.0357142857143,2,255,256,65536,-1.9474821455776692,19698.064453125,0.2,0.0732696533203125,0.39460068941116333,50198.15596923828,2480,0.03519856929779053,0.0009228119251929456,0.0001,0.009098243,,
3336.9338,754.86,3,385,254,98304,-1.9471697226166724,21018.46875,0.2,0.052288818359375,0.39451953768730164,46979.537072753905,2490,0.1771422028541565,-0.00010394555465609301,0.0001,0.007981495,,
3930.2095,809.21,4,518,252,131072,-1.9466856725513935,19062.78515625,0.2,0.0539886474609375,0.39451658725738525,44528.161840820314,2500,0.2519932985305786,-0.0005577445379458367,0.0001,0.0073394743,,
4111.4507,803.06,5,652,251,163840,-1.9466181632131339,14100.3486328125,0.2,0.042474365234375,0.3945091962814331,41952.384057617186,2510,0.31158870458602905,0.0009235373257979518,0.0001,0.0060279365,,
4243.3013,773.9,6,787,249,196608,-1.9462358873337506,20173.419921875,0.2,0.0493194580078125,0.3944401144981384,45907.63901977539,2520,0.3443911075592041,-0.0005437397470814176,0.0001,0.0064406516,,
5131.9434,834.47,7,924,248,229376,-1.945308080688119,16442.94140625,0.2,0.0427947998046875,0.39433538913726807,43426.6647277832,2530,0.39600449800491333,-0.0010904359834967182,0.0001,0.0062167016,,
5623.7285,848.25,8,1063,246,262144,-1.944304735213518,13844.7294921875,0.2,0.0428466796875,0.3942418396472931,40482.13564453125,2540,0.46621716022491455,-9.236457444785628e-05,0.0001,0.0061647617,,
5373.792,832.92,9,1213,243,294912,-1.9433164574205875,14773.94140625,0.2,0.0403656005859375,0.39414554834365845,37451.295245361325,2550,0.47718143463134766,-0.0010348293058996204,0.0001,0.006228645,,
5519.5693,856.0,10,1352,242,327680,-1.9424292042851448,12485.2763671875,0.2,0.039251708984375,0.39407655596733093,37133.91779174805,2560,0.48872339725494385,-6.573256105184555e-05,0.0001,0.0060275784,,
5518.8267,851.44,11,1491,241,360448,-1.9418748125433922,14010.458984375,0.2,0.0377899169921875,0.39403286576271057,36740.66350097656,2570,0.5023031234741211,-2.653251576703042e-05,0.0001,0.006184348,,
6239.636,882.64,12,1626,241,393216,-1.9417338460683822,17186.78125,0.2,0.0359039306640625,0.3940488398075104,39007.466815185544,2580,0.4746822714805603,0.0002994321537698852,0.0001,0.0052673575,,
6186.7573,875.2,13,1757,242,425984,-1.941528769209981,12032.080078125,0.2,0.0465423583984375,0.3939942419528961,38477.05900878906,2590,0.46020597219467163,0.000721752460958669,0.0001,0.0062741293,,
6085.513,857.85,14,1892,242,458752,-1.9411893159151077,13096.5283203125,0.2,0.032489013671875,0.39398327469825745,35702.46780395508,2600,0.5070405900478363,0.00022928418329684063,0.0001,0.0053300746,,
6087.78,835.85,15,2030,242,491520,-1.9409901317209006,12766.2177734375,0.2,0.042138671875,0.39394912123680115,36502.54099121094,2610,0.48459392786026,0.00022279979330050992,0.0001,0.0061840173,,
6131.9,815.46,16,2168,241,524288,-1.9408047538250686,14039.4970703125,0.2,0.0345794677734375,0.3939538598060608,39815.277795410155,2620,0.540729284286499,0.000958178620930994,0.0001,0.0057537826,,
6548.6606,836.77,17,2301,241,557056,-1.940832757204771,13542.3935546875,0.2,0.03795166015625,0.39395347237586975,38822.88706665039,2630,0.5191789269447327,-0.00033633895400271286,0.0001,0.005857546,,
5975.7725,789.85,18,2432,242,589824,-1.9406565506011249,17790.40625,0.2,0.028173828125,0.3939126133918762,42296.17086791992,2640,0.48956990242004395,0.00021022942783019972,0.0001,0.005002505,,
6083.698,801.31,19,2565,242,622592,-1.940300427749753,18907.9921875,0.2,0.033245849609375,0.39388737082481384,48600.77515869141,2650,0.5222315490245819,-0.0005300897277265903,0.0001,0.0056118765,,
6797.7954,837.39,20,2704,242,655360,-1.939747654646635,13191.7646484375,0.2,0.0337066650390625,0.39379626512527466,39676.3493347168,2660,0.5101476907730103,0.00018566350627224892,0.0001,0.0055583837,,
6677.2344,824.01,21,2840,242,688128,-1.9390743859112263,16487.232421875,0.2,0.030535888671875,0.39376044273376465,38758.247265625,2670,0.5725421011447906,-0.00047569307025696617,0.0001,0.004881383,,
6123.83,808.81,22,2972,242,720896,-1.9384545203298331,9782.853515625,0.2,0.0258819580078125,0.39367663860321045,38818.76563110352,2680,0.5700628161430359,0.0003435663176787784,0.0001,0.004364996,,
5926.5845,806.31,23,3107,242,753664,-1.9376375049352645,17046.03125,0.2,0.030218505859375,0.3935980498790741,41755.14291381836,2690,0.5385430753231049,-0.0003065989825699944,0.0001,0.005125532,,
6741.2295,866.16,24,3239,242,786432,-1.936784279346466,12486.2255859375,0.2,0.0329498291015625,0.39350345730781555,43982.59688720703,2700,0.5472447872161865,0.0009243165433872492,0.0001,0.0051353304,,
7349.75,886.56,25,3375,242,819200,-1.9360060814768076,16505.19140625,0.2,0.026104736328125,0.39344844222068787,39464.6989074707,2710,0.5686789453029633,0.0006392974475602387,0.0001,0.0041739065,,
7189.064,851.03,26,3506,242,851968,-1.9353595152497292,15527.66015625,0.2,0.0211517333984375,0.3933771550655365,37508.499194335935,2720,0.5914128720760345,0.0007455728784407257,0.0001,0.004065239,,
6925.108,848.4,27,3642,242,884736,-1.9348202787339688,12780.759765625,0.2,0.024005126953125,0.3933604955673218,37389.44741821289,2730,0.5611207783222198,-0.0003663796411274234,0.0001,0.004495158,,
7033.4126,860.27,28,3776,242,917504,-1.934558791294694,13990.3388671875,0.2,0.0239410400390625,0.39332324266433716,40713.47839355469,2740,0.535855233669281,-0.0006037483770342078,0.0001,0.0041151596,,
