time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/loss,train/clip_range,train/std,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/learning_rate,train/policy_gradient_loss
286,1,1851392,8769.466,28,1242.93,,,,,,,,,,,
217,2,1859584,9034.97,75,1272.7,4730,3759.9716796875,0.2,0.3718525767326355,-1.7058175101876258,17347.836640167236,0.5166977047920227,0.10621337890625,0.009542911,0.0003,-0.0008764407193666557
199,3,1867776,8677.421,123,1214.12,4740,4600.51806640625,0.2,0.37154513597488403,-1.705743270367384,17270.871739196777,0.7548347115516663,0.1047607421875,0.010248212,0.0003,-0.0009857707987976027
190,4,1875968,8458.287,171,1194.45,4750,6025.2529296875,0.2,0.3714441657066345,-1.7034299805760384,24992.054361724855,0.6201393306255341,0.1168212890625,0.010740779,0.0003,-0.002570246743198368
185,5,1884160,8909.756,220,1234.64,4760,5442.53759765625,0.2,0.37119802832603455,-1.7015355341136456,16558.35053253174,0.5793225467205048,0.074609375,0.007560378,0.0003,-0.0006179301213705912
183,6,1892352,8977.735,267,1222.54,4770,2119.857421875,0.2,0.3712241053581238,-1.69998539686203,12335.032181930543,0.784300297498703,0.1049560546875,0.009636019,0.0003,-0.00016777771688794018
179,7,1900544,9265.704,318,1238.96,4780,2714.922119140625,0.2,0.371305912733078,-1.7005533518269658,20979.81183052063,0.4770665168762207,0.09088134765625,0.009117066,0.0003,0.0006625590055591602
177,8,1908736,9458.9,368,1260.29,4790,2933.147705078125,0.2,0.3713083863258362,-1.7009489132091402,13421.948402786255,0.740259975194931,0.0993408203125,0.0095154345,0.0003,-0.0016047975663241233
176,9,1916928,9321.14,417,1229.38,4800,4609.32568359375,0.2,0.3712778389453888,-1.7008250884711742,11630.996687698364,0.8121401518583298,0.09124755859375,0.008244809,0.0003,-0.0014653556594566909
174,10,1925120,9407.82,468,1232.4,4810,4042.93115234375,0.2,0.3713812232017517,-1.7011470146477223,15593.996947860718,0.6032355427742004,0.07799072265625,0.007567028,0.0003,-4.0558842738391834e-05
174,11,1933312,9734.471,515,1259.1,4820,2642.35888671875,0.2,0.3711854815483093,-1.700787845812738,11518.15456047058,0.7539552003145218,0.08935546875,0.0084356265,0.0003,-0.0014071839104872197
174,12,1941504,9794.567,564,1249.56,4830,1437.708984375,0.2,0.3711056709289551,-1.6991297842934727,10382.104333496094,0.7736879140138626,0.0942138671875,0.008826613,0.0003,-0.0008171718913217773
174,13,1949696,9267.35,611,1301.06,4840,2391.506103515625,0.2,0.3709731101989746,-1.6978208350017667,12807.233456420898,0.8116199970245361,0.0810302734375,0.008285701,0.0003,-1.3991003288538196e-05
173,14,1957888,9285.157,660,1301.06,4850,663038.5,0.2,0.37107348442077637,-1.6974815502762794,833240.9308448791,0.38674992322921753,0.18885498046875,0.025145184,0.0003,0.004433125466675847
174,15,1966080,9495.575,705,1327.05,4860,3408.243896484375,0.2,0.3708953559398651,-1.697145565226674,12694.012665176391,0.6850648522377014,0.09537353515625,0.008728564,0.0003,-0.0005564381070144008
173,16,1974272,9935.593,755,1396.4,4870,3413.154541015625,0.2,0.3709089756011963,-1.6961579525843262,14113.353894805909,0.7393863201141357,0.0882568359375,0.00886148,0.0003,-0.0025348894199851203
173,17,1982464,10161.283,804,1425.67,4880,3593.405029296875,0.2,0.37064385414123535,-1.6949342116713524,14541.420677947997,0.7915128767490387,0.10662841796875,0.00969065,0.0003,4.965163607266732e-05
172,18,1990656,9821.088,852,1445.64,4890,2023.594482421875,0.2,0.3706395626068115,-1.6933470491319895,12295.478165054321,0.8375929594039917,0.0736572265625,0.0076128785,0.0003,-0.000728626296040602
172,19,1998848,9735.773,901,1441.55,4900,5365.5634765625,0.2,0.37037938833236694,-1.6918331395834685,17808.87302246094,0.8577171862125397,0.11566162109375,0.010684617,0.0003,-0.00042594369369908236
171,20,2007040,9999.89,954,1469.06,4910,4021.40771484375,0.2,0.3702957034111023,-1.690015989728272,14334.405490875244,0.7529376298189163,0.10179443359375,0.009715211,0.0003,-0.003595396336822887
171,21,2015232,10254.591,1005,1524.8,4920,2928.955322265625,0.2,0.37011390924453735,-1.6885768191888928,11144.309960556031,0.8441343456506729,0.08536376953125,0.008407605,0.0003,-0.0022776459609303856
171,22,2023424,10363.534,1053,1539.13,4930,3034.950439453125,0.2,0.37013840675354004,-1.687535765580833,12074.996605682372,0.883295975625515,0.07972412109375,0.0071674907,0.0003,-0.0030417404137551784
171,23,2031616,10596.355,1099,1610.99,4940,1751.14697265625,0.2,0.3701375126838684,-1.6874680008739233,10861.405379486085,0.7933770418167114,0.10452880859375,0.009767567,0.0003,-0.002522648055310128
171,24,2039808,10449.619,1147,1611.81,4950,4876.7138671875,0.2,0.3701344132423401,-1.6874488420784473,15599.71700553894,0.8125929236412048,0.1026611328125,0.009184618,0.0003,-0.002172085399797652
171,25,2048000,10249.004,1192,1605.05,4960,3593.9013671875,0.2,0.3701241612434387,-1.6875401314347982,12742.260638427735,0.661474883556366,0.0961181640625,0.00862359,0.0003,0.0001420719545421889
