time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance
1,301.0,32768,581,56,-224.74011,,,,,,,,,,,
2,301.0,65536,581,112,-118.27327,0.2,1e-05,0.10443115234375,10,0.008570173,156.56038727760316,0.9985343217849731,-0.012409197507440694,-5.6736100621521475,45.60761260986328,0.000383913516998291
3,301.0,98304,577,170,12.05834,0.2,1e-05,0.126025390625,20,0.009299561,101.90169731378555,0.9965353012084961,-0.01414633551867155,-5.665642491728067,48.170902252197266,0.001347184181213379
4,301.0,131072,576,227,135.5457,0.2,1e-05,0.09993896484375,30,0.009407935,389.8840025305748,0.9955376386642456,-0.00954292404003354,-5.660296612977982,110.8945083618164,0.002294480800628662
5,301.0,163840,577,283,201.8133,0.2,1e-05,0.0543701171875,40,0.009073608,1552.1306246995925,0.9953085780143738,-0.0038419018557760863,-5.657526592165231,637.8023681640625,0.0013480782508850098
6,301.0,196608,578,339,101.00269,0.2,1e-05,0.02779541015625,50,0.006376821,3235.4105434417725,0.9951399564743042,-0.00157810918526593,-5.656681390851736,1271.7398681640625,0.0004290342330932617
7,301.0,229376,579,396,19.662815,0.2,1e-05,0.0451080322265625,60,0.0062453873,2222.8102105379103,0.9945725798606873,-0.002566445223965275,-5.655146334320307,809.2470092773438,-0.00013947486877441406
8,301.0,262144,579,452,12.462214,0.2,1e-05,0.03480224609375,70,0.004756863,285.7858158826828,0.9931725263595581,-0.003422022639279021,-5.651184321939946,139.84881591796875,-0.001849055290222168
9,301.0,294912,579,508,-26.377188,0.2,1e-05,0.0269622802734375,80,0.004714047,2107.4275979995728,0.9930171966552734,-0.002385320332541596,-5.64807981774211,905.7305908203125,0.002018749713897705
10,301.0,327680,579,565,-54.997616,0.2,1e-05,0.01072998046875,90,0.00401529,1030.93124127388,0.9929113388061523,-0.001517355509713525,-5.64756904616952,196.12176513671875,0.017364561557769775
11,301.0,360448,579,621,-85.66002,0.2,1e-05,0.0,100,0.0006941914,1077.5648803710938,0.9928646087646484,-0.00023489035420425352,-5.647177811712027,244.51022338867188,0.06417268514633179
