rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/value_loss,train/loss,train/std,train/clip_fraction,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
325.247311827957,1025.8064,74,1,438,32768,,,,,,,,,,,,,
327.79,1057.0,152,2,430,65536,0.2,0.486977219581604,0.001081204934962443,-1.9473078824579715,2480,31651.27489013672,10644.818359375,0.3945768475532532,0.0948333740234375,0.0001,0.010510643,,
323.76,755.0,235,3,417,98304,0.2,0.6074762642383575,0.0003670544650958618,-1.9471850194036961,2490,29058.80602416992,10164.6376953125,0.39456450939178467,0.07969970703125,0.0001,0.009901811,,
331.61,765.0,313,4,417,131072,0.2,0.6804439723491669,0.0006799654485803331,-1.9466316007077693,2500,26035.409365844727,8889.98046875,0.3944593071937561,0.067828369140625,0.0001,0.00867432,,
339.21,825.0,391,5,418,163840,0.2,0.7238019108772278,0.000607397830390255,-1.9457670297473668,2510,24158.534414672853,9698.015625,0.3944055438041687,0.048095703125,0.0001,0.0067632925,,
326.85,876.0,467,6,420,196608,0.2,0.7459987998008728,1.7712629050947727e-05,-1.9454745326191187,2520,25781.368069458007,7424.55126953125,0.3944105803966522,0.031280517578125,0.0001,0.0052597555,,
337.53,944.0,544,7,421,229376,0.2,0.7754946351051331,-0.0003265101946453797,-1.9453588616102935,2530,22577.212881469728,6740.53466796875,0.3943699598312378,0.04595947265625,0.0001,0.0062272884,,
324.53,691.0,619,8,423,262144,0.2,0.7944424003362656,-0.0005827180739288451,-1.9451293680816888,2540,19430.08234863281,5991.20263671875,0.39437198638916016,0.0494354248046875,0.0001,0.0060644634,,
313.38,539.0,694,9,424,294912,0.2,0.7884934991598129,-0.0006537384790135548,-1.9446540601551532,2550,14554.600914001465,3823.809326171875,0.3942664861679077,0.0342529296875,0.0001,0.005755008,,
327.1,752.0,770,10,425,327680,0.2,0.8187867701053619,-0.0006669787393548176,-1.944085655733943,2560,14377.472268676758,4999.970703125,0.39428114891052246,0.0298309326171875,0.0001,0.004811522,,
317.4,585.0,843,11,427,360448,0.2,0.8460217416286469,-9.272098268411355e-05,-1.9440084666013717,2570,13302.142137145996,5476.51318359375,0.3942309021949768,0.0534637451171875,0.0001,0.0067547,,
321.6,432.0,915,12,429,393216,0.2,0.7092251181602478,-0.00017898849819175666,-1.9437746200710535,2580,28404.363287353517,3007.88330078125,0.39426565170288086,0.041058349609375,0.0001,0.006829841,,
320.53,583.0,988,13,430,425984,0.2,0.8275540471076965,-0.000752717023351579,-1.9436433121562005,2590,12653.178240966798,2595.087890625,0.39419427514076233,0.0416748046875,0.0001,0.0065858187,,
311.89,420.0,1060,14,432,458752,0.2,0.8065068274736404,-0.000520074761880096,-1.943149032443762,2600,9077.20802001953,2220.883056640625,0.3941692113876343,0.04339599609375,0.0001,0.0056490414,,
300.64,126.0,1127,15,435,491520,0.2,0.8423740714788437,-0.0007484597846996622,-1.9426316656172276,2610,6597.29747467041,1850.4283447265625,0.39410027861595154,0.028778076171875,0.0001,0.0050669005,,
305.79,259.0,1198,16,437,524288,0.2,0.8565747439861298,-0.0014758789955521933,-1.9411985903978348,2620,4348.32283782959,724.0050048828125,0.3938729763031006,0.048492431640625,0.0001,0.006732622,,
308.22,322.0,1270,17,438,557056,0.2,0.7212137281894684,-0.0004512606661592145,-1.9390148151665927,2630,15350.689994812012,7401.8369140625,0.3937249183654785,0.028106689453125,0.0001,0.0049639735,,
295.88,94.0,1333,18,442,589824,0.2,0.8478199988603592,-0.0006472968972957461,-1.938114833086729,2640,4996.393274307251,1476.435546875,0.3937278687953949,0.03411865234375,0.0001,0.0050897324,,
296.97,64.0,1398,19,445,622592,0.2,0.8512053191661835,-0.0022325370344333352,-1.9347484521567822,2650,716.5773432731628,98.35279846191406,0.39293068647384644,0.0474822998046875,0.0001,0.0061761076,,
298.93,104.0,1463,20,447,655360,0.2,0.7972618639469147,-0.0023162496894656216,-1.9301074627786874,2660,714.4827887296676,243.1922607421875,0.3929060101509094,0.0680511474609375,0.0001,0.007750664,,
302.38,81.0,1528,21,450,688128,0.2,0.7389994859695435,-0.0020811004902498097,-1.9293333370238543,2670,1198.3696990013123,433.61273193359375,0.39271488785743713,0.0660308837890625,0.0001,0.009755652,,
300.08,37.0,1592,22,452,720896,0.2,0.8675039261579514,-0.0015282427491001727,-1.926912784576416,2680,624.091519677639,63.886898040771484,0.39236417412757874,0.041949462890625,0.0001,0.005877961,,
297.61,16.0,1657,23,454,753664,0.2,0.9004931449890137,-0.001303099228971405,-1.9227154932916164,2690,203.64611747860909,22.54200553894043,0.3920935094356537,0.0906768798828125,0.0001,0.010653084,,
298.7,50.0,1721,24,456,786432,0.2,0.9024578705430031,-0.0016592699344982974,-1.9223637867718935,2700,191.26550077795983,15.931093215942383,0.39214813709259033,0.0325927734375,0.0001,0.0061867763,,
296.94,0.0,1784,25,459,819200,0.2,0.844247579574585,0.00016946738396654836,-1.9226232785731554,2710,91.84911559522152,3.800414562225342,0.3920822739601135,0.0472015380859375,0.0001,0.0049020066,,
293.71,0.0,1847,26,461,851968,0.2,0.054856181144714355,0.010151933226006804,-1.9345674961805344,2720,1.2336063738912344,0.2814257740974426,0.39353910088539124,0.34837646484375,0.0001,0.029709432,,
292.08,0.0,1911,27,462,884736,0.2,-0.20062530040740967,0.0036017272403114477,-1.9389097046107053,2730,0.8482690712437033,0.25292110443115234,0.39349260926246643,0.2445281982421875,0.0001,0.0205803,,
296.95,0.0,1974,28,464,917504,0.2,0.4704599380493164,0.004112162660021568,-1.9300578765571117,2740,0.25022256816737354,0.12629343569278717,0.39218950271606445,0.224932861328125,0.0001,0.010466328,,
291.79,24.0,2038,29,466,950272,0.2,0.6415983140468597,0.002142400743832695,-1.9214947063475847,2750,0.12142619853839279,0.029551425948739052,0.39154818654060364,0.1888916015625,0.0001,0.016717305,,
291.72,78.0,2103,30,467,983040,0.2,0.8144015669822693,0.004537969260127284,-1.9171796400099992,2760,365.67737751305106,29.38230323791504,0.39155566692352295,0.6302093505859375,0.0001,0.09455477,,
294.98,26.0,2168,31,468,1015808,0.2,0.8336448818445206,-3.552652742655482e-05,-1.917192942276597,2770,2032.6571196556092,979.5542602539062,0.3915596306324005,0.00931396484375,0.0001,0.0026461002,,
294.21,3.0,2232,32,469,1048576,0.2,0.6928230226039886,-0.000988602482357237,-1.917205859720707,2780,486.735122436285,702.7537841796875,0.39156007766723633,0.0081451416015625,0.0001,0.0024918513,,
298.48,52.0,2298,33,470,1081344,0.2,0.6714021265506744,-0.000310350375912094,-1.9171642575412988,2790,469.84141632318494,25.27531623840332,0.3915523588657379,0.0042510986328125,0.0001,0.0013577197,,
296.86,26.0,2363,34,471,1114112,0.2,0.7614657580852509,1.9036049980059034e-05,-1.917100826650858,2800,703.1874113321304,67.49801635742188,0.3915484547615051,0.0140472412109375,0.0001,0.0039639985,,
298.68,84.0,2428,35,472,1146880,0.2,0.8159222900867462,-0.0009747806816449156,-1.917001609131694,2810,193.15405296981334,6.131430149078369,0.39153215289115906,0.016461181640625,0.0001,0.0033196076,,
