rollout/ep_len_mean,time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/value_loss,train/std,train/clip_fraction,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
409.77777777777777,322,1,32768,3381.4905,101,,,,,,,,,,,,,
435.66,239,2,65536,3490.93,273,0.0001,37550.048693561555,0.39432576298713684,0.1577178955078125,0.014435722,0.2,2480,-1.945802838471718,0.06921219825744629,10925.98828125,0.005395613997643522,,
432.33,219,3,98304,3920.3235,448,0.0001,38351.983615016936,0.39422136545181274,0.094219970703125,0.00991861,0.2,2490,-1.944163358793594,0.2892301678657532,8872.677734375,0.0018925637075426494,,
434.49,210,4,131072,4229.2007,623,0.0001,40691.660520267484,0.3940981328487396,0.10709228515625,0.0105105145,0.2,2500,-1.942981125228107,0.3918118476867676,19062.193359375,0.002135831221698936,,
463.72,205,5,163840,4755.5293,797,0.0001,35268.57931451798,0.39390960335731506,0.096240234375,0.009276453,0.2,2510,-1.9414909625891597,0.5917811393737793,19922.580078125,0.001457689098128867,,
466.14,202,6,196608,5113.599,972,0.0001,32604.04377555847,0.39391013979911804,0.0785858154296875,0.008074765,0.2,2520,-1.940480812592432,0.6575982868671417,10131.841796875,0.001204079173885475,,
463.12,199,7,229376,4972.948,1149,0.0001,36414.268298244475,0.3937596082687378,0.07130126953125,0.0078030815,0.2,2530,-1.9395293680252508,0.6917056441307068,10714.115234375,0.0011607277324401366,,
471.45,198,8,262144,5168.633,1323,0.0001,32476.60492181778,0.3935967683792114,0.086346435546875,0.008747288,0.2,2540,-1.9378119508503004,0.7357572913169861,10107.0,0.000624785073205203,,
466.44,197,9,294912,5885.982,1496,0.0001,32058.492073059082,0.39334526658058167,0.0730743408203125,0.008454619,0.2,2550,-1.9357715333811938,0.7303817272186279,16779.966796875,-8.453015514078288e-05,,
467.2,196,10,327680,6022.9517,1671,0.0001,37843.969468212126,0.3933306336402893,0.0688568115234375,0.007665768,0.2,2560,-1.9342549245571719,0.6618602871894836,10169.5166015625,-0.001037231560235341,,
485.82,195,11,360448,6270.8467,1846,0.0001,35215.07835931778,0.3932414650917053,0.0713653564453125,0.007588324,0.2,2570,-1.9337583601474762,0.6930374801158905,4807.7744140625,-0.00015688644484725955,,
486.55,194,12,393216,6350.41,2020,0.0001,34265.08448953628,0.3932207524776459,0.07288818359375,0.008088609,0.2,2580,-1.933241298701614,0.7212543785572052,3281.7666015625,0.0005177901795377693,,
465.07,193,13,425984,5815.6743,2196,0.0001,40624.098636436465,0.3931642770767212,0.0713836669921875,0.007769084,0.2,2590,-1.932708196924068,0.6865046918392181,7344.53759765625,0.00020185495759506011,,
480.28,193,14,458752,5892.5513,2370,0.0001,33905.19021091461,0.3930187225341797,0.059600830078125,0.0062889685,0.2,2600,-1.9317568505881355,0.6997616589069366,14220.6474609375,0.0005941937888792381,,
509.39,193,15,491520,6819.833,2546,0.0001,30483.499940681457,0.3929883539676666,0.0637939453125,0.006875804,0.2,2610,-1.930843686289154,0.7367556393146515,12340.0078125,0.0010606877494637955,,
508.14,192,16,524288,6714.294,2722,0.0001,30425.497902297975,0.39294174313545227,0.058892822265625,0.006557098,0.2,2620,-1.9304437229176983,0.735049307346344,6739.2451171875,0.0008981998232684418,,
501.03,192,17,557056,6743.878,2899,0.0001,30501.06287345886,0.39299970865249634,0.05928955078125,0.006666479,0.2,2630,-1.9305224711308255,0.7615804821252823,5261.84814453125,0.0005113617583788254,,
517.86,191,18,589824,7275.78,3075,0.0001,29500.725835704805,0.39286714792251587,0.0579559326171875,0.0062969755,0.2,2640,-1.9301148303085938,0.7390247583389282,4493.93896484375,0.0003946865421312395,,
550.92,191,19,622592,8072.4375,3254,0.0001,30010.19956970215,0.39263975620269775,0.0672454833984375,0.007110726,0.2,2650,-1.9282275695586577,0.7160629332065582,13381.689453125,0.000563289257274846,,
558.3,190,20,655360,8351.956,3431,0.0001,29958.6952208519,0.3925628960132599,0.0588592529296875,0.0067538293,0.2,2660,-1.9266963470261544,0.7268797755241394,14540.6123046875,-0.00024753844971883157,,
546.16,190,21,688128,7888.1963,3609,0.0001,30029.82727794647,0.39233189821243286,0.0674163818359375,0.0074573318,0.2,2670,-1.9250418942188845,0.7295574843883514,3319.83056640625,0.001102740253168122,,
544.87,190,22,720896,7942.5576,3788,0.0001,34230.787701320645,0.39238011837005615,0.0675750732421875,0.007401291,0.2,2680,-1.9239917740924284,0.6950445473194122,8555.3134765625,0.0010216536011739663,,
548.19,189,23,753664,7903.3774,3966,0.0001,29221.867300128935,0.39205092191696167,0.051861572265625,0.006189334,0.2,2690,-1.9226926984498278,0.7285797894001007,7731.5712890625,0.0004523922842736283,,
558.79,189,24,786432,8165.0894,4145,0.0001,29433.250810718535,0.3921341896057129,0.0550445556640625,0.006458391,0.2,2700,-1.9212306336034088,0.6765978932380676,2795.13818359375,-0.0002484872896275192,,
562.81,189,25,819200,8145.1436,4325,0.0001,30319.414523792268,0.3920360505580902,0.0520965576171875,0.005821719,0.2,2710,-1.9212455455679447,0.6700768172740936,12968.5146484375,3.095142660640704e-05,,
599.68,189,26,851968,8928.87,4506,0.0001,34420.85879049301,0.39190852642059326,0.0632049560546875,0.0069654044,0.2,2720,-1.919997253175825,0.663875162601471,6221.71923828125,0.0005631307589965218,,
614.35,188,27,884736,9082.615,4684,0.0001,24291.65989332199,0.39210236072540283,0.0631744384765625,0.0067395614,0.2,2730,-1.9201028607785702,0.7526549696922302,5871.4892578125,2.597488194169273e-05,,
596.92,188,28,917504,8491.612,4865,0.0001,29698.97225985527,0.3920058012008667,0.0645599365234375,0.007279102,0.2,2740,-1.9207503869198264,0.6795125305652618,3488.15283203125,-0.00011927009811643074,,
617.74,188,29,950272,8697.742,5042,0.0001,28222.15188012123,0.3920038640499115,0.0620941162109375,0.0065665245,0.2,2750,-1.9201025950023904,0.7851726561784744,5062.1416015625,0.00043762350971974227,,
580.18,188,30,983040,7698.1943,5221,0.0001,33677.05602536201,0.3918260633945465,0.0768646240234375,0.0074611725,0.2,2760,-1.9193385334685444,0.7358137369155884,7899.2529296875,0.0009888551896438003,,
571.37,188,31,1015808,7685.906,5398,0.0001,32878.14634790421,0.39171934127807617,0.0565185546875,0.0066252816,0.2,2770,-1.9176536923041567,0.715859442949295,5001.06640625,4.8585503304821034e-05,,
595.27,187,32,1048576,8270.461,5577,0.0001,35959.74762878418,0.3915939927101135,0.0715240478515625,0.007965611,0.2,2780,-1.9164550062268972,0.6865922212600708,3823.432861328125,0.0016057716722571059,,
602.15,187,33,1081344,8003.4775,5757,0.0001,34747.412749958035,0.3915770351886749,0.066278076171875,0.0070535797,0.2,2790,-1.9157918917248025,0.7166447341442108,7587.775390625,0.00127385186722222,,
646.01,187,34,1114112,8767.935,5938,0.0001,29454.225924873354,0.39149534702301025,0.0546783447265625,0.0064961165,0.2,2800,-1.9153013797244056,0.7985284477472305,8451.62890625,-0.0003525780275595025,,
