time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/learning_rate,train/value_loss,train/n_updates,train/entropy_loss,train/loss,train/explained_variance,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
3905,374.05356,369,301.0,1441792,44,0.0001,3142.5357140779497,430,-4.932126681506634,4665.67431640625,0.18338370323181152,0.005808857,0.0460205078125,0.2,-0.0021920445925843524,0.8330040574073792,,
3999,433.4121,368,301.0,1474560,45,0.0001,1990.5820524930955,440,-4.919775780849159,2054.724853515625,0.3590790629386902,0.004915979,0.033172607421875,0.2,-0.0020297894037867082,0.8312220573425293,,
4091,409.1561,368,301.0,1507328,46,0.0001,3740.66937237978,450,-4.914518328197301,1147.1163330078125,0.2462422251701355,0.0036315857,0.0212249755859375,0.2,-0.0005953321707465875,0.8305413722991943,,
4184,449.26553,368,301.0,1540096,47,0.0001,2260.274918460846,460,-4.903032724931836,4010.785400390625,0.36170363426208496,0.0037985565,0.0172698974609375,0.2,-0.0007176555286832808,0.827564001083374,,
4276,453.05804,367,301.0,1572864,48,0.0001,3299.7218266844748,470,-4.901339343376458,701.5496215820312,0.2635558247566223,0.002408194,0.00595703125,0.2,-0.0003206613849670248,0.8299641609191895,,
,,,,1600000,,0.0001,4290.332748758793,480,-4.900746073760092,474.0500793457031,0.23471659421920776,0.002721277,0.017022705078125,0.2,-0.0008361544647868868,0.8280432224273682,-2627.911865234375,298.49
4420,462.09296,363,301.0,1605632,49,,,,,,,,,,,,,
4514,328.79572,362,301.0,1638400,50,0.0001,3923.656931376457,490,-4.890399351157248,3520.818115234375,0.22729098796844482,0.0043483493,0.0278167724609375,0.2,-0.0008439088988552613,0.8258352279663086,,
4608,355.67456,362,301.0,1671168,51,0.0001,2343.7031029939653,500,-4.867461406625807,279.99798583984375,0.28606587648391724,0.0044249026,0.0252105712890625,0.2,-0.002032690386249669,0.8199624419212341,,
4701,421.24298,362,301.0,1703936,52,0.0001,2166.3090514063833,510,-4.841384012065828,327.0283203125,0.30234062671661377,0.00541813,0.033148193359375,0.2,-0.002499442442149302,0.8149524927139282,,
4795,452.68695,362,301.0,1736704,53,0.0001,3276.0267438173296,520,-4.823014960810542,261.2585754394531,0.27782005071640015,0.005664969,0.0490509033203125,0.2,-0.000718725444176016,0.8127843141555786,,
