rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,time/iterations,train/clip_fraction,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/loss,train/value_loss,train/learning_rate,train/std,train/clip_range,train/n_updates,train/approx_kl
-222.44263,57,566,301.0,32768,1,,,,,,,,,,,
-141.49107,176,370,301.0,65536,2,0.031976318359375,0.00043570995330810547,-5.676159930974245,-0.007886983797152424,57.760196685791016,137.60882804468275,1e-06,1.000087857246399,0.2,10,0.007502868
-13.653393,296,331,301.0,98304,3,0.0538299560546875,0.00012499094009399414,-5.675775065366179,-0.009684817869901963,39.231117248535156,116.55189939886331,1e-06,0.9997694492340088,0.2,20,0.0088975
138.08272,415,315,301.0,131072,4,0.1016571044921875,1.1324882507324219e-05,-5.674077332764864,-0.014549350150468853,61.17850112915039,126.04949433654546,1e-06,0.9994069337844849,0.2,30,0.009286245
159.0524,535,306,301.0,163840,5,0.059515380859375,0.0003819465637207031,-5.673110238555819,-0.006682461310788312,295.3684387207031,1813.4804719150065,1e-06,0.9991859197616577,0.2,40,0.0084388275
104.24746,654,300,301.0,196608,6,0.0545135498046875,0.0008539557456970215,-5.6723297064192595,-0.005014806381495873,369.3558044433594,2720.7719107821586,1e-06,0.9990613460540771,0.2,50,0.006749288
81.89718,774,296,301.0,229376,7,0.0489532470703125,0.0007186532020568848,-5.67120986552909,-0.004642393635140252,94.82317352294922,1334.4777437835933,1e-06,0.998620867729187,0.2,60,0.005618612
10.773174,893,293,301.0,262144,8,0.0292449951171875,0.00015175342559814453,-5.669938887562603,-0.003412326954708078,99.73699951171875,1708.454958999157,1e-06,0.9984250068664551,0.2,70,0.0048696343
-27.870817,1012,291,301.0,294912,9,0.01912841796875,0.0003209114074707031,-5.669119127467274,-0.0030164488782475018,174.4774932861328,675.9214771836996,1e-06,0.9982154369354248,0.2,80,0.004775434
-58.26602,1131,289,301.0,327680,10,0.00201416015625,0.0015579462051391602,-5.6683744175359605,-0.0009440325804462191,281.4700927734375,1021.5740922272205,1e-06,0.9980610013008118,0.2,90,0.0029717921
-114.83567,1251,288,301.0,360448,11,0.0006591796875,0.008055388927459717,-5.667935086134821,-0.0008724745760446239,259.4425048828125,836.4881790995598,1e-06,0.9980165958404541,0.2,100,0.0023763115
-141.85475,1370,286,301.0,393216,12,4.57763671875e-05,0.029526889324188232,-5.667477509193122,-0.0005150839882389846,347.2222900390625,598.4710641622544,1e-06,0.9978659749031067,0.2,110,0.0014759914
-167.1921,1490,285,301.0,425984,13,0.0001312255859375,0.051923155784606934,-5.667311684135347,-0.0006306736474016361,389.50115966796875,729.0779715657234,1e-06,0.9979278445243835,0.2,120,0.0016941937
-188.75555,1610,284,301.0,458752,14,2.74658203125e-05,0.09097707271575928,-5.6677331601269545,-0.0005919843008086901,315.9977722167969,811.4134918868542,1e-06,0.9980685114860535,0.2,130,0.0013831134
-181.1999,1729,284,301.0,491520,15,0.0,0.1851198673248291,-5.668071326799691,-0.0001522308944913675,395.2245788574219,889.1469252109528,1e-06,0.9980776309967041,0.2,140,0.000482514
-207.81642,1849,283,301.0,524288,16,0.0,0.2977628707885742,-5.667963159270585,-7.190095168425614e-05,421.9886779785156,848.5230254888535,1e-06,0.9980170130729675,0.2,150,0.00029092483
-201.73158,1968,282,301.0,557056,17,3.35693359375e-05,0.38612502813339233,-5.667812346480787,-0.00046890892940609774,472.7323303222656,867.5032222867012,1e-06,0.9980401992797852,0.2,160,0.0013662364
-235.58794,2088,282,301.0,589824,18,0.0,0.3538004755973816,-5.667886455357075,-0.00010644590079209593,464.28558349609375,1239.2807453393937,1e-06,0.9980408549308777,0.2,170,0.0003134642
-239.34033,2208,281,301.0,622592,19,0.0,0.45891469717025757,-5.668024344462902,-0.00031750724820085453,479.586181640625,955.6078469395637,1e-06,0.9980896711349487,0.2,180,0.0007036807
-238.23048,2327,281,301.0,655360,20,0.0003204345703125,0.39148324728012085,-5.667961802054196,-0.0007703963999801999,651.835693359375,1380.864716565609,1e-06,0.9980167746543884,0.2,190,0.0020418074
-189.53609,2447,281,301.0,688128,21,8.544921875e-05,0.47766244411468506,-5.6678197623230515,-0.0005803337330007707,514.6498413085938,1028.4589033007621,1e-06,0.9980335235595703,0.2,200,0.0016126663
-238.76187,2567,280,301.0,720896,22,0.0,0.32712775468826294,-5.667953804507851,-8.262664830454014e-05,528.4655151367188,1816.3353388309479,1e-06,0.9980803728103638,0.2,210,0.0002266099
-176.37746,2687,280,301.0,753664,23,0.0,0.5048871338367462,-5.668372203316539,-0.00029336045126910905,496.7743225097656,963.6640235543251,1e-06,0.9982394576072693,0.2,220,0.00078182947
-206.67975,2807,280,301.0,786432,24,0.00013427734375,0.337150514125824,-5.668578178621829,-0.0006708632242407476,414.8230895996094,1754.4235534071922,1e-06,0.9981763362884521,0.2,230,0.0018570565
-180.2798,2927,279,301.0,819200,25,0.0,0.5291557312011719,-5.668672141060233,-0.00029620479033383164,412.995361328125,944.5948232769966,1e-06,0.9982848763465881,0.2,240,0.0006528472
-130.7308,3049,279,301.0,851968,26,0.0,0.5551335513591766,-5.668897150456905,-0.00031672103646087637,378.10064697265625,788.2774351418018,1e-06,0.998299777507782,0.2,250,0.0009089246
-143.18217,3170,279,301.0,884736,27,0.0,0.4667752981185913,-5.6690539388917385,-0.00022638705197550735,324.05474853515625,1056.43235309124,1e-06,0.9983626008033752,0.2,260,0.0004628572
