time/iterations,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/value_loss,eval/mean_reward,eval/mean_ep_length
1,617,16384,1460.8608,517.3703703703703,26,,,,,,,,,,,,,
2,431,32768,1619.0183,531.9827586206897,75,0.2,0.002494065894279629,-0.02192974090576172,2480,6530.02294921875,0.0003,-1.946928156912327,0.1042724609375,0.39449769258499146,0.011822326,26603.87205810547,,
3,389,49152,1850.983,546.635294117647,126,0.2,0.0011054140548367286,0.089275062084198,2490,4725.322265625,0.0003,-1.9465815536677837,0.105474853515625,0.3945229947566986,0.011299185,21418.911575317383,,
4,371,65536,1994.9639,558.11,176,0.2,0.0027046453942602966,0.15028071403503418,2500,5561.6875,0.0003,-1.9464229308068752,0.091351318359375,0.3944569528102875,0.00940651,22021.85287475586,,
5,361,81920,2397.0608,593.45,226,0.2,-0.0007475175378203857,0.3456956148147583,2510,3245.913818359375,0.0003,-1.9458197079598905,0.07579345703125,0.39441221952438354,0.008951124,19476.00930175781,,
6,355,98304,2721.8953,617.43,276,0.2,0.0009385564597323536,0.30476075410842896,2520,5432.10546875,0.0003,-1.944918019324541,0.086077880859375,0.39425477385520935,0.008549239,21696.099423217773,,
7,350,114688,2806.2893,629.27,327,0.2,0.0005687439101166092,0.380687952041626,2530,6381.18115234375,0.0003,-1.9430996194481849,0.048907470703125,0.3940621316432953,0.00656583,21704.587145996094,,
8,346,131072,3099.2969,659.11,378,0.2,-0.0009898327320115642,0.43754351139068604,2540,6858.44091796875,0.0003,-1.9415802106261253,0.06014404296875,0.39394569396972656,0.007303575,22868.648681640625,,
9,344,147456,3144.944,653.55,428,0.2,-0.0005299465687130578,0.51284259557724,2550,6318.3740234375,0.0003,-1.9407054781913757,0.061053466796875,0.39389094710350037,0.0069948556,21694.826708984376,,
10,341,163840,3393.5107,670.43,479,0.2,9.680889270384796e-05,0.41578054428100586,2560,6323.67822265625,0.0003,-1.9402855180203915,0.05634765625,0.3938738703727722,0.006179932,23425.121008300783,,
11,340,180224,3361.5671,664.07,529,0.2,-0.0007702737893851008,0.48555493354797363,2570,4867.68505859375,0.0003,-1.9403269566595553,0.050030517578125,0.3939081132411957,0.006502317,22710.396728515625,,
12,338,196608,3589.6638,670.32,581,0.2,-0.0007563718369056005,0.48642969131469727,2580,9390.283203125,0.0003,-1.940425418317318,0.055230712890625,0.39389389753341675,0.006434174,27981.982873535155,,
13,337,212992,3436.581,657.7,631,0.2,-0.0009426698750758078,0.5474444627761841,2590,6215.955078125,0.0003,-1.940470287948847,0.047296142578125,0.39390167593955994,0.005774373,21744.00906982422,,
14,336,229376,3703.7178,668.79,682,0.2,-0.0003002891193318646,0.4720780849456787,2600,5819.5986328125,0.0003,-1.9399730749428272,0.04002685546875,0.3937731981277466,0.0056365873,24075.875817871092,,
15,335,245760,4045.3215,688.45,733,0.2,0.0003793356605456211,0.5729867219924927,2610,5567.8134765625,0.0003,-1.9390664100646973,0.055731201171875,0.39373743534088135,0.006197436,22189.957897949218,,
16,333,262144,4183.6465,689.39,786,0.2,0.0009574874347890727,0.5387103855609894,2620,5998.15576171875,0.0003,-1.9386203937232493,0.041961669921875,0.39367619156837463,0.005942884,20159.22034301758,,
17,332,278528,4497.3965,712.76,837,0.2,6.649998176726513e-05,0.4682183265686035,2630,6717.0703125,0.0003,-1.9382142059504985,0.0435546875,0.3936612606048584,0.006175924,24128.19122314453,,
18,331,294912,4594.9395,713.05,888,0.2,0.00010036679086624644,0.5126847624778748,2640,4009.501708984375,0.0003,-1.9380395777523518,0.03961181640625,0.39363759756088257,0.0055497466,19285.577090454102,,
19,331,311296,4295.1455,682.77,939,0.2,-0.000727261583233485,0.5675063133239746,2650,6937.51904296875,0.0003,-1.9378633469343185,0.03355712890625,0.3935982882976532,0.0045495695,22085.221228027345,,
20,329,327680,4473.466,690.72,993,0.2,7.842511258786544e-05,0.5320879817008972,2660,7326.63671875,0.0003,-1.9374795973300933,0.050970458984375,0.39357277750968933,0.006942136,26095.032629394533,,
21,328,344064,4721.7236,714.46,1047,0.2,0.0006429332279367372,0.49678361415863037,2670,4337.0146484375,0.0003,-1.9367370031774045,0.038519287109375,0.3934299051761627,0.005577758,21324.063928222655,,
22,328,360448,5037.2495,740.6,1097,0.2,0.0019109613880573307,0.5196956098079681,2680,7120.03955078125,0.0003,-1.935883317142725,0.056903076171875,0.39343157410621643,0.0068787965,21092.10274658203,,
23,327,376832,5392.0894,765.64,1149,0.2,-0.0011276763354544528,0.4669477939605713,2690,5689.5693359375,0.0003,-1.9356929659843445,0.048919677734375,0.39337798953056335,0.0062592267,22314.34065551758,,
24,326,393216,5830.459,803.59,1203,0.2,-0.0008811491072265199,0.5114829540252686,2700,7160.6572265625,0.0003,-1.9350249662995338,0.04871826171875,0.3933141827583313,0.0062207254,26277.28692626953,,
25,326,409600,5677.7183,793.86,1254,0.2,-0.0005148185729922262,0.5777622759342194,2710,5426.27734375,0.0003,-1.9340045392513274,0.039044189453125,0.39316830039024353,0.005559415,22658.312243652344,,
26,326,425984,5933.582,791.03,1305,0.2,-0.00012658300329349004,0.5543121099472046,2720,6209.35888671875,0.0003,-1.9330744720995425,0.04246826171875,0.3931562304496765,0.005955616,23719.48232421875,,
