time/iterations,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/approx_kl,train/explained_variance,train/n_updates,train/loss,train/value_loss,train/clip_range,train/learning_rate,train/clip_fraction,train/std,train/policy_gradient_loss
1,301.0,32768,61,532,-219.08073,,,,,,,,,,,
2,301.0,65536,132,494,-130.81868,-5.6753180712461475,0.008480119,5.072355270385742e-05,10,49.05696105957031,137.48308017253876,0.2,1e-05,0.0676544189453125,0.9994664788246155,-0.009811314651597059
3,301.0,98304,203,483,4.677604,-5.671961513161659,0.009136286,0.0030462145805358887,20,48.14138412475586,102.35790355205536,0.2,1e-05,0.10340576171875,0.9984880089759827,-0.012349933048972162
4,301.0,131072,275,475,119.29936,-5.668390430510044,0.009552721,0.010585308074951172,30,52.96723175048828,110.85958704948425,0.2,1e-05,0.112017822265625,0.9977094531059265,-0.013024680296803126
5,301.0,163840,346,473,218.55022,-5.6664732411503795,0.0058255224,0.003404557704925537,40,1154.070068359375,1820.1787923812867,0.2,1e-05,0.011865234375,0.9976613521575928,-0.0023470626556445495
6,301.0,196608,417,471,140.81897,-5.666344797611236,0.003832996,0.0017645955085754395,50,1754.23681640625,3731.809978675842,0.2,1e-05,0.0029937744140625,0.9976483583450317,-0.0011138229780044639
7,301.0,229376,489,468,64.25242,-5.666128647327423,0.0058213184,0.0013265609741210938,60,657.6727905273438,2453.6314264297484,0.2,1e-05,0.0375946044921875,0.9975307583808899,-0.002091581534477882
8,301.0,262144,561,466,28.88587,-5.66474122852087,0.006287656,0.001905977725982666,70,695.0360107421875,789.9568481445312,0.2,1e-05,0.058502197265625,0.9969120025634766,-0.004482924385229126
9,301.0,294912,633,465,34.12468,-5.662704031169414,0.0047945036,0.0015392303466796875,80,426.7903137207031,924.9275866508484,0.2,1e-05,0.0378814697265625,0.9965418577194214,-0.003184145613340661
10,301.0,327680,705,464,-19.62635,-5.661757978796959,0.0035030278,0.008938372135162354,90,202.60684204101562,992.0035433769226,0.2,1e-05,0.009234619140625,0.9964643716812134,-0.001264400235049834
11,301.0,360448,776,464,-64.59015,-5.6615636691451074,0.0012743219,0.04311966896057129,100,510.78448486328125,1075.7779446601867,0.2,1e-05,3.0517578125e-05,0.9964619874954224,-0.0007506678395657218
12,301.0,393216,847,463,-79.99452,-5.661556646227837,0.0013243197,0.18903130292892456,110,601.5477294921875,754.9364369392395,0.2,1e-05,2.44140625e-05,0.9964576959609985,-0.0010150479334697592
13,301.0,425984,919,463,-144.60568,-5.661525705456734,1.7875745e-05,0.2387567162513733,120,339.1768798828125,1660.0428400039673,0.2,1e-05,0.0,0.9964444637298584,-4.1508204958518036e-05
14,301.0,458752,990,463,-113.03729,-5.661469879746437,0.00011974035,0.582261472940445,130,233.99256896972656,544.0721702575684,0.2,1e-05,0.0,0.9964308738708496,-0.00011014407846232643
15,301.0,491520,1060,463,-113.15775,-5.6614470586180685,4.525679e-05,0.42942601442337036,140,938.8372192382812,1464.025751876831,0.2,1e-05,0.0,0.996434211730957,-8.119950871332549e-05
16,301.0,524288,1132,462,-110.38331,-5.661470767855644,5.883313e-05,0.5214654505252838,150,273.85955810546875,1126.0175996780395,0.2,1e-05,0.0,0.9964449405670166,-6.950628176127793e-05
17,301.0,557056,1202,463,-145.54312,-5.661488175392151,7.1591494e-05,0.48144054412841797,160,252.63185119628906,1371.3992555618286,0.2,1e-05,0.0,0.9964396953582764,-8.783784105617087e-05
18,301.0,589824,1272,463,-178.45938,-5.6615167036652565,9.9633064e-05,0.5644435882568359,170,297.1494445800781,1119.794561958313,0.2,1e-05,0.0,0.9964600205421448,-0.0001168646891528624
19,301.0,622592,1343,463,-178.55113,-5.661551617085934,0.00019801679,0.7519192695617676,180,250.61917114257812,554.4956287384033,0.2,1e-05,0.0,0.9964556694030762,-0.00014514034628518858
20,301.0,655360,1413,463,-175.13887,-5.661570091545582,0.00056733633,0.7707145661115646,190,254.8116912841797,555.8395285606384,0.2,1e-05,0.0,0.9964734315872192,-0.00033881031686178176
21,301.0,688128,1483,463,-151.27454,-5.66160597205162,0.00022015674,0.6824586093425751,200,339.8336486816406,885.0809335708618,0.2,1e-05,0.0,0.9964708089828491,-0.00018246249037474628
22,301.0,720896,1554,463,-143.34607,-5.661596678197384,0.00062377786,0.6768186986446381,210,475.3166198730469,841.9561040878295,0.2,1e-05,0.0,0.9964670538902283,-0.0005104687335915515
23,301.0,753664,1625,463,-177.26076,-5.661645866930485,0.0011469501,0.7026423811912537,220,248.10614013671875,799.1635083198547,0.2,1e-05,1.220703125e-05,0.9964955449104309,-0.0004904908904791227
24,301.0,786432,1696,463,-157.90862,-5.661720156669617,0.0014475808,0.7976058572530746,230,270.9110107421875,540.6509664535522,0.2,1e-05,6.103515625e-05,0.9965003132820129,-0.0006713953458529432
25,301.0,819200,1768,463,-174.00888,-5.661769382655621,9.328709e-05,0.6060036420822144,240,642.7527465820312,1454.249620628357,0.2,1e-05,0.0,0.9965260028839111,-5.1716090820264074e-05
26,301.0,851968,1839,463,-200.97142,-5.661780953407288,0.00031760999,0.7278510332107544,250,312.9595947265625,869.3914003372192,0.2,1e-05,0.0,0.9965039491653442,-0.00010606262112560217
27,301.0,884736,1910,463,-195.69115,-5.661837968230247,0.00064268603,0.7431192100048065,260,555.6074829101562,905.3747728347778,0.2,1e-05,0.0,0.996558427810669,-0.000310284737861366
28,301.0,917504,1981,463,-188.35207,-5.661960843205452,0.0014014067,0.8290675282478333,270,249.22462463378906,528.7577997207642,0.2,1e-05,3.662109375e-05,0.99656081199646,-0.0005244910582405283
