time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,train/policy_gradient_loss,train/std,train/loss,train/entropy_loss,train/clip_range,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_fraction,eval/mean_reward,eval/mean_ep_length
119,6453.795,1,961.1538461538462,32768,273,,,,,,,,,,,,,
246,7072.802,2,948.1967213114754,65536,266,0.002313521433279675,0.3944832682609558,21453.27734375,-1.946872915700078,0.2,0.21378779411315918,0.010966536,0.0001,2480,54274.09032287598,0.0992523193359375,,
376,7089.1377,3,927.7551020408164,98304,261,0.0005201497462621774,0.3944230377674103,19342.69921875,-1.9460192108526826,0.2,0.17446887493133545,0.008032773,0.0001,2490,54853.43794250488,0.0654632568359375,,
505,7361.3643,4,920.74,131072,259,0.0008878522095074004,0.3944035470485687,21193.34375,-1.945640117302537,0.2,0.19341272115707397,0.007004722,0.0001,2500,55328.744241333006,0.0551666259765625,,
635,7803.6064,5,945.34,163840,257,-5.793259479105473e-05,0.3943733274936676,20580.10546875,-1.9453928366303443,0.2,0.30617755651474,0.0068109743,0.0001,2510,54218.45032958985,0.0505279541015625,,
764,8055.8457,6,970.7,196608,257,-0.000286854868500086,0.394305020570755,16983.87109375,-1.9448774399235844,0.2,0.4069133996963501,0.0065702694,0.0001,2520,50661.84537353516,0.0500701904296875,,
894,8355.935,7,983.74,229376,256,5.364653388824081e-05,0.3942137658596039,22408.078125,-1.9440709847956896,0.2,0.4234877824783325,0.005788709,0.0001,2530,51766.36756896973,0.03858642578125,,
1024,8422.497,8,988.09,262144,255,-5.753880486736307e-05,0.3941134512424469,18297.25390625,-1.943032780662179,0.2,0.40516138076782227,0.0065436116,0.0001,2540,48977.09403991699,0.047198486328125,,
1158,9168.036,9,1007.69,294912,254,1.540602243039757e-05,0.3940505087375641,18115.251953125,-1.9421880478039384,0.2,0.4616454839706421,0.0058404193,0.0001,2550,47321.697326660156,0.0424530029296875,,
1295,9896.762,10,1044.81,327680,252,0.0004879602164692187,0.3940102458000183,21095.134765625,-1.941719326376915,0.2,0.4936424493789673,0.0063693454,0.0001,2560,48239.35509338379,0.051654052734375,,
1428,10294.549,11,1059.7,360448,252,0.0002990942150972842,0.393950879573822,19849.87890625,-1.941196491755545,0.2,0.45093679428100586,0.005872946,0.0001,2570,47996.72269592285,0.04437255859375,,
1562,10221.178,12,1035.04,393216,251,0.0004573152627926902,0.3938904404640198,21286.12890625,-1.9405779862776398,0.2,0.5038074553012848,0.0060013058,0.0001,2580,48708.522128295896,0.0474090576171875,,
1698,10635.834,13,1056.82,425984,250,0.00022104665440565442,0.39384639263153076,21995.8359375,-1.9400455417111515,0.2,0.5121298432350159,0.006365043,0.0001,2590,50636.017654418945,0.0422088623046875,,
1833,10674.745,14,1046.33,458752,250,-0.00018885555327869953,0.3937433063983917,14328.3759765625,-1.9393755471333862,0.2,0.5442646443843842,0.006021191,0.0001,2600,45973.69578552246,0.0483795166015625,,
1968,10872.046,15,1062.9,491520,249,-1.652410956012318e-05,0.3937286138534546,17531.609375,-1.9387213697656989,0.2,0.5912418961524963,0.005488989,0.0001,2610,44000.081259155275,0.035748291015625,,
2106,11010.808,16,1057.03,524288,248,-0.000515216105759464,0.3936920762062073,17633.5703125,-1.9384283112362026,0.2,0.5713305473327637,0.0059260135,0.0001,2620,45909.98248901367,0.045477294921875,,
2242,11185.398,17,1052.92,557056,248,0.000424826731250505,0.39359840750694275,21664.177734375,-1.9377813613042236,0.2,0.6768583357334137,0.0062406454,0.0001,2630,46933.53533325195,0.0456207275390625,,
2377,11545.862,18,1092.07,589824,248,0.000570282744592987,0.39361876249313354,16890.703125,-1.937358239479363,0.2,0.5687001347541809,0.005197761,0.0001,2640,49710.30752868652,0.030645751953125,,
2514,11510.474,19,1133.55,622592,247,0.0008002992513866048,0.39349696040153503,14451.5595703125,-1.936881646886468,0.2,0.673776775598526,0.005178729,0.0001,2650,42452.076528930666,0.0325531005859375,,
2655,12116.265,20,1143.81,655360,246,-0.00028385050682118164,0.39352893829345703,70137.8203125,-1.9363341700285672,0.2,0.431093692779541,0.006223355,0.0001,2660,182105.80431518555,0.04287109375,,
2794,12498.674,21,1178.97,688128,246,-0.00047951221185940087,0.3935094475746155,19678.16796875,-1.9364358795806766,0.2,0.6185831427574158,0.0049264897,0.0001,2670,46325.53312072754,0.027301025390625,,
2934,12477.207,22,1154.58,720896,245,0.00022067819500080078,0.39343297481536865,15592.400390625,-1.9359412532299758,0.2,0.6413129568099976,0.0053471867,0.0001,2680,43939.85382995605,0.0343109130859375,,
3076,13209.735,23,1175.9,753664,245,-0.000389073686892516,0.3934099078178406,18415.435546875,-1.9354211231693625,0.2,0.6672395467758179,0.005503621,0.0001,2690,42109.988757324216,0.034423828125,,
3216,13114.457,24,1184.82,786432,244,0.0004766043843119405,0.3933541178703308,13334.025390625,-1.935009424202144,0.2,0.7095141708850861,0.0064901607,0.0001,2700,40952.541452026366,0.0500762939453125,,
3353,13212.06,25,1211.62,819200,244,0.00024590648972662167,0.39334821701049805,13035.787109375,-1.9346795598044992,0.2,0.692357063293457,0.005259092,0.0001,2710,43439.542797851565,0.032568359375,,
3491,13508.482,26,1229.34,851968,244,-0.00016074556660896632,0.3932894468307495,15274.486328125,-1.9343675784766674,0.2,0.6295179128646851,0.0059972233,0.0001,2720,41059.344540405276,0.0408721923828125,,
3626,13573.582,27,1226.84,884736,243,-6.125633080955595e-05,0.39327454566955566,14879.306640625,-1.9339787205681205,0.2,0.6348060369491577,0.0055590887,0.0001,2730,43034.046295166016,0.0403289794921875,,
3766,13565.624,28,1237.76,917504,243,-0.0007383429423498455,0.39316511154174805,15925.091796875,-1.9334563935175537,0.2,0.6488844156265259,0.0057823975,0.0001,2740,38993.97764892578,0.0384246826171875,,
3904,14455.116,29,1255.37,950272,243,0.000703588587248305,0.39317822456359863,33950.48046875,-1.9329165840521454,0.2,0.5444117188453674,0.00661804,0.0001,2750,69974.06266784668,0.0436248779296875,,
4044,14766.355,30,1283.22,983040,243,7.28145820175996e-05,0.393143892288208,16748.544921875,-1.9328013153746724,0.2,0.6420729756355286,0.004479535,0.0001,2760,43376.96156311035,0.026641845703125,,
4189,15606.744,31,1301.86,1015808,242,-0.00015940016637614463,0.3930765986442566,15813.755859375,-1.9322912255302072,0.2,0.7161308526992798,0.006011373,0.0001,2770,39511.92105102539,0.04354248046875,,
4328,15788.762,32,1334.35,1048576,242,0.0004420709166879533,0.39305269718170166,13040.4873046875,-1.9317764127627015,0.2,0.6534214615821838,0.005786087,0.0001,2780,41292.743576049805,0.044281005859375,,
4468,15824.305,33,1374.79,1081344,241,0.0007969962433890032,0.39296549558639526,18451.638671875,-1.931252969428897,0.2,0.5261315107345581,0.005535385,0.0001,2790,101079.79824523926,0.037896728515625,,
4606,15675.37,34,1366.33,1114112,241,0.00035985315416837694,0.39290714263916016,70126.71875,-1.9305093368515371,0.2,0.5287664830684662,0.0055745402,0.0001,2800,105661.59746704102,0.0351715087890625,,
4747,15533.303,35,1355.75,1146880,241,-0.0005958592788374517,0.3928854763507843,14704.310546875,-1.930054490454495,0.2,0.6988219916820526,0.005282803,0.0001,2810,45669.98842468262,0.033990478515625,,
4886,15941.514,36,1378.09,1179648,241,-0.000508984980842797,0.39285916090011597,14318.1416015625,-1.929784038849175,0.2,0.6906349360942841,0.0054261675,0.0001,2820,55138.84256286621,0.0380859375,,
5027,15808.131,37,1342.29,1212416,241,-0.0007113079956980073,0.39281612634658813,15066.5751953125,-1.929466923698783,0.2,0.6973033547401428,0.005035947,0.0001,2830,40104.227871704104,0.028985595703125,,
5168,15663.773,38,1387.04,1245184,240,-0.0006126310816398472,0.39269664883613586,16771.390625,-1.92861190084368,0.2,0.6808189749717712,0.0059280796,0.0001,2840,39901.69505615234,0.03995361328125,,
5307,16058.31,39,1424.43,1277952,240,-0.0002443573046093661,0.3926822245121002,152261.25,-1.9278953408822417,0.2,0.45979052782058716,0.005378267,0.0001,2850,202247.15258483886,0.043255615234375,,
5453,16645.436,40,1465.12,1310720,240,0.0005899030848013354,0.39267417788505554,12491.9765625,-1.9277663871645927,0.2,0.7759298384189606,0.0053110835,0.0001,2860,36658.12710571289,0.032373046875,,
5592,16229.888,41,1426.36,1343488,240,0.0004520245367530151,0.392633855342865,14454.56640625,-1.927487594820559,0.2,0.6772811710834503,0.0052929176,0.0001,2870,52829.06430969238,0.039984130859375,,
5734,16976.523,42,1457.81,1376256,240,0.0008305864829708298,0.39258137345314026,18758.224609375,-1.926990101672709,0.2,0.6780081987380981,0.004722342,0.0001,2880,46375.93207092285,0.02662353515625,,
5875,17534.234,43,1479.8,1409024,239,0.00031045219766383524,0.3925674855709076,12878.6494140625,-1.926633189432323,0.2,0.6094376444816589,0.0053663524,0.0001,2890,38781.91182861328,0.0356109619140625,,
6015,17434.012,44,1444.27,1441792,239,-0.00018018287973973202,0.39254090189933777,13393.3408203125,-1.9264124365523458,0.2,0.6951465010643005,0.0050275405,0.0001,2900,39471.258569335936,0.0351348876953125,,
6160,17507.672,45,1466.51,1474560,239,-0.00021876136197533923,0.3924800753593445,14909.4404296875,-1.9259871046990156,0.2,0.6184768974781036,0.0050644428,0.0001,2910,37314.866232299806,0.02952880859375,,
6299,17669.541,46,1472.38,1507328,239,-0.00019810642688753433,0.39248523116111755,14049.2236328125,-1.9256524289026857,0.2,0.7379689514636993,0.005561406,0.0001,2920,39471.451135253905,0.0364837646484375,,
6446,17154.32,47,1438.19,1540096,238,7.208632050605956e-05,0.3923874497413635,12173.5888671875,-1.9252465622499586,0.2,0.6900472342967987,0.0052393284,0.0001,2930,36457.73598022461,0.0309661865234375,,
6592,17736.217,48,1470.12,1572864,238,0.0006733922484272626,0.39237338304519653,17335.865234375,-1.9246207144111396,0.2,0.6936155557632446,0.0046640746,0.0001,2940,39409.19000854492,0.0276519775390625,,
,,,,1600000,,0.00046440727164736017,0.39237597584724426,18113.11328125,-1.9245681669563055,0.2,0.7066081464290619,0.005251518,0.0001,2950,40124.202456665036,0.034759521484375,12619.892578125,1439.95
7328,17549.707,49,1452.6,1605632,219,,,,,,,,,,,,,
7474,18210.27,50,1495.65,1638400,219,4.919791190332035e-05,0.39237257838249207,12627.7392578125,-1.9245786694809794,0.2,0.7482978999614716,0.0053800372,0.0001,2960,37745.35140380859,0.0382293701171875,,
7614,18328.814,51,1489.05,1671168,219,-0.00012406695132085587,0.39230605959892273,11711.5458984375,-1.924267055094242,0.2,0.7332998216152191,0.004993392,0.0001,2970,38731.55753173828,0.03184814453125,,
7759,18075.145,52,1515.74,1703936,219,-1.0952058164548362e-05,0.39231032133102417,11462.0810546875,-1.9238757180050015,0.2,0.7574949413537979,0.0045407303,0.0001,2980,35191.54755554199,0.02679443359375,,
7903,17197.56,53,1468.37,1736704,219,0.0004244882853527088,0.3921962380409241,17701.8515625,-1.9233466070145369,0.2,0.8212260752916336,0.005738966,0.0001,2990,39399.51482543945,0.03990478515625,,
8044,16642.596,54,1434.57,1769472,219,0.000545945542944537,0.39216935634613037,13344.0283203125,-1.9225676836445929,0.2,0.7020304799079895,0.005073147,0.0001,3000,41309.44104614258,0.0350372314453125,,
8183,16258.02,55,1416.07,1802240,220,-0.00012952854922332335,0.3921888470649719,13678.7109375,-1.9225173141807317,0.2,0.7739132642745972,0.0047912993,0.0001,3010,35170.709484863284,0.0305450439453125,,
8327,16538.736,56,1401.97,1835008,220,-0.0003609662853705231,0.39212214946746826,15290.9365234375,-1.9222937034443022,0.2,0.6929709911346436,0.0053015132,0.0001,3020,42049.98554992676,0.032928466796875,,
8470,16825.254,57,1398.29,1867776,220,-0.0005336699163308367,0.3920549154281616,14746.2646484375,-1.9216013269498944,0.2,0.7697043716907501,0.005578158,0.0001,3030,38323.905294799806,0.037664794921875,,
8609,17034.582,58,1404.64,1900544,220,0.0006709808745881674,0.3920339345932007,18877.640625,-1.921132735721767,0.2,0.6992495059967041,0.0046858285,0.0001,3040,43037.59758300781,0.029931640625,,
