time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/approx_kl,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss,train/learning_rate,train/clip_range
1,301.0,-631.7796,32768,564,58,,,,,,,,,,,
2,301.0,-825.8805,65536,490,133,805.8963012695312,-0.03434944152832031,0.043091718,0.7241113185882568,630,0.024089600401930512,-4.379596079140901,0.4054779052734375,6167.517265224456,0.001,0.2
3,301.0,-859.44977,98304,469,209,392.85455322265625,0.3987845182418823,0.02820523,0.7233680486679077,640,0.006492285928106867,-4.377910279855132,0.3009307861328125,2945.751901245117,0.001,0.2
4,301.0,-742.51874,131072,458,285,279.9345703125,0.47184300422668457,0.024954686,0.7232541441917419,650,0.0030724068623385393,-4.369608849287033,0.2792266845703125,2126.273035621643,0.001,0.2
5,301.0,-885.62384,163840,452,361,354.4986877441406,0.49452728033065796,0.027559148,0.7237218022346497,660,0.002784498755863751,-4.3686278469860556,0.29241943359375,1923.5772978544235,0.001,0.2
6,301.0,-807.8934,196608,449,437,112.29528045654297,0.548588216304779,0.027913716,0.722960889339447,670,0.00015085602390172426,-4.372589233890176,0.2966094970703125,1126.34935451746,0.001,0.2
7,301.0,-588.3101,229376,446,513,130.31349182128906,0.3880828619003296,0.033991102,0.7228431701660156,680,0.004153004691625028,-4.367543298006058,0.3377166748046875,1101.7814172267913,0.001,0.2
8,298.75,-630.93066,262144,444,589,162.37696838378906,0.321912944316864,0.03202138,0.7206810116767883,690,0.0035413659620644466,-4.366311349347233,0.3088226318359375,1508.1833525776863,0.001,0.2
9,301.0,-675.66656,294912,443,665,1508.9140625,0.2518613934516907,0.03145255,0.719080924987793,700,0.002986006365244975,-4.355188384652138,0.3061248779296875,1631.3406851768493,0.001,0.2
10,301.0,-462.39273,327680,442,741,237.40211486816406,0.3511119484901428,0.026236665,0.7177169919013977,710,0.0031165355235543758,-4.3527472201734785,0.29171142578125,1629.7786447644235,0.001,0.2
11,298.84,-562.0819,360448,441,817,246.3505401611328,0.336367666721344,0.027343817,0.7102178931236267,720,0.0019269406717285164,-4.320853608846664,0.294873046875,1795.1977767944336,0.001,0.2
12,299.57,-367.89133,393216,440,893,1719.903564453125,0.2868463397026062,0.023990078,0.7049950361251831,730,0.0002967895251458685,-4.285688463225961,0.25501708984375,2476.355129003525,0.001,0.2
13,299.92,-516.91095,425984,439,969,1114.9183349609375,0.2610852122306824,0.023580706,0.7031856179237366,740,0.0015882277504715603,-4.269024819880724,0.2478607177734375,3109.2921423196794,0.001,0.2
14,301.0,-319.24738,458752,438,1046,454.32366943359375,0.254006564617157,0.024926798,0.6994571089744568,750,-0.00039762883461662567,-4.244345674663782,0.26678466796875,2031.183275938034,0.001,0.2
15,297.12,-339.7552,491520,437,1122,519.0153198242188,0.276764452457428,0.025624892,0.6968594193458557,760,0.0016108792156046547,-4.228789060562849,0.2612396240234375,2474.8015262365343,0.001,0.2
16,297.58,-251.00572,524288,437,1199,1283.2218017578125,0.19519925117492676,0.023096442,0.6984433531761169,770,0.0009242476701729174,-4.231788174808026,0.252117919921875,3537.8080211400984,0.001,0.2
17,298.99,-266.42313,557056,436,1275,676.1738891601562,0.2174919843673706,0.021572445,0.6934181451797485,780,-6.499041264760309e-05,-4.21955036893487,0.23341064453125,3606.117379283905,0.001,0.2
18,297.41,-496.95337,589824,436,1351,367.3871765136719,0.3353235125541687,0.019925032,0.6893632411956787,790,0.0017205586517775374,-4.188634706661105,0.2309051513671875,3264.987681055069,0.001,0.2
19,301.0,-254.83237,622592,435,1428,815.187744140625,0.2600957155227661,0.0220893,0.6846699714660645,800,9.309775441579404e-05,-4.163027648255229,0.2414947509765625,2534.5317385196686,0.001,0.2
20,300.45,-301.75168,655360,435,1505,952.05224609375,0.30781394243240356,0.020814806,0.6853052377700806,810,-0.00017838314470282058,-4.159207025170327,0.2316314697265625,2833.687860918045,0.001,0.2
21,295.53,-194.74797,688128,434,1584,791.3391723632812,0.3638181686401367,0.021543575,0.6792399883270264,820,0.0006578327405804884,-4.134552601724863,0.23544921875,3617.3120287418365,0.001,0.2
22,300.66,-124.49199,720896,434,1660,813.0239868164062,0.33034443855285645,0.020938162,0.675148606300354,830,-0.00012447846747818403,-4.099764549732209,0.224652099609375,3821.091731929779,0.001,0.2
23,296.88,-103.44252,753664,433,1738,497.5522766113281,0.39149022102355957,0.021129161,0.668884813785553,840,-0.0011521613689183142,-4.072648534178734,0.22838134765625,3407.064411687851,0.001,0.2
24,291.35,-132.14532,786432,432,1816,1496.14453125,0.3681543469429016,0.018212434,0.663305401802063,850,-0.0006035210162735893,-4.038248879462481,0.1942169189453125,3850.96476893425,0.001,0.2
25,292.15,-56.164375,819200,432,1894,504.5094909667969,0.3366950750350952,0.018601697,0.6598767042160034,860,0.0004336383633017249,-4.0160582000389695,0.20263671875,4066.6756888866425,0.001,0.2
26,297.23,-218.86809,851968,431,1972,1415.6397705078125,0.3619868755340576,0.016934482,0.654261589050293,870,1.0236562866339228e-05,-3.986102159880102,0.1904388427734375,4921.9304241657255,0.001,0.2
27,299.8,-113.07211,884736,431,2049,907.3605346679688,0.39374107122421265,0.016595654,0.6480225324630737,880,-0.002072919522652228,-3.9462913554161787,0.1881317138671875,4135.042984199524,0.001,0.2
28,296.58,-209.80367,917504,431,2126,680.3551635742188,0.3994833827018738,0.016765617,0.6437258124351501,890,-0.0008829740384953766,-3.9138782024383545,0.1951416015625,3602.772157526016,0.001,0.2
29,287.18,-101.32806,950272,431,2203,687.5061645507812,0.5013171136379242,0.01786417,0.6395725011825562,900,-0.00286164350936815,-3.8880079206079246,0.1834136962890625,3758.844174194336,0.001,0.2
30,295.66,-122.48018,983040,431,2280,410.9855041503906,0.4479859471321106,0.018599354,0.63545823097229,910,-9.218894610967255e-05,-3.8658314431086183,0.2177978515625,4160.083454036712,0.001,0.2
31,299.15,-67.0145,1015808,430,2357,1566.9052734375,0.41673409938812256,0.018810393,0.6350653767585754,920,0.0002652508670507814,-3.85416359603405,0.20303955078125,3742.000085639954,0.001,0.2
