time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/loss,train/clip_fraction,train/std,train/clip_range,train/approx_kl,train/value_loss,train/entropy_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss
32768,11315.967,1,233,875.8965517241379,140,,,,,,,,,,,
65536,12478.489,2,163,897.2615384615384,399,0.09898287057876587,86554.5703125,0.086444091796875,0.3945767283439636,0.2,0.008883573,186198.7357421875,-1.9473305359482764,2480,0.0001,0.0017962030047783627
