rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,train/explained_variance,train/loss,train/value_loss,train/clip_fraction,train/learning_rate,train/std,train/approx_kl,train/clip_range,train/policy_gradient_loss,eval/mean_ep_length,eval/mean_reward
139.02438,337.5853658536585,32768,1,373,87,,,,,,,,,,,,,
443.0,462.94,65536,2,328,199,2480,-1.9480830949731172,0.6575061976909637,1562.4063720703125,3741.556013965607,0.087591552734375,0.0001,0.3947243392467499,0.008375255,0.2,4.851633748330642e-05,,
732.0,640.75,98304,3,309,317,2490,-1.9485069585032762,0.6749605536460876,644.283203125,5393.0766921520235,0.0722198486328125,0.0001,0.39467617869377136,0.007136224,0.2,-0.0012889489187728031,,
1319.0,884.05,131072,4,299,438,2500,-1.948324675206095,0.6334991753101349,4767.6787109375,8481.709439659118,0.083209228515625,0.0001,0.3946862518787384,0.008204984,0.2,-3.811651231444557e-05,,
1483.0,1031.84,163840,5,291,562,2510,-1.9472058841958642,0.6913973987102509,4907.8720703125,10293.408741283416,0.068817138671875,0.0001,0.39445096254348755,0.0073645622,0.2,-0.00016008837887966366,,
2164.0,1208.2,196608,6,281,699,2520,-1.9448002122342587,0.6793002784252167,3477.395263671875,11227.244898128509,0.067535400390625,0.0001,0.39415454864501953,0.0075857975,0.2,-0.000430742522030414,,
3013.0,1309.67,229376,7,277,827,2530,-1.9419056807644666,0.5180724859237671,13826.87109375,74956.28558444977,0.0627655029296875,0.0001,0.3939104974269867,0.0076719085,0.2,0.0007647825806088804,,
3219.0,1311.39,262144,8,270,969,2540,-1.940513069089502,0.7684779018163681,3410.825439453125,16067.27882862091,0.065191650390625,0.0001,0.3939100205898285,0.0075118258,0.2,0.0003111016967523028,,
3899.0,1398.19,294912,9,265,1112,2550,-1.9402795419096948,0.7059106230735779,7074.16357421875,15770.730639839172,0.0584381103515625,0.0001,0.39385780692100525,0.00676351,0.2,-0.000689869829784584,,
4160.0,1478.01,327680,10,260,1255,2560,-1.9400321702472865,0.618885725736618,4947.138671875,26723.20639781952,0.0695281982421875,0.0001,0.39387500286102295,0.00739564,0.2,0.0008908266585422097,,
3980.0,1444.61,360448,11,258,1394,2570,-1.9396411148831247,0.5557094514369965,4274.21142578125,71423.62636489868,0.059295654296875,0.0001,0.39378821849823,0.0067073777,0.2,0.0008958255210927746,,
4765.0,1509.3,393216,12,255,1540,2580,-1.9388230428099633,0.38815420866012573,11558.5078125,179354.03644104005,0.0598724365234375,0.0001,0.3937116861343384,0.0076084696,0.2,0.0016434870929515454,,
4390.0,1487.89,425984,13,252,1688,2590,-1.9380546076223255,0.5972045361995697,12442.5546875,75058.46491127014,0.0658599853515625,0.0001,0.3936227560043335,0.0076741725,0.2,0.001016764173800766,,
4380.0,1557.37,458752,14,251,1826,2600,-1.937392354849726,0.354813814163208,8745.8017578125,254397.79195346832,0.059771728515625,0.0001,0.39358216524124146,0.006849219,0.2,-0.00042576600717438853,,
4389.0,1444.31,491520,15,251,1957,2610,-1.9367137191817165,0.4650806188583374,5082.767578125,114542.50685386658,0.0582794189453125,0.0001,0.3934808373451233,0.007147654,0.2,0.0005286902476655086,,
3978.0,1533.9,524288,16,250,2089,2620,-1.9356174996122717,0.7468429803848267,2681.23876953125,16593.81146812439,0.04801025390625,0.0001,0.39336609840393066,0.0065821917,0.2,0.0008390434807097336,,
3418.0,1462.71,557056,17,251,2215,2630,-1.934730743151158,0.5505088567733765,3334.30029296875,64563.11175098419,0.065777587890625,0.0001,0.39330214262008667,0.0074700764,0.2,0.0007107587885911926,,
2134.0,1364.5,589824,18,250,2350,2640,-1.9344283355399967,0.4925691485404968,4785.61181640625,108084.0456029892,0.0362640380859375,0.0001,0.3933308720588684,0.0046370393,0.2,-0.00045336043513088953,,
1117.0,1260.62,622592,19,249,2499,2650,-1.934759509563446,0.7821315973997116,3055.976806640625,8903.830089473724,0.03797607421875,0.0001,0.3933567404747009,0.0049252035,0.2,-0.0014043688946003385,,
523.0,1269.7,655360,20,247,2652,2660,-1.9350484400987624,0.6690824329853058,1159.55712890625,28077.23319969177,0.040606689453125,0.0001,0.39338812232017517,0.0048663975,0.2,-0.000547060117150977,,
427.0,1398.53,688128,21,246,2795,2670,-1.9347522967495023,0.5271778106689453,3610.096435546875,78710.05103549958,0.0359832763671875,0.0001,0.39328208565711975,0.0048336526,0.2,-0.00014453041339947958,,
575.0,1321.96,720896,22,245,2931,2680,-1.9337952862493695,0.36908477544784546,2365.87939453125,121886.05331001282,0.0450164794921875,0.0001,0.3931846618652344,0.005305792,0.2,0.0006023431055382389,,
894.0,1480.4,753664,23,245,3075,2690,-1.932981919683516,0.7998710721731186,1302.6705322265625,8395.753289604187,0.0327239990234375,0.0001,0.39315521717071533,0.004709201,0.2,-0.0008261076929557021,,
1166.0,1389.97,786432,24,245,3204,2700,-1.9330650887452066,0.331027626991272,2290.66162109375,93667.24720802307,0.0512298583984375,0.0001,0.3931732475757599,0.006359713,0.2,-0.0005298638372551068,,
1504.0,1340.23,819200,25,245,3338,2710,-1.9331284787505865,0.6001816093921661,2133.157958984375,46467.35844106674,0.043560791015625,0.0001,0.39317193627357483,0.0054823724,0.2,-0.0008930623489504796,,
1542.0,1330.02,851968,26,245,3468,2720,-1.932587447948754,0.5148520171642303,1449.631103515625,71339.24795780182,0.030450439453125,0.0001,0.39302724599838257,0.004755525,0.2,-0.00083821891757907,,
1602.0,1249.75,884736,27,245,3603,2730,-1.9315967231988906,0.7444470822811127,3929.630615234375,10902.098461151123,0.047509765625,0.0001,0.39298027753829956,0.006155529,0.2,-0.0010026843279774766,,
1293.0,1240.16,917504,28,245,3742,2740,-1.930991890002042,0.7318756282329559,2191.325439453125,10169.319081592559,0.037603759765625,0.0001,0.39292585849761963,0.0052683884,0.2,0.000928391086654301,,
1489.0,1401.42,950272,29,244,3891,2750,-1.9303675149567425,0.49107593297958374,4340.16650390625,76642.44288835526,0.0317657470703125,0.0001,0.3928638696670532,0.0046280026,0.2,-0.0008373304036467744,,
2080.0,1411.21,983040,30,243,4028,2760,-1.9296048135496675,0.7151505351066589,9490.0673828125,11797.812951087952,0.0542144775390625,0.0001,0.39276474714279175,0.0068516284,0.2,-0.0003506111724163929,,
2646.0,1504.23,1015808,31,243,4173,2770,-1.9291708400472998,0.6939752697944641,3021.97314453125,14154.714879417419,0.044305419921875,0.0001,0.3927888572216034,0.0054352973,0.2,-0.00039167181748780424,,
3385.0,1608.73,1048576,32,243,4309,2780,-1.9290397685021161,0.697708010673523,8348.048828125,14151.10064945221,0.036651611328125,0.0001,0.3927150368690491,0.0054236185,0.2,-0.0004793473236532009,,
3713.0,1482.65,1081344,33,243,4441,2790,-1.9285266700200736,0.6281742751598358,21723.068359375,26961.987139511108,0.05419921875,0.0001,0.3927210569381714,0.006817612,0.2,0.00023881845718278782,,
3922.0,1450.84,1114112,34,243,4583,2800,-1.928433724772185,0.7158606052398682,3043.79443359375,15412.808208847046,0.0458770751953125,0.0001,0.3926841616630554,0.005579589,0.2,7.702112525294069e-05,,
3750.0,1480.28,1146880,35,242,4719,2810,-1.9277452399022876,0.5630231201648712,3002.114990234375,18950.89123840332,0.0510772705078125,0.0001,0.3925999402999878,0.0061533637,0.2,0.0005535396464438236,,
3743.0,1493.21,1179648,36,243,4854,2820,-1.927391088195145,0.6105929911136627,12132.5576171875,29477.09735546112,0.036688232421875,0.0001,0.39262473583221436,0.005117114,0.2,-0.00035486789374772343,,
3603.0,1449.59,1212416,37,242,5008,2830,-1.9269553677178919,0.6937792897224426,7052.6171875,19742.253742408753,0.030419921875,0.0001,0.39250707626342773,0.0045029502,0.2,-0.0005461662153720681,,
2871.0,1540.94,1245184,38,240,5167,2840,-1.9259315180592238,0.7250394821166992,1976.0789794921875,9100.34078912735,0.0504638671875,0.0001,0.39242023229599,0.0058785537,0.2,-1.353002753603505e-05,,
2791.0,1529.67,1277952,39,239,5325,2850,-1.9248189222998917,0.268778920173645,3444.19287109375,305323.44229421613,0.06033935546875,0.0001,0.3922857642173767,0.006805578,0.2,1.9984677237516735e-05,,
2277.0,1468.72,1310720,40,239,5468,2860,-1.9237278242595495,0.7001989483833313,5208.2109375,14735.871551132203,0.04234619140625,0.0001,0.3922082781791687,0.005356538,0.2,-0.0008357087654985662,,
1811.0,1543.87,1343488,41,239,5620,2870,-1.9225470365025104,0.756779134273529,3133.076171875,7586.13690662384,0.0437591552734375,0.0001,0.39205408096313477,0.0053034383,0.2,0.00016760667135713448,,
1584.0,1460.68,1376256,42,238,5765,2880,-1.9211427860893309,0.6004047095775604,2535.63623046875,28480.900780296324,0.0440826416015625,0.0001,0.3919304311275482,0.00497711,0.2,-0.0003716872813129157,,
2357.0,1397.95,1409024,43,238,5895,2890,-1.9200406522490083,0.3501407504081726,8511.9609375,116992.36388282776,0.0357421875,0.0001,0.3918610215187073,0.0050085075,0.2,7.712853425800859e-05,,
3146.0,1380.97,1441792,44,238,6041,2900,-1.9187701565213502,0.5957051217556,4130.10498046875,23284.073501968385,0.0414093017578125,0.0001,0.3916662633419037,0.005127977,0.2,-0.0002696525917599502,,
3973.0,1403.15,1474560,45,238,6184,2910,-1.917556595802307,0.755066454410553,4940.79248046875,15630.786141395569,0.029791259765625,0.0001,0.39162677526474,0.004352684,0.2,-7.772169501549798e-05,,
3980.0,1358.44,1507328,46,238,6329,2920,-1.9165817022323608,0.7190351486206055,4780.50244140625,12804.77411403656,0.036566162109375,0.0001,0.39146947860717773,0.004786979,0.2,-0.0008091795583823113,,
2987.0,1390.65,1540096,47,237,6487,2930,-1.9154433474875987,0.7314728796482086,1079.423095703125,9007.748295116424,0.033502197265625,0.0001,0.39141523838043213,0.0046668835,0.2,-0.0001360497652058257,,
