time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/learning_rate,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/policy_gradient_loss,train/std,train/n_updates,train/entropy_loss,train/approx_kl,train/clip_range
1,32768,57,301.0,565,-228.15492,,,,,,,,,,,
2,65536,121,301.0,537,-129.36766,0.0001,105.6106651544571,0.1129669189453125,47.399635314941406,3.361701965332031e-05,-0.012200100149129867,0.996126651763916,10,-5.664831515401602,0.008149764,0.2
3,98304,186,301.0,528,-2.0193589,0.0001,101.65626258850098,0.1216888427734375,55.76166534423828,0.01258707046508789,-0.014368065983944689,0.9910390377044678,20,-5.648977380245924,0.008622386,0.2
4,131072,250,301.0,523,196.01016,0.0001,376.75178292989733,0.1008392333984375,57.6788215637207,0.02191925048828125,-0.010808193268167088,0.9908052682876587,30,-5.639019718766212,0.009410836,0.2
5,163840,314,301.0,520,299.44107,0.0001,2650.4493955373764,0.0091217041015625,1685.7637939453125,0.06597036123275757,-0.003044683744701615,0.9908312559127808,40,-5.638675429672003,0.0048848502,0.2
6,196608,379,301.0,518,411.02258,0.0001,4582.508672142028,0.0187469482421875,3659.921875,0.041261494159698486,-0.0023382512541502364,0.990687906742096,50,-5.638515094667673,0.0059893304,0.2
7,229376,443,301.0,517,400.3705,0.0001,7950.768772888184,0.0259857177734375,3231.739013671875,0.019887864589691162,-0.0017760699072823626,0.9904823303222656,60,-5.637758941203356,0.0052012866,0.2
8,262144,507,301.0,516,459.64493,0.0001,6635.865252494812,0.05618896484375,3450.573974609375,0.005362153053283691,-0.0008960492730693658,0.9899448156356812,70,-5.636427241563797,0.005194729,0.2
9,294912,571,301.0,515,411.63367,0.0001,9923.606168746948,0.03944091796875,5120.52587890625,0.0007240772247314453,-0.0011523201632371639,0.9878782629966736,80,-5.6327154658734795,0.005011397,0.2
10,327680,636,301.0,515,377.98105,0.0001,7419.682067871094,0.0987762451171875,3435.54052734375,0.0,0.00029590840440505415,0.9836493134498596,90,-5.619815729558468,0.011451955,0.2
11,360448,700,301.0,514,393.2041,0.0001,8395.135906600952,0.062921142578125,3128.288818359375,0.0,-0.002063295211519289,0.9797170162200928,100,-5.600802297145128,0.005652078,0.2
12,393216,764,301.0,514,327.01593,0.0001,8765.278150177002,0.0348724365234375,5154.115234375,-2.384185791015625e-07,-0.0015749102461086295,0.9772747755050659,110,-5.589853593707085,0.0050161853,0.2
13,425984,829,301.0,513,378.2123,0.0001,6959.634544944764,0.0591705322265625,2572.373046875,1.1920928955078125e-07,-0.0005183688516808615,0.9737091660499573,120,-5.575112968683243,0.0065062153,0.2
14,458752,893,301.0,513,316.22797,0.0001,8750.861693954468,0.04019775390625,4085.50927734375,0.0,-0.000878642764291726,0.9691991209983826,130,-5.55568727478385,0.0069234995,0.2
15,491520,957,301.0,513,278.27148,0.0001,8427.653890228272,0.02919921875,4939.248046875,-1.1920928955078125e-07,-0.00017087668529711664,0.965645968914032,140,-5.542157234996557,0.0058236867,0.2
16,524288,1021,301.0,513,203.39056,0.0001,9084.905668830872,0.0338897705078125,6271.8681640625,1.1920928955078125e-07,-0.0017699576727864042,0.9655369520187378,150,-5.535936211794615,0.004648039,0.2
17,557056,1086,301.0,512,241.29271,0.0001,9214.834569168092,0.0044158935546875,5387.5107421875,0.005768179893493652,-0.0005204077082453295,0.9654072523117065,160,-5.534953474253416,0.0034147343,0.2
18,589824,1150,301.0,512,160.87318,0.0001,11833.35191192627,0.0188079833984375,6170.2626953125,0.005734086036682129,-0.0014039117424545112,0.9646357297897339,170,-5.533176082372665,0.0039436715,0.2
19,622592,1215,301.0,512,27.178774,0.0001,11911.559294128418,0.0140106201171875,8914.93359375,0.00705796480178833,-0.0011359860052834847,0.9634552001953125,180,-5.529321637749672,0.0035909226,0.2
20,655360,1279,301.0,512,33.659893,0.0001,10103.989100265502,0.01092529296875,4070.908203125,0.00865793228149414,-0.000712043961902964,0.9625299572944641,190,-5.524989488720894,0.0032108135,0.2
21,688128,1343,301.0,512,-48.091,0.0001,10027.037556457519,0.0164703369140625,4990.80908203125,0.009390532970428467,-0.0012424030795045837,0.962615430355072,200,-5.523253984004259,0.003539275,0.2
22,720896,1408,301.0,511,-34.997936,0.0001,13001.41353225708,0.0056549072265625,6094.53515625,0.008730709552764893,-0.00030066345852901576,0.9616312980651855,210,-5.521092397719622,0.0027078546,0.2
23,753664,1472,301.0,511,-16.156216,0.0001,13999.117204284668,0.00872802734375,7150.783203125,0.008926570415496826,-0.0002263726028104429,0.9614002704620361,220,-5.518622144311666,0.00347878,0.2
24,786432,1536,301.0,511,-9.156607,0.0001,16097.449603271485,0.0076141357421875,6655.193359375,0.008505702018737793,-0.0002881189724575961,0.9607201814651489,230,-5.516162120550871,0.0026927686,0.2
25,819200,1601,301.0,511,-104.14489,0.0001,15706.159456634521,0.00880126953125,12642.1435546875,0.009734630584716797,-0.00016099817394206185,0.9593409299850464,240,-5.512220041453839,0.0036984007,0.2
26,851968,1665,301.0,511,-33.93588,0.0001,11510.501223754884,0.0153472900390625,6177.16748046875,0.011619269847869873,-0.0008056340651819482,0.9567794799804688,250,-5.504772756993771,0.0037706015,0.2
27,884736,1730,301.0,511,-48.100327,0.0001,16160.977016448975,0.0157958984375,4738.7763671875,0.010122478008270264,-0.0005591625245870091,0.9511796832084656,260,-5.486667434871197,0.0036797372,0.2
28,917504,1794,301.0,511,-74.89371,0.0001,16928.06372528076,0.02567138671875,8891.9345703125,0.010857760906219482,-0.0010539624341618036,0.9470292925834656,270,-5.463050235807896,0.004698813,0.2
