time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/iterations,time/fps,train/value_loss,train/learning_rate,train/n_updates,train/explained_variance,train/std,train/clip_fraction,train/loss,train/entropy_loss,train/policy_gradient_loss,train/clip_range,train/approx_kl
32768,301.0,-236.62679,60,1,542,,,,,,,,,,,
65536,164.36,-1743.6644,162,2,403,100.38103109896183,0.01,10,0.00012350082397460938,1.0473765134811401,0.9925384521484375,56.8629264831543,-5.831091966852545,0.3135535403784161,0.2,85.127426
98304,295.62,-462.06567,262,3,374,48027.166045379636,0.01,20,0.0,1.023070216178894,0.9620697021484375,24759.431640625,-5.729571337997913,0.26211976348531607,0.2,43.060898
131072,157.0,-1712.511,362,4,361,755.4247334241867,0.01,30,5.960464477539063e-08,1.2897402048110962,0.9969818115234375,406.00634765625,-6.4608414264395835,0.21243410422648595,0.2,2716.4233
163840,301.0,-540.2442,462,5,354,33199.748538208005,0.01,40,0.0,1.4972620010375977,0.979107666015625,16780.669921875,-7.089847175404429,0.2730155625273255,0.2,821.3434
196608,301.0,-496.54187,565,6,347,2716.3198999643328,0.01,50,0.0,1.5297002792358398,0.997979736328125,491.8514099121094,-7.195146776363254,0.1988893171073869,0.2,71.87056
229376,157.0,-1712.6915,665,7,344,1610.2759443461896,0.01,60,-1.1920928955078125e-07,1.728645920753479,0.9971343994140625,687.4369506835938,-7.292824320495129,0.21857462060397664,0.2,2192.4976
262144,157.0,-1713.3114,770,8,340,30125.665258407593,0.01,70,0.0,1.6964324712753296,0.9916473388671875,11685.126953125,-7.195300010032952,0.2835159048347123,0.2,93.07156
294912,157.0,-1712.4946,873,9,337,23139.995780181885,0.01,80,0.0,1.8481398820877075,0.998516845703125,11486.728515625,-7.648983404040337,0.28944979992156733,0.2,116.78462
327680,295.24,-530.1698,982,10,333,18706.812285614014,0.01,90,0.0,1.8686314821243286,0.9992767333984375,10360.5234375,-7.747910678386688,0.2928218707558699,0.2,498.60718
360448,301.0,-496.45175,1105,11,326,4988.874530673027,0.01,100,0.0,1.858560562133789,0.995684814453125,1911.2310791015625,-8.027562546357512,0.2094507684261771,0.2,157.61813
393216,301.0,-935.8072,1232,12,319,4159.692250180245,0.01,110,0.0,2.429708242416382,0.9922119140625,2995.01953125,-8.858769546449185,0.21943211423276807,0.2,168.45801
425984,150.22,-1850.315,1403,13,303,3568.7136965274813,0.01,120,0.0,3.4101927280426025,0.9991302490234375,1226.1676025390625,-10.448484149202704,0.2565894272025616,0.2,167.80008
458752,301.0,-546.83026,1600,14,286,25776.785488128662,0.01,130,5.960464477539063e-08,3.8334624767303467,0.986004638671875,10749.388671875,-10.541937928274274,0.27326485971443615,0.2,88.54045
491520,301.0,-496.4785,1785,15,275,5037.703635835647,0.01,140,0.0,4.817300796508789,0.989697265625,1915.743408203125,-11.467113875225186,0.2064719011887064,0.2,72.38043
