time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,train/value_loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/std,eval/mean_reward,eval/mean_ep_length
1,-220.31035,56,301.0,32768,576,,,,,,,,,,,,,
2,-155.92209,210,301.0,65536,311,75.24685606695712,0.0001,0.1093658447265625,-5.674173539271578,25.932998657226562,0.00035703182220458984,0.2,10,0.0076306975,-0.011303998499136015,0.9991937875747681,,
3,-4.666903,367,301.0,98304,267,104.7004353132099,0.0001,0.1544647216796875,-5.638276048144325,47.005027770996094,0.32334333658218384,0.2,20,0.010313997,-0.017167239945160874,0.987170398235321,,
4,141.71242,527,301.0,131072,248,408.8707260955125,0.0001,0.1769287109375,-5.582654475932941,85.31157684326172,0.25846248865127563,0.2,30,0.011827858,-0.019417275993419025,0.9740639925003052,,
5,156.83075,689,301.0,163840,237,1548.7462023206056,0.0001,0.16058349609375,-5.528558715898543,126.55901336669922,0.13954180479049683,0.2,40,0.010323893,-0.015321015943618477,0.9614920616149902,,
6,90.54657,853,301.0,196608,230,2968.232231427729,0.0001,0.1067169189453125,-5.484260731004179,126.0704574584961,0.05336350202560425,0.2,50,0.008026174,-0.007092135043239978,0.9509366750717163,,
7,68.13967,1020,301.0,229376,224,2227.895169442892,0.0001,0.1010223388671875,-5.430404289998114,50.54161071777344,0.09156638383865356,0.2,60,0.008238346,-0.007704459571186817,0.9368686079978943,,
8,-2.9290307,1188,301.0,262144,220,1108.296364992857,0.0001,0.078167724609375,-5.3659733148757365,1319.5013427734375,0.16369903087615967,0.2,70,0.007400467,-0.007577913144666581,0.9230548143386841,,
9,-3.9179626,1360,301.0,294912,216,512.663884908706,0.0001,0.0468353271484375,-5.3184927814174445,186.8780975341797,0.4716113209724426,0.2,80,0.0051985304,-0.004764448329956395,0.9108644127845764,,
10,-24.104382,1531,301.0,327680,213,1383.9994896180929,0.0001,0.0267181396484375,-5.295629936689511,89.90725708007812,0.48194944858551025,0.2,90,0.0043242695,-0.003308229668891727,0.9087389707565308,,
11,-32.23994,1705,301.0,360448,211,560.0671856217086,0.0001,0.0296112060546875,-5.286521150264889,167.5233612060547,0.7673585116863251,0.2,100,0.0052034487,-0.002868468772282995,0.9058353304862976,,
12,-24.562744,1878,301.0,393216,209,547.6208211235702,0.0001,0.036346435546875,-5.274080514814704,12426.263671875,0.8072080910205841,0.2,110,0.0056384187,-0.003081106587387694,0.9021732807159424,,
13,28.001709,2052,301.0,425984,207,283.7961443953216,0.0001,0.043292236328125,-5.261010284395889,170.07208251953125,0.8824313059449196,0.2,120,0.005092246,-0.0031897149023848216,0.8990716934204102,,
14,107.23714,2228,301.0,458752,205,266.42160453274846,0.0001,0.0457733154296875,-5.2423085864633325,114.07709503173828,0.8897612020373344,0.2,130,0.0061460477,-0.003449109344705903,0.8966595530509949,,
15,147.40274,2405,301.0,491520,204,1094.9084986299276,0.0001,0.0495330810546875,-5.229624546132982,131.4016571044922,0.6554605960845947,0.2,140,0.0064071105,-0.0028856502177404763,0.8931155204772949,,
16,177.1507,2582,301.0,524288,203,1388.379025798291,0.0001,0.0590087890625,-5.20151661853306,438.7269287109375,0.516564130783081,0.2,150,0.006541714,-0.002404480374212881,0.8861561417579651,,
17,144.0838,2758,301.0,557056,201,779.7795969136059,0.0001,0.0573974609375,-5.1756032519508155,117.50558471679688,0.5640819370746613,0.2,160,0.0057040113,-0.0031557982026697573,0.8819145560264587,,
18,244.40076,2935,301.0,589824,200,261.41944086700676,0.0001,0.0691162109375,-5.147748768981546,113.02835845947266,0.7671981751918793,0.2,170,0.0073953564,-0.004007348156551416,0.8752788305282593,,
19,286.09094,3112,301.0,622592,200,1110.666221859306,0.0001,0.071551513671875,-5.12242544433102,114.28544616699219,0.4300232529640198,0.2,180,0.0075695356,-0.0018368643304938815,0.868190586566925,,
20,199.85573,3289,301.0,655360,199,1602.7188774764538,0.0001,0.076904296875,-5.094713335996493,190.3450164794922,0.32590270042419434,0.2,190,0.0072010397,-0.0014101022862291757,0.8654693961143494,,
21,249.82703,3466,301.0,688128,198,551.6341448269784,0.0001,0.095361328125,-5.062175094755366,106.00005340576172,0.6018284559249878,0.2,200,0.00831558,-0.002431009803422057,0.8575644493103027,,
22,234.09097,3643,301.0,720896,197,1128.7734188638628,0.0001,0.090576171875,-5.035627020802349,165.49490356445312,0.457139253616333,0.2,210,0.008059765,-0.0014526893972288235,0.8512129187583923,,
23,263.74307,3819,301.0,753664,197,923.5491714254022,0.0001,0.100970458984375,-5.007073639240116,291.58551025390625,0.5345866978168488,0.2,220,0.009225115,-0.0010963570569401781,0.8457857370376587,,
24,270.6217,3996,301.0,786432,196,1507.5705469153822,0.0001,0.1100311279296875,-4.981692696269602,155.59597778320312,0.4028627872467041,0.2,230,0.009721264,-0.004080834879187023,0.8413567543029785,,
25,320.06085,4173,301.0,819200,196,962.8593631222844,0.0001,0.103167724609375,-4.941293462738395,212.85150146484375,0.44890499114990234,0.2,240,0.010133022,-0.003098938501307202,0.8303278088569641,,
26,307.31415,4350,301.0,851968,195,1780.5597969204186,0.0001,0.101007080078125,-4.891846539638936,171.33192443847656,0.3285055160522461,0.2,250,0.009142503,-0.0025796300320621414,0.8213409781455994,,
27,412.20285,4528,301.0,884736,195,1741.9834538988769,0.0001,0.0979339599609375,-4.852226301515475,186.11038208007812,0.34799712896347046,0.2,260,0.008715186,-0.0034505147675247374,0.8138367533683777,,
28,421.2486,4705,301.0,917504,194,3764.449690070748,0.0001,0.1038604736328125,-4.823539896216244,223.46923828125,0.25151538848876953,0.2,270,0.008040229,-0.003685269967888871,0.8089934587478638,,
29,418.20456,4882,301.0,950272,194,2117.2251814931633,0.0001,0.0847320556640625,-4.783096645027399,258.4661560058594,0.30868470668792725,0.2,280,0.007999261,-0.0009633494651154706,0.800115168094635,,
30,480.49875,5060,301.0,983040,194,1898.8651667281986,0.0001,0.0957733154296875,-4.749203407624736,95.81169128417969,0.3064323663711548,0.2,290,0.0088483,-0.0003392019175294081,0.7934533357620239,,
31,458.89755,5238,301.0,1015808,193,2820.607933858037,0.0001,0.1144378662109375,-4.706068871030584,215.11949157714844,0.2392750382423401,0.2,300,0.010553243,-0.0018629211115921863,0.7854855060577393,,
32,399.089,5416,301.0,1048576,193,2969.558139986545,0.0001,0.0883758544921875,-4.682197584072128,301.74444580078125,0.2683395743370056,0.2,310,0.008985918,0.0008671030410368985,0.7811326384544373,,
33,467.00085,5593,301.0,1081344,193,2137.9241510689258,0.0001,0.1178314208984375,-4.648807184956968,150.8349151611328,0.4052841067314148,0.2,320,0.010049539,-0.002537817321217517,0.773970365524292,,
34,621.55237,5774,301.0,1114112,192,2761.7438181072475,0.0001,0.10904541015625,-4.604053471330554,446.13726806640625,0.27435481548309326,0.2,330,0.009428077,-0.0007885254209782034,0.765479326248169,,
35,600.926,5954,301.0,1146880,192,5689.291299012303,0.0001,0.119769287109375,-4.574751947959885,363.1250915527344,0.1349664330482483,0.2,340,0.011736945,0.0027222931190522106,0.7604273557662964,,
36,493.54364,6133,301.0,1179648,192,4651.9056587815285,0.0001,0.145794677734375,-4.54501658026129,172.39906311035156,0.13777726888656616,0.2,350,0.014534488,0.004786315307870837,0.7548487186431885,,
37,643.8856,6311,301.0,1212416,192,2239.0780709952114,0.0001,0.105499267578125,-4.51282699177973,148.7266845703125,0.28545427322387695,0.2,360,0.010003723,0.0014127373026951774,0.7476187348365784,,
38,596.9055,6497,301.0,1245184,191,5130.216135314107,0.0001,0.118170166015625,-4.482383601879701,312.2644348144531,0.14662480354309082,0.2,370,0.011096445,0.0024165034223642577,0.7434015870094299,,
39,573.5901,6674,301.0,1277952,191,5082.454390007258,0.0001,0.1304595947265625,-4.459151504747569,3288.18994140625,0.19014275074005127,0.2,380,0.011550812,0.003879538358546597,0.7387454509735107,,
40,676.6453,6851,301.0,1310720,191,4268.115528605878,0.0001,0.1339324951171875,-4.431438000779599,313.82452392578125,0.22819727659225464,0.2,390,0.010192338,0.0028146138719876033,0.7338308095932007,,
41,498.71606,7028,301.0,1343488,191,6567.82758050263,0.0001,0.135186767578125,-4.413529934640974,278.2333068847656,0.15318512916564941,0.2,400,0.013733316,0.004207443356403928,0.7322167158126831,,
42,578.59564,7205,301.0,1376256,190,3595.43349276185,0.0001,0.150579833984375,-4.387184874434024,4262.703125,0.18133121728897095,0.2,410,0.01628486,0.0049757907132857325,0.7250218391418457,,
43,661.9338,7383,301.0,1409024,190,3965.9688035175204,0.0001,0.152838134765625,-4.346656237635761,1930.9150390625,0.21594882011413574,0.2,420,0.015773619,0.003860597479479111,0.7190362811088562,,
44,454.3877,7560,301.0,1441792,190,4644.78096895516,0.0001,0.1438507080078125,-4.318510538479313,422.2989807128906,0.191508948802948,0.2,430,0.013181886,0.003252960914801406,0.7137448191642761,,
45,530.31177,7738,301.0,1474560,190,1578.2747677594423,0.0001,0.12625732421875,-4.269450713740662,351.4075927734375,0.2843000888824463,0.2,440,0.0112282,0.0028790423583927804,0.7042833566665649,,
46,621.06506,7915,301.0,1507328,190,2091.5882149547338,0.0001,0.126336669921875,-4.231436175666749,590.467529296875,0.30457693338394165,0.2,450,0.011678662,0.004380273307685911,0.6994231343269348,,
47,676.2603,8092,301.0,1540096,190,5345.289733850956,0.0001,0.1474090576171875,-4.198790489416569,2336.228759765625,0.1933266520500183,0.2,460,0.013113596,0.004558561714929965,0.6924458146095276,,
48,710.3186,8269,301.0,1572864,190,5039.837325255573,0.0001,0.1399200439453125,-4.1637605838943275,12167.810546875,0.18755650520324707,0.2,470,0.011542452,0.004526540657070655,0.6872414946556091,,
,,,,1600000,,4096.873742826283,0.0001,0.134161376953125,-4.129769604373723,353.1905517578125,0.2210022211074829,0.2,480,0.012205597,0.003885549129421406,0.681381344795227,1446.4610595703125,301.0
49,726.3412,8497,301.0,1605632,188,,,,,,,,,,,,,
50,652.2692,8675,301.0,1638400,188,5893.695736333728,0.0001,0.1380584716796875,-4.111100877868012,2244.026611328125,0.2088800072669983,0.2,490,0.01250588,0.005334135572127252,0.6785125732421875,,
51,887.6546,8853,301.0,1671168,188,3479.0774659410117,0.0001,0.182513427734375,-4.0892984511330726,241.3367462158203,0.21165728569030762,0.2,500,0.014612392,0.007766631128606605,0.6749188899993896,,
52,703.7764,9030,301.0,1703936,188,7921.1135037511585,0.0001,0.1876220703125,-4.077850027615204,4972.697265625,0.17830890417099,0.2,510,0.021128815,0.00906697919981525,0.6733222007751465,,
53,693.4353,9208,301.0,1736704,188,4410.739767000079,0.0001,0.17022705078125,-4.051684959512204,645.3318481445312,0.25991499423980713,0.2,520,0.016087817,0.005997804001412988,0.6663922071456909,,
54,592.6636,9386,301.0,1769472,188,4512.540255561471,0.0001,0.166888427734375,-4.008662738837302,400.8984069824219,0.22608792781829834,0.2,530,0.014826236,0.007387472386744776,0.6593608260154724,,
55,535.7434,9565,301.0,1802240,188,3973.734600120783,0.0001,0.1595550537109375,-3.9678997234907003,484.64813232421875,0.2837446928024292,0.2,540,0.015040135,0.0043197738037974885,0.6526620388031006,,
56,572.9581,9743,301.0,1835008,188,2804.968851430714,0.0001,0.146600341796875,-3.9290727590676395,287.5258483886719,0.3058270215988159,0.2,550,0.01583901,0.0043771224672696,0.6467737555503845,,
57,628.5246,9921,301.0,1867776,188,3242.5413891896605,0.0001,0.1819244384765625,-3.8871582355117424,6213.900390625,0.2637566328048706,0.2,560,0.01466459,0.0028087346563211214,0.6401023268699646,,
58,678.24774,10098,301.0,1900544,188,2779.363795268536,0.0001,0.2013885498046875,-3.8493202535668387,1329.4119873046875,0.3391458988189697,0.2,570,0.019565864,0.0047431643897880345,0.6334434747695923,,
59,585.34454,10276,301.0,1933312,188,3302.4546190559863,0.0001,0.1896270751953125,-3.8072939524427056,665.5534057617188,0.34508055448532104,0.2,580,0.018467356,0.006746917234170269,0.6266250014305115,,
60,835.351,10454,301.0,1966080,188,2371.1252774640916,0.0001,0.175872802734375,-3.7646284160902725,178.48886108398438,0.43293046951293945,0.2,590,0.015736284,0.0033694165008455457,0.6205674409866333,,
61,913.3063,10632,301.0,1998848,187,5636.322145485878,0.0001,0.1896881103515625,-3.731556025194004,202.66812133789062,0.26759082078933716,0.2,600,0.018376466,0.00789302153408471,0.6158058047294617,,
62,862.71686,10810,301.0,2031616,187,5027.618041688203,0.0001,0.166485595703125,-3.701750014233403,688.168701171875,0.28926271200180054,0.2,610,0.015769742,0.005192886225745497,0.6117737889289856,,
