time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/loss,train/clip_range,train/std,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/learning_rate,train/policy_gradient_loss
252,1,1236992,6750.997,32,1080.28,,,,,,,,,,,
213,2,1245184,6482.158,76,1083.51,3980,2952.939697265625,0.2,0.37656116485595703,-1.7610497485846281,11307.377516174316,0.8237398713827133,0.09134521484375,0.008005567,0.0003,-0.0006789683393435553
198,3,1253376,6667.4062,123,1110.1,3990,3054.859130859375,0.2,0.37637704610824585,-1.7579791346564888,23407.43100204468,0.5880216956138611,0.1230224609375,0.010954144,0.0003,0.00013890028749301563
192,4,1261568,6779.1094,170,1163.47,4000,3995.977294921875,0.2,0.3764001727104187,-1.7571050675585866,13992.934314346314,0.6665818989276886,0.10115966796875,0.009236367,0.0003,0.000392314658529358
189,5,1269760,6612.5127,216,1163.03,4010,6143.8310546875,0.2,0.3762595057487488,-1.7564992723986506,12275.084033966064,0.7456991970539093,0.0748291015625,0.0082243355,0.0003,-0.002280910175250028
187,6,1277952,6432.297,262,1195.44,4020,1493.4285888671875,0.2,0.37609612941741943,-1.7546876601874828,12071.6852684021,0.7471323013305664,0.1034423828125,0.008278521,0.0003,0.0015701113808972878
186,7,1286144,6422.0264,306,1178.01,4030,4806.2080078125,0.2,0.3760644793510437,-1.7533647840842606,15437.699166870118,0.8952581211924553,0.10875244140625,0.0099389125,0.0003,-0.0013758289533143397
186,8,1294336,6293.2407,350,1183.27,4040,1904.485107421875,0.2,0.3761664628982544,-1.7538130497559905,14255.482834243774,0.8214110732078552,0.1302490234375,0.011331441,0.0003,-0.002913050378265325
187,9,1302528,6515.2485,392,1201.89,4050,3134.2021484375,0.2,0.3759233057498932,-1.7534186489880086,14569.821863174438,0.8107272386550903,0.0747314453125,0.0071527553,0.0003,-0.0026366160724137443
186,10,1310720,6401.9336,438,1176.05,4060,5717.06640625,0.2,0.37570539116859436,-1.7508155914023518,14092.779260253907,0.64262655377388,0.05997314453125,0.0066574076,0.0003,-0.0016549541942367796
186,11,1318912,6231.9644,483,1165.04,4070,4046.3779296875,0.2,0.375677227973938,-1.7495173381641507,13179.586334991454,0.8590845763683319,0.0939697265625,0.008818228,0.0003,-0.0012844833614508388
186,12,1327104,6121.4243,527,1152.63,4080,4843.5869140625,0.2,0.3755407929420471,-1.7485003104433416,20261.98816833496,0.7142418920993805,0.1041748046875,0.008911934,0.0003,-0.00300137849553721
184,13,1335296,6174.088,577,1176.43,4090,3948.348876953125,0.2,0.37545865774154663,-1.7474060606211423,15034.888053131104,0.6788118183612823,0.0600830078125,0.0067538265,0.0003,-0.001000233055310673
183,14,1343488,5979.147,623,1211.61,4100,2344.9716796875,0.2,0.37563931941986084,-1.7478139773011208,9049.780689620971,0.8038056194782257,0.08990478515625,0.008473564,0.0003,-0.003099072279292159
183,15,1351680,6052.0674,670,1233.0,4110,2858.998046875,0.2,0.3753106892108917,-1.7472483484074472,15514.19361228943,0.7268073260784149,0.09364013671875,0.008201492,0.0003,-0.0023837415283196606
183,16,1359872,5905.851,715,1199.57,4120,2845.952880859375,0.2,0.37517842650413513,-1.7445436427369714,12596.28621559143,0.8509806841611862,0.08818359375,0.009086691,0.0003,-0.00017174563945445697
183,17,1368064,6050.22,760,1234.92,4130,3138.68994140625,0.2,0.37495312094688416,-1.7426792297512292,11536.51365776062,0.7515622675418854,0.10457763671875,0.009093357,0.0003,-0.0011004439169482795
182,18,1376256,5989.591,809,1224.14,4140,2866.93115234375,0.2,0.37470710277557373,-1.740238363482058,17977.96314163208,0.7362529337406158,0.10045166015625,0.008903654,0.0003,-0.0015976184469764121
182,19,1384448,6108.978,855,1238.32,4150,1272.9359130859375,0.2,0.3745030462741852,-1.7380114575847982,11616.512940788269,0.8141602426767349,0.11883544921875,0.010952406,0.0003,-0.003535299164650496
181,20,1392640,5937.457,902,1233.56,4160,3166.29150390625,0.2,0.3741816580295563,-1.7352847764268517,11041.254475402831,0.8328795880079269,0.0924560546875,0.009040616,0.0003,-0.0022763348828448216
180,21,1400832,5835.739,951,1211.36,4170,4510.6826171875,0.2,0.374191552400589,-1.733468835055828,11506.765159606934,0.7979196310043335,0.0802490234375,0.007351025,0.0003,-0.0022330225838231854
180,22,1409024,6135.45,999,1269.98,4180,5409.73779296875,0.2,0.37427541613578796,-1.7338699638843535,13269.116609573364,0.8758383393287659,0.088232421875,0.008271414,0.0003,-0.0006663781070528785
180,23,1417216,6137.5405,1045,1263.86,4190,3136.95166015625,0.2,0.3738396465778351,-1.732233670912683,12900.09829864502,0.6711652874946594,0.07203369140625,0.0073590777,0.0003,-0.0019522340724506648
180,24,1425408,5886.7217,1092,1262.29,4200,3132.11279296875,0.2,0.3737436830997467,-1.7290448669344187,12373.208123016357,0.6820710897445679,0.0915771484375,0.009362621,0.0003,-0.0032333647472114536
179,25,1433600,5915.459,1138,1280.56,4210,4773.2294921875,0.2,0.3736209273338318,-1.7280450828373433,14530.184175491333,0.8005061447620392,0.0978271484375,0.008860175,0.0003,-0.0012337725273937395
