time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,train/approx_kl,train/value_loss,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/std,train/loss,train/n_updates,train/explained_variance,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
1081344,2405,301.0,33,449,409.90182,0.016050208,1532.0672419071198,0.005491066453123495,0.001,0.2,0.2080596923828125,0.8113558292388916,435.7899475097656,320,0.3320590853691101,-4.8247391283512115,,
1114112,2479,301.0,34,449,393.47714,0.029094884,1940.2755410671234,0.010678010272476968,0.001,0.2,0.2360687255859375,0.8069242238998413,1408.906494140625,330,0.22493386268615723,-4.81314347051084,,
1146880,2553,301.0,35,449,480.90607,0.016242733,3412.715603876114,0.006489889959266293,0.001,0.2,0.23621826171875,0.803138017654419,1461.1319580078125,340,0.1623581051826477,-4.779928476363421,,
1179648,2627,301.0,36,449,442.34152,0.02348413,3107.2351162195205,0.0064818196296073435,0.001,0.2,0.2096435546875,0.8015316724777222,559.087646484375,350,0.16597765684127808,-4.766890593245625,,
1212416,2700,301.0,37,448,487.83527,0.018218279,3803.118095397949,0.002895523514598608,0.001,0.2,0.2015716552734375,0.7954397201538086,837.049072265625,360,0.1361619234085083,-4.742095818370581,,
1245184,2774,301.0,38,448,382.4224,0.024694122,2998.7830905437468,0.005701687967848557,0.001,0.2,0.237078857421875,0.7896992564201355,2621.86083984375,370,0.18410354852676392,-4.70662455484271,,
1277952,2848,301.0,39,448,161.17162,0.014410859,1532.3310136795044,0.006710848631701083,0.001,0.2,0.1940185546875,0.7868154048919678,428.25079345703125,380,0.3902910351753235,-4.667730380967259,,
1310720,2922,301.0,40,448,237.36838,0.015892085,960.2358060359954,0.004872422775770246,0.001,0.2,0.17132568359375,0.7823787927627563,314.0157165527344,390,0.5415968894958496,-4.656157477200031,,
1343488,2996,301.0,41,448,336.30264,0.010376312,936.9322591781616,-0.00211377281066234,0.001,0.2,0.1412872314453125,0.7790239453315735,312.5234069824219,400,0.6125786304473877,-4.637934454530478,,
1376256,3071,301.0,42,448,374.8971,0.011286905,1777.6641906261443,-0.0011754943998312228,0.001,0.2,0.13902587890625,0.7728702425956726,508.0642395019531,410,0.4723523259162903,-4.609340775385499,,
1409024,3146,301.0,43,447,413.3101,0.009689709,934.3602900028229,-0.0002483290452801157,0.001,0.2,0.1314727783203125,0.7680988907814026,345.4653015136719,420,0.601041704416275,-4.5851017970591785,,
1441792,3221,301.0,44,447,616.88434,0.009533038,1256.213300204277,-0.0008552696738661325,0.001,0.2,0.1296112060546875,0.7583430409431458,398.9130859375,430,0.513556033372879,-4.532914494723082,,
