time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/clip_range,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/value_loss,train/std,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance
1,301.0,32768,565,57,-224.84526,,,,,,,,,,,
2,301.0,65536,500,130,-158.70538,0.2,0.001,0.1277313232421875,10,0.009106733,78.76199306547642,0.9952235221862793,-0.011426808143551171,-5.663463702239096,36.28871536254883,-2.5987625122070312e-05
3,301.0,98304,478,205,-10.880899,0.2,0.001,0.154644775390625,20,0.01064689,101.72421129494906,0.9894875288009644,-0.016572640348204003,-5.639458641596138,52.35706329345703,0.34963375329971313
4,301.0,131072,468,280,156.17166,0.2,0.001,0.1841583251953125,30,0.0114349425,400.8841449141502,0.9753469228744507,-0.016980441033501846,-5.59607915058732,52.26150894165039,0.2888622283935547
5,301.0,163840,461,354,164.33781,0.2,0.001,0.1544281005859375,40,0.010360962,2136.4274845421314,0.9635064005851746,-0.008522505862060825,-5.527112805470824,2205.162353515625,0.09881174564361572
6,301.0,196608,457,430,16.730274,0.2,0.001,0.1077056884765625,50,0.0077561107,3537.848679292202,0.9458236694335938,-0.0030984185108991367,-5.497651792690158,2189.96044921875,0.06476271152496338
7,301.0,229376,453,505,66.55112,0.2,0.001,0.1186798095703125,60,0.0077624843,555.116113883257,0.9446655511856079,-0.005335973146793549,-5.443239062465727,109.10742950439453,0.0075508952140808105
8,301.0,262144,451,581,104.103004,0.2,0.001,0.079168701171875,70,0.006665455,1332.1438803136348,0.9376181364059448,-0.0038957146065740746,-5.415165231004357,1189.025634765625,0.04794520139694214
9,301.0,294912,449,656,74.77581,0.2,0.001,0.08953857421875,80,0.007781171,1625.0567036449909,0.9272315502166748,-0.0037196350960130077,-5.391271950490773,130.93698120117188,0.19943881034851074
10,301.0,327680,447,732,22.433079,0.2,0.001,0.08946533203125,90,0.0073165316,1605.3076192200183,0.925428569316864,-0.0024807813769257337,-5.347400733269751,2383.26025390625,0.3502803444862366
11,301.0,360448,446,807,36.46728,0.2,0.001,0.0868408203125,100,0.00777084,761.0966942310333,0.9151682257652283,-0.0032216709261774666,-5.336852530390024,127.86186218261719,0.594279557466507
12,301.0,393216,444,883,37.601566,0.2,0.001,0.0839508056640625,110,0.006973761,1040.0477111816406,0.9051998257637024,-0.0018535633266765217,-5.313567271828651,113.54530334472656,0.5703889727592468
13,301.0,425984,443,960,61.83892,0.2,0.001,0.1096771240234375,120,0.007876746,1097.138564646244,0.8985884785652161,-0.004100366849706915,-5.267896368354559,181.25355529785156,0.4955677390098572
14,301.0,458752,442,1036,130.01132,0.2,0.001,0.1335784912109375,130,0.008371601,230.18536944389342,0.8955312371253967,-0.005713605381379239,-5.227817788720131,108.34516143798828,0.8125960826873779
15,301.0,491520,441,1112,192.7193,0.2,0.001,0.1432525634765625,140,0.010594486,215.45935753285886,0.8924989104270935,-0.006302113365654805,-5.194459355063737,114.41700744628906,0.7965557128190994
16,301.0,524288,441,1188,139.13165,0.2,0.001,0.1642730712890625,150,0.014346885,1975.1244957625865,0.8864109516143799,-6.570845739588549e-05,-5.190711860172451,849.2545776367188,0.27291208505630493
17,301.0,557056,440,1264,167.2848,0.2,0.001,0.1182098388671875,160,0.009588844,500.8661252260208,0.8807928562164307,-0.0007256833373730842,-5.166296510025859,111.86122131347656,0.5249488353729248
18,301.0,589824,440,1340,155.59213,0.2,0.001,0.1501983642578125,170,0.013547417,1910.0611620426178,0.8779985904693604,-0.0011291325801153107,-5.143691430427134,5883.1689453125,0.24721527099609375
19,301.0,622592,439,1416,253.06271,0.2,0.001,0.1515167236328125,180,0.011374388,856.5776678025723,0.8716895580291748,-0.0047040631071467946,-5.113913213275373,154.4381866455078,0.42625725269317627
20,301.0,655360,439,1492,344.6268,0.2,0.001,0.1541473388671875,190,0.010609476,2005.1466903209687,0.8675093650817871,-0.00024743467820371735,-5.089935133047402,210.36207580566406,0.2709527015686035
21,301.0,688128,438,1568,210.6534,0.2,0.001,0.1406463623046875,200,0.010900253,2884.22711917758,0.8604397177696228,0.0010778475635561334,-5.086528845317662,181.986572265625,0.16276657581329346
22,301.0,720896,438,1644,224.48424,0.2,0.001,0.1324981689453125,210,0.011045083,1454.9083289980888,0.8534882664680481,-0.0001441426038127247,-5.034985548257827,993.2442626953125,0.32203710079193115
23,301.0,753664,437,1720,314.3119,0.2,0.001,0.1294219970703125,220,0.010204153,878.8782173752785,0.843898594379425,-0.0017134281789367377,-4.996319412812591,219.5335693359375,0.47761160135269165
24,301.0,786432,437,1797,351.20978,0.2,0.001,0.13433837890625,230,0.010883469,1688.813823992014,0.8363351821899414,-0.0005094161099805205,-4.974696192890406,917.907470703125,0.3181699514389038
25,301.0,819200,437,1873,329.84012,0.2,0.001,0.145623779296875,240,0.010541039,2356.9101577341557,0.8304072022438049,-0.0006253779473809118,-4.932394584640861,762.1376953125,0.25177067518234253
26,301.0,851968,436,1950,422.96808,0.2,0.001,0.182958984375,250,0.013335049,1789.4008884549141,0.8268688917160034,-0.00016519108062311715,-4.904126102291047,317.6214294433594,0.3173702359199524
27,301.0,884736,436,2026,400.79657,0.2,0.001,0.21337890625,260,0.01767926,3411.5605066895487,0.8226266503334045,0.004259661171772677,-4.879035223647952,276.30841064453125,0.15686917304992676
28,301.0,917504,436,2103,545.883,0.2,0.001,0.197625732421875,270,0.016481288,2040.1463616371154,0.8110001683235168,0.002686913139405078,-4.846830996125936,336.3492736816406,0.25258439779281616
29,301.0,950272,435,2180,411.71042,0.2,0.001,0.2179107666015625,280,0.02143998,4199.728797769547,0.807255208492279,0.004915658831396286,-4.790828486531973,630.8831787109375,0.14397215843200684
30,301.0,983040,435,2257,403.5967,0.2,0.001,0.200921630859375,290,0.0146140475,2812.085112476349,0.8003025650978088,0.003880171116998099,-4.783006317354738,1927.2139892578125,0.18859755992889404
31,301.0,1015808,435,2334,493.89685,0.2,0.001,0.2224517822265625,300,0.01708308,2457.1436530470846,0.7920010685920715,7.2435756010236215e-06,-4.741331942752003,920.9607543945312,0.2788506746292114
