rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,train/explained_variance,train/std,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/value_loss
-209.18236,63,301.0,32768,1,512,,,,,,,,,,,
-126.260704,157,301.0,65536,2,416,-0.00014603137969970703,0.9972089529037476,0.001,0.160687255859375,0.008722095,10,0.2,-5.668092555738985,35.7185173034668,-0.009483873024419155,95.14289730042219
37.898285,251,301.0,98304,3,390,0.27892398834228516,0.9881981611251831,0.001,0.1572906494140625,0.010424238,20,0.2,-5.646073957532645,49.583106994628906,-0.017751556168332173,98.3843489304185
167.72275,344,301.0,131072,4,380,0.1493145227432251,0.9797831177711487,0.001,0.1650177001953125,0.010926103,30,0.2,-5.5994587481021885,4115.5654296875,-0.01561932991962749,678.4915168136358
152.02997,435,301.0,163840,5,375,0.08737850189208984,0.9711321592330933,0.001,0.13245849609375,0.007646294,40,0.2,-5.557588717341423,5644.11083984375,-0.007339344642196011,2930.43449857831
104.17793,527,301.0,196608,6,372,0.05317425727844238,0.9616307020187378,0.001,0.124493408203125,0.009510134,50,0.2,-5.526503881439567,562.3507690429688,-0.005053369780762295,2859.1235117912292
63.509342,617,301.0,229376,7,371,0.03990745544433594,0.9574074745178223,0.001,0.10147705078125,0.008837475,60,0.2,-5.489604924991727,1428.225341796875,-0.004317004247968726,1328.8735931158067
28.318903,707,301.0,262144,8,370,0.17574453353881836,0.9439388513565063,0.001,0.100897216796875,0.007976049,70,0.2,-5.462215696647763,4446.53857421875,-0.005842018804560212,777.8173614144325
57.57933,798,301.0,294912,9,369,0.5673572421073914,0.9330915212631226,0.001,0.0859161376953125,0.007193717,80,0.2,-5.409589944034815,127.93550109863281,-0.005304507330902197,235.71811497807502
85.111595,888,301.0,327680,10,368,0.7375554442405701,0.9203060269355774,0.001,0.0888885498046875,0.00843838,90,0.2,-5.333588251285255,91.18741607666016,-0.004954230950988858,229.46155499815941
106.34285,978,301.0,360448,11,368,0.7993300706148148,0.9106115102767944,0.001,0.091400146484375,0.0071204905,100,0.2,-5.303655379638076,123.32624816894531,-0.0041250201083130374,245.82395471930505
