rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/std,train/clip_fraction,train/explained_variance,train/clip_range,train/learning_rate,train/loss,train/approx_kl,train/value_loss,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
821.5666666666667,32768,1,368,88,1553.2788,,,,,,,,,,,,,
870.7619047619048,65536,2,349,187,2094.7466,0.0009099765677092364,0.3945985436439514,0.103314208984375,0.15589100122451782,0.2,0.0001,24432.998046875,0.010367792,47000.8224822998,2480,-1.947400982119143,,
947.5157894736842,98304,3,340,288,2998.286,0.00035320961324032397,0.3943869471549988,0.0701263427734375,0.24453657865524292,0.2,0.0001,13744.7646484375,0.008090908,36411.08674697876,2490,-1.9464073608629406,,
983.6,131072,4,334,391,3819.333,0.00023061048086674417,0.39427560567855835,0.072137451171875,0.31352806091308594,0.2,0.0001,10053.45703125,0.007958749,35501.201371765135,2500,-1.9448389529250563,,
1006.17,163840,5,332,493,4383.5176,0.0001959365385118872,0.39418473839759827,0.0578643798828125,0.2449723482131958,0.2,0.0001,14640.90625,0.0074499166,38631.36384887695,2510,-1.9437981558032333,,
978.89,196608,6,330,594,4487.2695,0.00019285657381260535,0.39409294724464417,0.0646331787109375,0.29008030891418457,0.2,0.0001,15170.375,0.008089995,35928.26983718872,2520,-1.9428494909778238,,
998.89,229376,7,328,697,4838.5977,-0.0002151824261090951,0.3940185606479645,0.056689453125,0.3080745339393616,0.2,0.0001,10613.3876953125,0.0067554964,33831.798036193846,2530,-1.9420247924514116,,
1004.78,262144,8,327,800,4765.669,-8.80523417436052e-05,0.3940427601337433,0.05513916015625,0.28464192152023315,0.2,0.0001,13722.244140625,0.006930433,36675.063915252686,2540,-1.9417131080292165,,
1023.42,294912,9,325,906,4908.4634,0.00023573333346575963,0.3939276337623596,0.0563140869140625,0.35470473766326904,0.2,0.0001,10810.5205078125,0.0066626994,32148.567234802245,2550,-1.9412813331931829,,
1034.43,327680,10,324,1009,4964.1616,0.0004273128779459512,0.393831342458725,0.0499725341796875,0.3471677303314209,0.2,0.0001,11066.8798828125,0.0066223624,34670.763369750974,2560,-1.9402309937402606,,
1056.61,360448,11,323,1112,5318.9795,0.0008957379952335032,0.39379629492759705,0.0637237548828125,0.34200745820999146,0.2,0.0001,9039.8583984375,0.007571962,32009.601812744142,2570,-1.9395399120636285,,
1039.65,393216,12,322,1217,4996.464,0.0022489509512524817,0.39379534125328064,0.072802734375,0.33736133575439453,0.2,0.0001,14143.6220703125,0.0076597882,32981.341868591306,2580,-1.9394022311083972,,
1054.17,425984,13,322,1322,5131.053,0.001020824433908274,0.393839955329895,0.07320556640625,0.38713037967681885,0.2,0.0001,52808.61328125,0.008164632,82332.12357711792,2590,-1.9396104346029461,,
1047.25,458752,14,320,1431,5149.833,0.0007625811249454273,0.39379361271858215,0.057659912109375,0.37967240810394287,0.2,0.0001,12786.37890625,0.006886074,31404.595182800294,2600,-1.93957025911659,,
1079.31,491520,15,319,1537,6310.54,0.0006643410897595459,0.3937353789806366,0.052154541015625,0.41826045513153076,0.2,0.0001,10985.6298828125,0.0064573484,33008.18464126587,2610,-1.9390235191211105,,
1022.4,524288,16,318,1646,5846.101,0.00040874958631320624,0.39360207319259644,0.0547393798828125,0.4680744409561157,0.2,0.0001,13735.6552734375,0.0071532624,30627.321686553954,2620,-1.9379902071319521,,
1029.66,557056,17,318,1750,6107.226,0.00022429857735914994,0.393493115901947,0.052484130859375,0.3511437773704529,0.2,0.0001,10476.0126953125,0.006752761,34497.06101074219,2630,-1.9367511591874063,,
1037.56,589824,18,318,1854,6287.143,0.0006422684835342806,0.39346247911453247,0.05982666015625,0.35750818252563477,0.2,0.0001,8637.828125,0.007033428,32843.91356277466,2640,-1.935914693493396,,
1069.38,622592,19,318,1957,7019.953,-0.001163788127087173,0.3933942914009094,0.058154296875,0.4411667585372925,0.2,0.0001,13055.8212890625,0.0069225626,30883.600382232667,2650,-1.935459671728313,,
1083.86,655360,20,317,2061,7334.4795,-0.0002612401292935829,0.39331692457199097,0.04969482421875,0.426247775554657,0.2,0.0001,9567.0458984375,0.0065181786,35522.3267616272,2660,-1.9347882981412112,,
1075.29,688128,21,317,2164,7332.284,0.0005853343729540939,0.39330077171325684,0.0545867919921875,0.3981095552444458,0.2,0.0001,10890.5029296875,0.006495841,34036.64698562622,2670,-1.9343076245859265,,
1085.62,720896,22,318,2264,7053.1787,0.0017234839820957858,0.39318108558654785,0.0650604248046875,0.46927154064178467,0.2,0.0001,9238.751953125,0.0075886953,30182.29685974121,2680,-1.933623236604035,,
1033.45,753664,23,318,2364,6740.7515,0.0002576737819254049,0.3930279016494751,0.0502838134765625,0.45493924617767334,0.2,0.0001,10114.5771484375,0.0065506543,34887.979413604735,2690,-1.9322743708267809,,
1009.9,786432,24,318,2466,6578.9316,0.000414316820933891,0.3930230438709259,0.048089599609375,0.4261196255683899,0.2,0.0001,12139.1826171875,0.0059754457,35495.161392211914,2700,-1.9314605966210365,,
1007.61,819200,25,318,2571,6753.178,0.0004505486082052812,0.3929683566093445,0.0537109375,0.38834989070892334,0.2,0.0001,13006.8037109375,0.006476477,36717.14648513794,2710,-1.9311971788294613,,
1018.13,851968,26,317,2681,6990.3364,2.375416297581978e-05,0.39293432235717773,0.04141845703125,0.44473332166671753,0.2,0.0001,12785.0615234375,0.005841575,37690.96729125977,2720,-1.930710389930755,,
