time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/approx_kl,train/loss,train/entropy_loss,train/explained_variance,train/std,train/n_updates
57,-224.11739,32768,301.0,569,1,,,,,,,,,,,
139,-163.24207,65536,301.0,471,2,0.125360107421875,88.11093728393317,0.2,0.001,-0.012264932709740606,0.007932039,30.632810592651367,-5.651632843911647,0.00012981891632080078,0.992538332939148,10
222,7.2271423,98304,301.0,442,3,0.1736663818359375,122.54368158280849,0.2,0.001,-0.017763965457743325,0.0115182195,69.22306060791016,-5.620783009752631,0.33497005701065063,0.9823861122131348,20
305,158.49017,131072,301.0,429,4,0.1735595703125,412.9793048232794,0.2,0.001,-0.016695693699284676,0.012107064,62.19434356689453,-5.570014393515885,0.2513861656188965,0.97291100025177,30
388,157.8573,163840,301.0,421,5,0.1353424072265625,2368.4323509454725,0.2,0.001,-0.007988150618939472,0.011390079,1808.3333740234375,-5.522590783052147,0.1020437479019165,0.9550265073776245,40
472,46.387573,196608,301.0,415,6,0.11087646484375,3378.522220981121,0.2,0.001,-0.005131500028073788,0.009093031,1420.5596923828125,-5.455628582462668,0.06354314088821411,0.9504750370979309,50
556,-0.95348436,229376,301.0,411,7,0.1015838623046875,1112.7669414341449,0.2,0.001,-0.0039155422593921685,0.007941562,142.2509765625,-5.429455112665892,-0.0593944787979126,0.9366732835769653,60
640,-21.201712,262144,301.0,409,8,0.067529296875,1106.0954805493354,0.2,0.001,-0.003720979389390777,0.007037662,120.89727783203125,-5.378086032532155,0.1110348105430603,0.9268577098846436,70
724,-42.408722,294912,301.0,407,9,0.0648468017578125,531.771544778347,0.2,0.001,-0.00370226501313482,0.007415413,101.49517822265625,-5.334418170154095,0.4951801896095276,0.9149964451789856,80
807,-45.034256,327680,301.0,405,10,0.0672943115234375,537.1077635884285,0.2,0.001,-0.002882663261698326,0.006785057,174.86941528320312,-5.286690285615623,0.6669299006462097,0.9108095765113831,90
891,-0.6636726,360448,301.0,404,11,0.079327392578125,296.8428081035614,0.2,0.001,-0.0030578920776861197,0.0069807824,116.2552490234375,-5.2739466713741425,0.8153517991304398,0.903980016708374,100
975,52.72233,393216,301.0,403,12,0.078277587890625,281.3015345752239,0.2,0.001,-0.004336164192500292,0.0067996243,140.67481994628906,-5.243449795804918,0.8514330089092255,0.8962084054946899,110
1059,55.49563,425984,301.0,402,13,0.0837615966796875,1184.0585816442967,0.2,0.001,-0.001639372572708453,0.0073985984,1782.070068359375,-5.220735010318458,0.6253032088279724,0.8913344144821167,120
1143,88.74068,458752,301.0,401,14,0.0978851318359375,277.60957423448565,0.2,0.001,-0.002789654991374846,0.008449655,137.40597534179688,-5.208875013887882,0.868594154715538,0.8891019225120544,130
1227,131.33788,491520,301.0,400,15,0.11419677734375,537.545500433445,0.2,0.001,-0.0018329180478303896,0.009455832,129.93064880371094,-5.199081547930836,0.7414673268795013,0.8853127956390381,140
1311,155.52153,524288,301.0,399,16,0.1095123291015625,251.47052768468856,0.2,0.001,-0.002705949634037097,0.008848321,116.13327026367188,-5.171362447738647,0.8221828639507294,0.8766089677810669,150
1395,217.89232,557056,301.0,399,17,0.1242950439453125,520.2949943840504,0.2,0.001,-0.0011912277417195582,0.010324217,131.47134399414062,-5.103288153558969,0.619687408208847,0.8634920120239258,160
1481,234.24156,589824,301.0,398,18,0.1394775390625,835.1743228793144,0.2,0.001,0.0002997318450070452,0.009884477,136.14788818359375,-5.077766489610076,0.448644757270813,0.8611513376235962,170
1566,232.46849,622592,301.0,397,19,0.1705535888671875,1316.1213805556297,0.2,0.001,0.0016805916889097716,0.013622718,1705.885498046875,-5.049634896777571,0.41155117750167847,0.8518884181976318,180
1651,243.38303,655360,301.0,396,20,0.1606109619140625,826.5460864841938,0.2,0.001,0.0008508692876148416,0.011967855,109.23870086669922,-4.986260812170803,0.5511730015277863,0.8415464758872986,190
1736,279.9528,688128,301.0,396,21,0.1508209228515625,584.7766574859619,0.2,0.001,0.0004171707963905646,0.013518484,149.68406677246094,-4.93224347345531,0.5657073557376862,0.8277732133865356,200
1820,312.67233,720896,301.0,395,22,0.172125244140625,1173.3413838922977,0.2,0.001,0.003093685433486826,0.013442524,249.68553161621094,-4.8922355899587275,0.38850200176239014,0.8240463733673096,210
1907,332.9375,753664,301.0,395,23,0.169384765625,1194.7541599214078,0.2,0.001,0.0028392782840910512,0.01587824,181.22218322753906,-4.863658932596445,0.37863969802856445,0.8138341307640076,220
1993,389.31262,786432,301.0,394,24,0.1876434326171875,1446.7633490264416,0.2,0.001,0.0023714011927950195,0.016626915,236.31529235839844,-4.816063222289086,0.37261897325515747,0.8045928478240967,230
2079,392.20987,819200,301.0,393,25,0.2236053466796875,2475.689888215065,0.2,0.001,0.004348438838269431,0.021693079,3110.156982421875,-4.766191631555557,0.30219560861587524,0.799373984336853,240
2164,440.2335,851968,301.0,393,26,0.197747802734375,2172.3026899278166,0.2,0.001,0.0011189393919266877,0.015522362,209.48292541503906,-4.743129900842905,0.35322850942611694,0.7955858111381531,250
2248,480.52823,884736,301.0,393,27,0.2326263427734375,1835.7155658245088,0.2,0.001,0.002407155327682631,0.021463238,236.4899139404297,-4.733273435756564,0.3212701082229614,0.7929026484489441,260
2333,460.32843,917504,301.0,393,28,0.2269622802734375,2394.861997795105,0.2,0.001,0.0018780782050725974,0.023472873,837.7036743164062,-4.707232277654112,0.28143906593322754,0.7848121523857117,270
2418,490.53476,950272,301.0,392,29,0.24820556640625,1945.2548361539841,0.2,0.001,0.007639107894874542,0.025698507,332.39154052734375,-4.665814124047756,0.32354801893234253,0.7825384140014648,280
2502,475.8798,983040,301.0,392,30,0.236724853515625,3466.285265505314,0.2,0.001,0.00787289093423169,0.021508964,1571.7550048828125,-4.67608506437391,0.2522971034049988,0.7777884006500244,290
2587,524.87146,1015808,301.0,392,31,0.193292236328125,2487.377771008015,0.2,0.001,0.0035799756416963644,0.016576031,2615.776611328125,-4.61747228614986,0.35994356870651245,0.7646610140800476,300
