time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/loss,train/clip_range,train/std,train/entropy_loss,train/value_loss,train/explained_variance,train/clip_fraction,train/approx_kl,train/learning_rate,train/policy_gradient_loss
332,1,1646592,4335.002,24,701.54,,,,,,,,,,,
271,2,1654784,3712.6138,60,652.08,4480,6602.16845703125,0.2,0.3870268762111664,-1.8705180428922177,29985.06561279297,0.47887468338012695,0.06021728515625,0.006532683,0.0003,-0.001180740588461049
256,3,1662976,2924.5703,95,584.17,4490,13742.9951171875,0.2,0.3870351016521454,-1.870347948372364,40406.85225830078,0.24202001094818115,0.0522705078125,0.0067589674,0.0003,-0.00030798689840594307
249,4,1671168,2754.3914,131,563.53,4500,10824.1513671875,0.2,0.3869762718677521,-1.8701447255909442,38336.97495117188,0.5027452111244202,0.035986328125,0.006030973,0.0003,-0.0012072177894879132
246,5,1679360,2342.4788,166,532.71,4510,14107.0390625,0.2,0.3869416415691376,-1.8695907920598984,36142.550390625,0.3900865316390991,0.07166748046875,0.006865115,0.0003,-0.001725097617600113
242,6,1687552,1677.5398,202,466.04,4520,15642.634765625,0.2,0.38694649934768677,-1.8694428563117982,37884.077465820315,0.3656381368637085,0.05989990234375,0.007135071,0.0003,0.0011847615387523547
237,7,1695744,1534.3392,241,452.62,4530,13425.1962890625,0.2,0.3869163393974304,-1.8693384014070034,37470.718688964844,0.4778740406036377,0.03157958984375,0.0046570194,0.0003,-0.0016728421598600108
235,8,1703936,1520.0641,278,449.28,4540,16238.345703125,0.2,0.38689014315605164,-1.869048848003149,43118.58223876953,0.3958137035369873,0.0351806640625,0.0052123144,0.0003,-0.0006392448281985708
232,9,1712128,1629.7504,317,454.78,4550,12065.4091796875,0.2,0.3868921101093292,-1.868912973999977,39280.87337646484,0.40047740936279297,0.03685302734375,0.0058938935,0.0003,-0.0014164529209665488
231,10,1720320,1941.1039,353,472.66,4560,9889.8193359375,0.2,0.3868602216243744,-1.868788443505764,33936.65603637695,0.37428057193756104,0.03057861328125,0.0048556337,0.0003,-0.002039430881268345
230,11,1728512,2041.318,390,479.37,4570,8263.546875,0.2,0.3868464529514313,-1.8685640931129455,31591.913305664064,0.4764162302017212,0.0351318359375,0.005488551,0.0003,-0.0009415606684342493
230,12,1736704,2025.1993,426,487.47,4580,7432.9423828125,0.2,0.3867759108543396,-1.8681174218654633,29175.74765625,0.3830004930496216,0.02310791015625,0.003907246,0.0003,-0.0004136636722250842
230,13,1744896,1844.2747,462,483.89,4590,9176.751953125,0.2,0.386746346950531,-1.8676160387694836,37578.24107666015,0.5035417079925537,0.02672119140625,0.004343538,0.0003,-0.0010324281174689531
230,14,1753088,1813.8555,498,478.33,4600,14026.640625,0.2,0.38673821091651917,-1.8673654325306415,34762.26483154297,0.5937377512454987,0.0203125,0.0036306405,0.0003,-0.0006511120394861791
230,15,1761280,1529.1747,534,464.48,4610,14928.5537109375,0.2,0.38671618700027466,-1.8672369465231895,35496.21854248047,0.624302089214325,0.03140869140625,0.004813597,0.0003,-0.0003153107449179515
229,16,1769472,1452.5175,570,467.7,4620,9717.705078125,0.2,0.3866897225379944,-1.8670247822999955,28971.761822509765,0.6859268844127655,0.04271240234375,0.005670618,0.0003,-0.00182933030591812
229,17,1777664,1269.0018,605,456.39,4630,10926.40625,0.2,0.386678010225296,-1.8667792528867722,32702.974084472655,0.580969512462616,0.051123046875,0.0059908195,0.0003,-0.0007467010742402636
229,18,1785856,1512.3978,641,463.87,4640,9490.4228515625,0.2,0.3866378962993622,-1.8665427044034004,33091.90822753906,0.5904910564422607,0.0510498046875,0.0068090837,0.0003,0.0006046204864105676
229,19,1794048,1478.6902,678,457.37,4650,14095.0712890625,0.2,0.3866289556026459,-1.8662484616041184,37752.86536865235,0.5612344145774841,0.03670654296875,0.0060992017,0.0003,-0.0010505325568374245
228,20,1802240,1708.3285,715,475.45,4660,12286.4189453125,0.2,0.386613130569458,-1.8661407761275768,35813.185766601564,0.2687329649925232,0.04072265625,0.006581722,0.0003,0.0011584520911128494
229,21,1810432,1761.861,750,468.44,4670,10425.888671875,0.2,0.3865980803966522,-1.8659574925899505,34782.280334472656,0.4909594655036926,0.04552001953125,0.0063016536,0.0003,-0.0009053682540979934
228,22,1818624,1910.764,788,474.75,4680,10178.845703125,0.2,0.3865608274936676,-1.8657101042568685,27893.195989990236,0.5442200899124146,0.03367919921875,0.005137701,0.0003,-0.0010256524350552355
228,23,1826816,1825.8945,824,468.9,4690,11899.568359375,0.2,0.3865371644496918,-1.8654102697968482,32514.036657714845,0.5028665065765381,0.04483642578125,0.0064126337,0.0003,-0.0009503394387138542
228,24,1835008,2006.2303,861,479.06,4700,9940.5546875,0.2,0.3864823877811432,-1.8650012835860252,28300.747204589843,0.471255362033844,0.06668701171875,0.0068832915,0.0003,-0.0006945518325665034
228,25,1843200,1920.9036,897,471.77,4710,10148.5322265625,0.2,0.3864920139312744,-1.8647161364555358,37541.82849121094,0.570047914981842,0.0337158203125,0.0048098513,0.0003,0.0001741220330586657
