time/fps,time/iterations,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/learning_rate,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/value_loss,train/std,train/n_updates,train/loss
278,1,8192,-50.86078,29,301.0,,,,,,,,,,,
279,2,16384,25.997063,58,301.0,4.6372413635253906e-05,0.005652048,0.001,0.05848388671875,0.2,-0.0031221285404171794,-5.68369996547699,3448.039270019531,1.0034499168395996,10,1725.4273681640625
283,3,24576,70.53451,86,301.0,0.003171563148498535,0.007639103,0.001,0.03365478515625,0.2,-0.0016168177360668778,-5.694354438781739,6642.746557617187,1.0058443546295166,20,3061.282470703125
286,4,32768,90.001884,114,301.0,0.0030374526977539062,0.009737838,0.001,0.07611083984375,0.2,-0.0022868416155688463,-5.700123262405396,5619.011791992188,1.006163477897644,30,2636.0830078125
288,5,40960,134.73451,141,301.0,0.005554378032684326,0.002823086,0.001,0.0019287109375,0.2,-0.0006016573141096159,-5.698991894721985,5672.878125,1.0057817697525024,40,2210.446533203125
289,6,49152,163.82143,169,301.0,0.020780563354492188,0.0020272639,0.001,0.00045166015625,0.2,-0.0006555044965352863,-5.698048782348633,5637.8482666015625,1.0056246519088745,50,3254.97607421875
289,7,57344,154.56203,197,301.0,0.0199507474899292,0.0024280408,0.001,0.00087890625,0.2,-0.0010597890592180192,-5.697404050827027,8913.248022460937,1.005413293838501,60,4592.36181640625
289,8,65536,171.25726,226,301.0,0.03165096044540405,0.003778856,0.001,0.0039306640625,0.2,-0.0015328148161643184,-5.696854186058045,6754.9607421875,1.0055180788040161,70,3253.620849609375
289,9,73728,180.99478,254,301.0,0.012990117073059082,0.0011790374,0.001,2.44140625e-05,0.2,-0.00020498735248111188,-5.697967314720154,10144.2955078125,1.0058860778808594,80,5116.5068359375
289,10,81920,186.60596,283,301.0,0.022155463695526123,0.003666102,0.001,0.0026123046875,0.2,-0.000718645384768024,-5.699284863471985,11073.376318359375,1.0061135292053223,90,6232.2822265625
289,11,90112,207.85551,310,301.0,0.058527469635009766,0.0020663468,0.001,0.000732421875,0.2,-7.254406227730215e-05,-5.699801826477051,10349.62197265625,1.0060853958129883,100,5332.57958984375
290,12,98304,202.94745,338,301.0,0.06537485122680664,0.00031371828,0.001,0.0,0.2,-0.0003385368414456025,-5.699675774574279,12742.304443359375,1.0061511993408203,110,6254.630859375
290,13,106496,223.56224,366,301.0,0.050365328788757324,0.0009136283,0.001,0.0,0.2,-0.0005113591614644974,-5.699742150306702,12084.6328125,1.0060356855392456,120,6217.7177734375
290,14,114688,270.1895,394,301.0,0.057844579219818115,0.00047025966,0.001,0.0,0.2,-0.0003420102526433766,-5.699094891548157,12274.266064453124,1.0058887004852295,130,6450.7724609375
291,15,122880,321.0378,421,301.0,0.049684762954711914,0.00047308175,0.001,0.0,0.2,-0.00022798346471972764,-5.698696804046631,19003.64853515625,1.0058375597000122,140,8578.1005859375
291,16,131072,338.1698,449,301.0,0.049752116203308105,0.0006243612,0.001,0.0,0.2,-0.0004865987808443606,-5.698407387733459,24659.545703125,1.0057425498962402,150,11433.9072265625
291,17,139264,323.9417,477,301.0,0.059899747371673584,0.00078009884,0.001,0.0,0.2,-0.00020297195296734572,-5.697999024391175,12182.997900390625,1.005613088607788,160,6538.27880859375
291,18,147456,254.21393,505,301.0,0.05366784334182739,0.00017030968,0.001,0.0,0.2,-9.064771293196828e-05,-5.697731471061706,16232.0140625,1.0056335926055908,170,8780.7841796875
