time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/std,train/value_loss,eval/mean_ep_length,eval/mean_reward
56,32768,1,301.0,577,-104.424644,,,,,,,,,,,,,
116,65536,2,301.0,564,-29.163113,10,0.001,3.987550735473633e-05,223.17681884765625,0.2,-5.690578610822558,0.062481689453125,-0.0011375512160157087,0.005159283,1.00388765335083,1359.5038126587867,,
177,98304,3,301.0,555,30.859888,20,0.001,0.006440401077270508,133.56919860839844,0.2,-5.69287831261754,0.0320098876953125,-0.0017895700422741357,0.005533303,1.0045430660247803,1988.1817236065865,,
237,131072,4,301.0,552,68.223625,30,0.001,0.04396188259124756,256.77349853515625,0.2,-5.6957395724952224,0.048101806640625,-0.002405202650334104,0.006122863,1.006425380706787,1871.4286369204522,,
297,163840,5,301.0,551,200.01555,40,0.001,0.0321507453918457,119.20161437988281,0.2,-5.693162405490876,0.0456268310546875,-0.001944317279230745,0.006767186,1.001999020576477,1123.8280585944653,,
356,196608,6,301.0,551,228.55852,50,0.001,0.028516650199890137,92.01070404052734,0.2,-5.678085111454129,0.041693115234375,-0.0019689115859364394,0.006073665,0.9992871284484863,2253.7596601247787,,
416,229376,7,299.64,550,244.68219,60,0.001,-0.02653324604034424,300.74554443359375,0.2,-5.675373909622431,0.042144775390625,-0.0007769938874844229,0.0049325284,0.9990653991699219,2961.7261097669602,,
477,262144,8,301.0,548,214.37576,70,0.001,-0.1575915813446045,2762.6572265625,0.2,-5.655792523548007,0.0503021240234375,-0.001055606020599953,0.0056876116,0.9899576902389526,2455.5963001608848,,
537,294912,9,301.0,548,286.1261,80,0.001,0.021321654319763184,181.71995544433594,0.2,-5.623534794151783,0.0767974853515625,-0.0013916604855694458,0.008018622,0.9811487197875977,2411.714517188072,,
596,327680,10,301.0,549,355.84204,90,0.001,0.016279935836791992,601.042724609375,0.2,-5.57344066388905,0.089459228515625,-0.0022117302258266138,0.007809353,0.9704824686050415,2527.3244096279145,,
656,360448,11,301.0,549,388.94974,100,0.001,0.0038594603538513184,549.6210327148438,0.2,-5.534004301950335,0.092181396484375,-0.0010714566982642283,0.0078979395,0.9620595574378967,2635.284936404228,,
717,393216,12,301.0,547,577.0543,110,0.001,-0.0016800165176391602,241.47109985351562,0.2,-5.500373859703541,0.1024627685546875,0.00047415239987458335,0.01115556,0.9520357847213745,2233.721975123882,,
777,425984,13,301.0,547,532.6145,120,0.001,0.025394320487976074,3190.19580078125,0.2,-5.467546439915895,0.084832763671875,0.0008482136381644523,0.008099115,0.948849081993103,4526.65187497139,,
837,458752,14,301.0,548,496.91824,130,0.001,-0.024674415588378906,452.0145568847656,0.2,-5.457887797057628,0.1116668701171875,0.001128536516262102,0.010406171,0.9472219944000244,4175.7190785169605,,
899,491520,15,301.0,546,432.7904,140,0.001,0.03917098045349121,398.8446044921875,0.2,-5.42763039842248,0.1120025634765625,-0.0008582086389651522,0.010824459,0.9397648572921753,2986.9245668411254,,
958,524288,16,301.0,546,562.56537,150,0.001,0.03679317235946655,240.15521240234375,0.2,-5.412135596200824,0.1147796630859375,-0.0010742571508671971,0.010027364,0.9323022365570068,2621.480340266228,,
1018,557056,17,301.0,547,502.56665,160,0.001,0.044848084449768066,257.6327209472656,0.2,-5.390112241730094,0.125372314453125,0.0002636932895256905,0.011264224,0.9306187033653259,3363.9865927934648,,
1079,589824,18,301.0,546,504.4764,170,0.001,0.06815367937088013,1677.8092041015625,0.2,-5.384705756604672,0.13848876953125,0.00013391508618951776,0.013149992,0.9302573204040527,2599.010854291916,,
1140,622592,19,301.0,545,665.1703,180,0.001,-0.055628299713134766,2087.396728515625,0.2,-5.375373131781816,0.166845703125,0.0012360810422251233,0.015180828,0.9267903566360474,3475.1475311756135,,
1201,655360,20,301.0,545,599.4469,190,0.001,-0.03116476535797119,1532.0223388671875,0.2,-5.365253514796495,0.17080078125,0.0011634311835223344,0.014532346,0.9249542951583862,3838.780412912369,,
1260,688128,21,301.0,545,664.9969,200,0.001,-0.007756471633911133,538.9439697265625,0.2,-5.352969039976597,0.1644073486328125,0.0001379288268253731,0.014894823,0.9215935468673706,3228.7875307559966,,
1320,720896,22,301.0,545,693.3462,210,0.001,0.008827805519104004,828.5152587890625,0.2,-5.331106617674232,0.1979461669921875,0.0011796629773016321,0.017707497,0.9184610247612,3730.643493747711,,
1379,753664,23,301.0,546,846.83624,220,0.001,0.003363668918609619,1466.972900390625,0.2,-5.327439273521304,0.1821441650390625,0.0005318924228049582,0.015930071,0.9150068163871765,3639.3622435808184,,
1439,786432,24,299.92,546,711.4105,230,0.001,-0.013005256652832031,1085.293212890625,0.2,-5.301867446303367,0.185235595703125,0.0017959546741622035,0.016477037,0.9091203808784485,4534.220717382431,,
1499,819200,25,301.0,546,806.6394,240,0.001,-0.0034433603286743164,358.3783874511719,0.2,-5.266771242767573,0.194561767578125,0.0012560862771351822,0.018538225,0.9002923965454102,3629.0835596084594,,
1559,851968,26,300.82,546,885.58765,250,0.001,0.0077550411224365234,2471.1416015625,0.2,-5.231269309297204,0.2229888916015625,0.001371518042651587,0.018932087,0.8927560448646545,4308.670053601265,,
1619,884736,27,301.0,546,935.4416,260,0.001,0.056189000606536865,1067.1021728515625,0.2,-5.184378303587437,0.22115478515625,0.0017566461454407544,0.020959396,0.8805332183837891,4986.364951181412,,
1681,917504,28,301.0,545,914.9782,270,0.001,0.04986560344696045,518.9231567382812,0.2,-5.1673605486750604,0.19404296875,0.00033445426015532576,0.017894449,0.8811753988265991,4880.791540622711,,
1742,950272,29,301.0,545,1056.8033,280,0.001,0.027979493141174316,634.7218627929688,0.2,-5.142361813411116,0.21722412109375,0.002091248135729984,0.020326141,0.873751699924469,4896.176240825653,,
1801,983040,30,301.0,545,1017.9373,290,0.001,0.1268254518508911,860.4359741210938,0.2,-5.105144443362951,0.2170318603515625,0.0013531799724660232,0.019460652,0.8632341027259827,5463.163132858276,,
1861,1015808,31,301.0,545,899.59467,300,0.001,0.05653864145278931,671.221435546875,0.2,-5.060206584632397,0.220782470703125,0.003339813264028635,0.020039078,0.8544961214065552,5911.896506881714,,
1920,1048576,32,300.01,545,747.1836,310,0.001,0.09698235988616943,386.25128173828125,0.2,-5.031845445930958,0.2188568115234375,0.0015022336388938128,0.01989029,0.8506662845611572,4884.990134000778,,
