time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,train/loss,train/value_loss,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/std,train/policy_gradient_loss,train/learning_rate
573,301.0,57,3290.5642,1,32768,,,,,,,,,,,
443,301.0,147,3188.9006,2,65536,5572.8671875,23443.50249786377,0.4896514892578125,0.07084781,630,0.16775637865066528,-4.383261236362159,0.2,0.7262376546859741,0.03976017570257682,0.001
411,301.0,238,3367.439,3,98304,4837.869140625,21453.974669456482,0.37420654296875,0.04014176,640,0.29273611307144165,-4.399330916069448,0.2,0.7285150289535522,0.018610724686186585,0.001
397,301.0,329,3557.404,4,131072,8547.90234375,20977.240225601196,0.361016845703125,0.03784676,650,0.299324631690979,-4.404213555529713,0.2,0.7294361591339111,0.016666928984795958,0.001
389,301.0,420,3310.9387,5,163840,3199.568603515625,21051.97521390915,0.34737548828125,0.035817698,660,0.307689905166626,-4.404160200245679,0.2,0.7281045317649841,0.016481885338998838,0.001
384,301.0,511,3379.9197,6,196608,3826.71435546875,18183.523742485046,0.3568939208984375,0.037256543,670,0.3680729269981384,-4.393397377617657,0.2,0.7257739305496216,0.018402356640399374,0.001
380,301.0,602,3705.8357,7,229376,7930.8232421875,19841.739844894408,0.3449798583984375,0.03466362,680,0.34884417057037354,-4.382357365451753,0.2,0.7243432402610779,0.014828737846619333,0.001
378,301.0,692,3421.2075,8,262144,6222.900390625,21810.227674007416,0.35355224609375,0.03741331,690,0.4168357849121094,-4.380777686461807,0.2,0.7253224849700928,0.017488841515023522,0.001
376,301.0,783,3491.7385,9,294912,2052.328369140625,18619.5008143425,0.3356048583984375,0.033365645,700,0.35348212718963623,-4.3782509880140426,0.2,0.7230877876281738,0.014304374559924327,0.001
374,301.0,875,3737.0588,10,327680,7620.998046875,19644.61635541916,0.333465576171875,0.03263023,710,0.376190721988678,-4.364940881542862,0.2,0.7206095457077026,0.014869350877916077,0.001
372,301.0,966,3551.3396,11,360448,4186.140625,20148.647489261628,0.3296142578125,0.03348215,720,0.37028753757476807,-4.355404606088996,0.2,0.7193633317947388,0.01502617629712404,0.001
371,301.0,1057,3726.461,12,393216,4219.0908203125,18092.254844379426,0.3210235595703125,0.032205213,730,0.4457385540008545,-4.341876108199358,0.2,0.7161428332328796,0.013663635141529084,0.001
370,301.0,1149,4136.7188,13,425984,3658.55712890625,19573.934719657896,0.34466552734375,0.034799244,740,0.3652634024620056,-4.326725087873638,0.2,0.7134889364242554,0.015494408426457084,0.001
369,301.0,1240,4362.786,14,458752,2570.279541015625,22628.776578235625,0.346038818359375,0.036611944,750,0.32931697368621826,-4.303350078873336,0.2,0.7090492248535156,0.015174199993998628,0.001
368,301.0,1332,4297.2593,15,491520,5119.0986328125,23641.9301527977,0.337469482421875,0.034961984,760,0.2689477205276489,-4.284571972116828,0.2,0.7065494060516357,0.01457282214478255,0.001
368,301.0,1424,4245.5044,16,524288,3712.180419921875,23186.106134796144,0.3720672607421875,0.038533892,770,0.4064098596572876,-4.281914471834898,0.2,0.7064569592475891,0.019660615977545603,0.001
367,301.0,1516,4602.9297,17,557056,4618.4697265625,21311.986608695985,0.3256195068359375,0.033075407,780,0.4637688994407654,-4.271140100061894,0.2,0.7036578059196472,0.01520328723008788,0.001
366,301.0,1607,4055.2776,18,589824,4946.3017578125,25523.533183288575,0.345892333984375,0.035714187,790,0.3733137249946594,-4.256612917222083,0.2,0.7013967037200928,0.018483733140783443,0.001
366,301.0,1699,4374.101,19,622592,6214.39501953125,22118.728561306,0.3349212646484375,0.03609907,800,0.48020219802856445,-4.252161680534482,0.2,0.7016919851303101,0.014182982465536042,0.001
365,301.0,1792,4490.3545,20,655360,7606.45068359375,24288.89539489746,0.3320404052734375,0.034310926,810,0.42664653062820435,-4.249947692453861,0.2,0.7006309032440186,0.016226068130163186,0.001
365,301.0,1884,4458.96,21,688128,4772.935546875,25581.566323661806,0.3411956787109375,0.034743793,820,0.3683987855911255,-4.247713802941144,0.2,0.7005736231803894,0.01676379652444666,0.001
364,301.0,1976,4404.649,22,720896,5934.46044921875,26312.40038986206,0.35311279296875,0.03828559,830,0.35591650009155273,-4.239624754525721,0.2,0.6983409523963928,0.01947673198146731,0.001
364,301.0,2068,4577.9297,23,753664,6451.79638671875,25371.24644203186,0.3531951904296875,0.037207507,840,0.3635702133178711,-4.229079935140907,0.2,0.6961572766304016,0.018149554866067775,0.001
363,301.0,2160,4819.3076,24,786432,3621.98486328125,27357.91878852844,0.3249481201171875,0.032384902,850,0.34802842140197754,-4.218139768019318,0.2,0.6948723793029785,0.01405368602913768,0.001
