time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/loss,train/entropy_loss,train/std,train/approx_kl,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1,326.8695652173913,39,417,585.4076,16384,,,,,,,,,,,,,
2,339.3333333333333,104,314,710.9748,32768,2480,13907.5966796875,-1.9469827946275473,0.3944891691207886,0.016519547,0.2,0.0003,0.167193603515625,0.003009609069704311,46602.24879760742,-0.004504680633544922,,
3,374.69,166,294,978.74646,49152,2490,16443.6875,-1.9457666210830211,0.3943701684474945,0.010236254,0.2,0.0003,0.094329833984375,0.0013955227124824888,46164.97326660156,0.15380597114562988,,
4,390.82,228,286,1066.8849,65536,2500,12990.974609375,-1.944465971365571,0.3942645788192749,0.008926822,0.2,0.0003,0.074102783203125,0.0025995911733843967,38863.287057495116,0.2748628258705139,,
5,410.42,291,280,1141.0361,81920,2510,5304.3447265625,-1.9431207008659839,0.39410385489463806,0.009898291,0.2,0.0003,0.098333740234375,0.0017661312951531727,27781.772845458985,0.3650975227355957,,
6,407.67,354,277,1093.9392,98304,2520,11108.7705078125,-1.941595521196723,0.3939518928527832,0.009435942,0.2,0.0003,0.08883056640625,0.0008343940860868315,32433.148626708986,0.385444700717926,,
7,413.7,417,274,1203.433,114688,2530,8517.1826171875,-1.939927802234888,0.3937753438949585,0.008662223,0.2,0.0003,0.08206787109375,0.0017636068147112382,31595.51198425293,0.46420711278915405,,
8,410.8,480,272,1216.292,131072,2540,7236.6357421875,-1.9381888840347528,0.3936099410057068,0.0074389027,0.2,0.0003,0.063336181640625,-0.0005029597450629808,26852.644033813478,0.5363082587718964,,
9,436.81,542,271,1421.9426,147456,2550,6739.35986328125,-1.9365212500095368,0.3934710621833801,0.0072712614,0.2,0.0003,0.058233642578125,-0.0008501483476720751,26471.62407836914,0.5129295289516449,,
10,465.71,605,270,1579.3718,163840,2560,8947.8837890625,-1.9348117429763079,0.3932889401912689,0.00790188,0.2,0.0003,0.067718505859375,0.0005138844393513864,26934.497827148436,0.48812222480773926,,
