time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/learning_rate
1,58,-225.64684,563,32768,301.0,,,,,,,,,,,
2,170,-125.39107,384,65536,301.0,50.830345153808594,10,-5.674475864786655,-0.010828191694963607,0.008593092,84.7336908146739,0.2,0.1392974853515625,0.0004341602325439453,0.9994357228279114,0.001
3,284,50.46671,345,98304,301.0,83.35405731201172,20,-5.651009973324835,-0.018155497528778142,0.01043905,102.47493042349815,0.2,0.161444091796875,0.3118036389350891,0.9940804243087769,0.001
4,399,130.74586,327,131072,301.0,56.096336364746094,30,-5.612415562476963,-0.014553983740779586,0.010746786,925.3063108213246,0.2,0.16751708984375,0.10422742366790771,0.9774104356765747,0.001
5,514,195.30646,318,163840,301.0,1868.505126953125,40,-5.540960682090372,-0.012220153121347721,0.011075336,1544.3920662492515,0.2,0.157147216796875,0.10715490579605103,0.9674645066261292,0.001
6,632,111.09397,311,196608,301.0,659.2186279296875,50,-5.5266229713335635,-0.0006622365827070098,0.008193573,4396.421922117472,0.2,0.1517120361328125,0.03503984212875366,0.9690561890602112,0.001
7,749,69.50479,306,229376,301.0,214.04225158691406,60,-5.51875565983355,-0.005420304721974389,0.007930797,2597.635437351465,0.2,0.0908294677734375,0.01979529857635498,0.961854100227356,0.001
8,865,7.781298,303,262144,301.0,113.21800231933594,70,-5.493931597750634,-0.004206331323462109,0.006174665,1638.5432354420423,0.2,0.0652374267578125,0.0643647313117981,0.9502944946289062,0.001
9,980,-12.804,300,294912,301.0,156.0836639404297,80,-5.435168366972357,-0.00421712881370695,0.006763109,791.9362640917301,0.2,0.0592498779296875,0.4180384874343872,0.9434561729431152,0.001
10,1096,-55.90379,298,327680,301.0,124.13762664794922,90,-5.411328992620111,-0.00364515537414718,0.0062807477,1120.329843762517,0.2,0.0736724853515625,0.5002591609954834,0.9278964996337891,0.001
11,1213,-3.1425245,297,360448,301.0,176.89971923828125,100,-5.354791643004864,-0.0028917634944718882,0.0054741604,561.1958140149712,0.2,0.062628173828125,0.7259194254875183,0.9180324077606201,0.001
12,1330,6.955218,295,393216,301.0,186.4546661376953,110,-5.297223290614784,-0.0027709706108907995,0.0073764715,875.1121159911156,0.2,0.0743682861328125,0.672806978225708,0.9072942137718201,0.001
13,1448,6.441638,294,425984,301.0,342.7274475097656,120,-5.2637356383726,-0.002283946936472603,0.0067059007,1235.2408028781415,0.2,0.07059326171875,0.6341522634029388,0.9008821249008179,0.001
14,1568,78.386314,292,458752,301.0,752.2637329101562,130,-5.2361333589069545,-0.002800634299728699,0.007693718,925.9778638511896,0.2,0.0910247802734375,0.6759507656097412,0.8979341387748718,0.001
15,1690,115.935555,290,491520,301.0,112.35579681396484,140,-5.230666228290647,-0.0027152117693503897,0.0072091073,600.210752466321,0.2,0.09561767578125,0.693192183971405,0.8930161595344543,0.001
16,1810,126.4917,289,524288,301.0,119.71179962158203,150,-5.199964131321758,-0.0008808417845784788,0.007304893,552.7797514498234,0.2,0.0963775634765625,0.6181394159793854,0.8932909965515137,0.001
17,1930,126.97164,288,557056,301.0,91.27000427246094,160,-5.199585202708841,-0.0009032107357143104,0.008885043,812.3069714039564,0.2,0.1000946044921875,0.5068264007568359,0.8887899518013,0.001
18,2049,120.79767,287,589824,301.0,167.72113037109375,170,-5.18041558759287,-0.002317445974290422,0.009881799,1101.7708328574895,0.2,0.114581298828125,0.4456803798675537,0.8796858787536621,0.001
19,2169,165.836,286,622592,301.0,143.62667846679688,180,-5.145297722332179,-0.0028900291965328504,0.009150188,809.8498278141021,0.2,0.119793701171875,0.5629277527332306,0.8801282048225403,0.001
20,2289,202.73164,286,655360,301.0,101.53999328613281,190,-5.139436312578619,-0.0033992843642181468,0.011047067,1064.5562177032232,0.2,0.141766357421875,0.4874715805053711,0.8737184405326843,0.001
21,2409,276.3915,285,688128,301.0,85.44496154785156,200,-5.105973680783063,-0.0044617929344212826,0.010565345,265.72988014519217,0.2,0.1522369384765625,0.7821884155273438,0.8684970736503601,0.001
22,2528,332.40707,285,720896,301.0,376.27685546875,210,-5.0751525807194415,-0.0019492919645699657,0.013564986,1450.3500860765575,0.2,0.1725921630859375,0.3378943204879761,0.8647786974906921,0.001
23,2647,287.9081,284,753664,301.0,3185.37158203125,220,-5.072984703071415,0.002362336773194329,0.013187121,2260.6013499438764,0.2,0.1812225341796875,0.19525599479675293,0.8607329726219177,0.001
24,2767,282.94708,284,786432,301.0,4576.7978515625,230,-5.045291035436094,0.002679766132951045,0.013287403,1657.1373941510915,0.2,0.1750396728515625,0.2385876178741455,0.8602669835090637,0.001
25,2886,317.49078,283,819200,301.0,160.26536560058594,240,-5.040750412736088,-0.00028444351260077384,0.011052685,1456.0941273987294,0.2,0.1532318115234375,0.31812459230422974,0.8530065417289734,0.001
26,3006,492.60797,283,851968,301.0,620.5330810546875,250,-5.0023501451127235,-0.0013946338897994793,0.011797658,2350.050747719407,0.2,0.1508148193359375,0.25949209928512573,0.8463168144226074,0.001
27,3126,368.6385,283,884736,301.0,206.74266052246094,260,-4.984431113768369,0.001676065756123535,0.010251755,5573.212953966856,0.2,0.1345794677734375,0.13174867630004883,0.8420787453651428,0.001
28,3245,420.82608,282,917504,301.0,242.5626678466797,270,-4.955768013931811,0.002687021593692407,0.009614046,2921.3621414482595,0.2,0.12066650390625,0.2074107527732849,0.835484504699707,0.001
29,3365,360.5752,282,950272,301.0,2549.756103515625,280,-4.9310971782542765,0.0025304042454081356,0.014052942,3441.1920193076135,0.2,0.1585845947265625,0.14189517498016357,0.8343222737312317,0.001
30,3485,346.00168,282,983040,301.0,298.54248046875,290,-4.9065783669240775,-0.00042051971654473165,0.012896127,2572.6151069492103,0.2,0.1580047607421875,0.16159504652023315,0.8296797871589661,0.001
31,3606,402.4149,281,1015808,301.0,8501.21875,300,-4.8799296473152936,-0.0008052668553318654,0.014196316,3167.184375613928,0.2,0.178814697265625,0.17514467239379883,0.8218201398849487,0.001
