time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/loss,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/clip_fraction,train/clip_range
393216,830,473,-496.90555,301.0,12,1555.4331,110,2.662410259246826,-9.131990848481655,0.01,176.4109344482422,324.8986662149429,0.2100304993975442,-2.384185791015625e-07,0.998309326171875,0.2
425984,898,474,-496.60565,301.0,13,583.38855,120,2.480867624282837,-8.952065733075141,0.01,209.29513549804688,382.4973921060562,0.22167269928359018,0.0,0.9984130859375,0.2
458752,967,474,-1816.3242,153.47,14,4249.8613,130,3.1990303993225098,-9.52791718840599,0.01,187.44384765625,388.87026677131655,0.2215744400404219,-1.1920928955078125e-07,0.998345947265625,0.2
491520,1036,474,-1717.2834,124.08,15,2219.251,140,3.177555799484253,-9.66845208108425,0.01,15495.33984375,35971.397497558595,0.2492154245468555,-1.1920928955078125e-07,0.905462646484375,0.2
524288,1106,473,-1697.001,124.03,16,564.6327,150,3.0708229541778564,-9.62956761419773,0.01,12228.3291015625,28533.835119628908,0.2658607759152801,0.0,0.9107696533203125,0.2
557056,1176,473,-646.76245,293.92,17,796.17957,160,3.1924357414245605,-9.927771739661694,0.01,9964.3857421875,20889.878771972657,0.28075556853091255,1.1920928955078125e-07,0.932415771484375,0.2
589824,1254,470,-496.6994,301.0,18,65.33148,170,3.3666281700134277,-10.301928499341011,0.01,3074.48095703125,5607.587125015259,0.19537246694417262,1.1920928955078125e-07,0.94110107421875,0.2
622592,1325,469,-496.92172,301.0,19,923.09204,180,3.963465929031372,-10.810787270963193,0.01,2373.301513671875,4439.914199447632,0.20763698656519408,0.0,0.9501922607421875,0.2
655360,1393,470,-496.7714,301.0,20,220.2975,190,3.9310555458068848,-10.879206950962544,0.01,1650.2841796875,3217.4842264175413,0.208318136887101,0.0,0.9511688232421875,0.2
688128,1461,470,-496.5321,301.0,21,534.0802,200,4.153348445892334,-11.152582804858685,0.01,1404.0538330078125,2383.1482397079467,0.21316245080452062,0.0,0.95941162109375,0.2
720896,1535,469,-496.2642,301.0,22,57.539314,210,4.062766075134277,-11.054040358960629,0.01,1003.4546508789062,1830.2335772514343,0.2151998822270798,0.0,0.967572021484375,0.2
753664,1612,467,-496.51157,301.0,23,88.54369,220,4.372557640075684,-11.23837449401617,0.01,740.6033935546875,1236.197655105591,0.20418765725953564,0.0,0.969769287109375,0.2
786432,1682,467,-496.8124,301.0,24,156.80403,230,4.714488983154297,-11.494635750353336,0.01,553.5557861328125,1154.8933135986329,0.21343255040119402,0.0,0.9774322509765625,0.2
819200,1753,467,-496.95508,301.0,25,351.22507,240,4.466019153594971,-11.31884613186121,0.01,482.44415283203125,981.8357003211975,0.21676269892304845,0.0,0.9781219482421875,0.2
851968,1825,466,-496.63593,301.0,26,40.049088,250,5.012319564819336,-11.939721824228764,0.01,392.7568664550781,841.8322155475616,0.21969575363473268,0.0,0.9869781494140625,0.2
884736,1897,466,-496.33636,301.0,27,48.07907,260,7.568544864654541,-13.566166424751282,0.01,465.2279968261719,737.2159232139587,0.2199433291083551,5.960464477539063e-08,0.985174560546875,0.2
917504,1966,466,-1111.6681,301.0,28,150.64651,270,7.683366775512695,-13.755277667939662,0.01,317.11163330078125,565.4303388118744,0.2102613999373716,1.1920928955078125e-07,0.9831146240234375,0.2
950272,2037,466,-1847.271,155.28,29,25.907187,280,8.706562042236328,-14.249358354508876,0.01,511.6335144042969,998.0510375976562,0.2542914373218082,0.0,0.9312103271484375,0.2
983040,2107,466,-1862.557,139.92,30,18.349737,290,9.5216064453125,-14.512543866038323,0.01,17854.490234375,31476.801531982423,0.22795760089502437,0.0,0.819061279296875,0.2
1015808,2180,465,-1862.0632,139.88,31,43.928032,300,9.823736190795898,-14.73486652225256,0.01,15165.6474609375,35571.781573486325,0.19531228619471222,0.0,0.7581634521484375,0.2
