time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/std,train/entropy_loss,train/learning_rate,train/value_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
16384,511,627.75,1,1252.8293,32,,,,,,,,,,,,,
32768,351,665.695652173913,2,2151.1604,93,3981.66796875,0.2,0.015616976,0.192083740234375,0.006783317312692816,2480,0.3949397802352905,-1.9491301368921996,0.0003,17863.587648010252,0.061971068382263184,,
49152,316,667.7941176470588,3,2401.1394,155,3887.499755859375,0.2,0.01075271,0.112939453125,0.002576244641386438,2490,0.39470720291137695,-1.9495335721410811,0.0003,18558.86112060547,0.18488752841949463,,
65536,299,691.5393258426966,4,2707.6384,218,3918.5,0.2,0.011717627,0.12545166015625,0.0015489796143810964,2500,0.394514262676239,-1.947072030045092,0.0003,16368.821766090394,0.21822553873062134,,
81920,290,703.84,5,3016.0657,281,4633.00146484375,0.2,0.01120479,0.113299560546875,0.0018134807791284403,2510,0.3944401443004608,-1.945642737671733,0.0003,18488.88670463562,0.24598968029022217,,
98304,285,722.88,6,3200.2646,344,3344.789794921875,0.2,0.01180459,0.130169677734375,-0.00020493754509516294,2520,0.3943374454975128,-1.94461332494393,0.0003,18356.9656457901,0.1894184947013855,,
114688,281,745.54,7,3481.03,407,5132.3076171875,0.2,0.011924617,0.1337158203125,0.003001437396505935,2530,0.39446839690208435,-1.9445994406938554,0.0003,18008.857913589476,0.17395156621932983,,
131072,278,775.37,8,3766.6252,470,4345.20068359375,0.2,0.012728379,0.1462890625,0.0031437437455679174,2540,0.3943340480327606,-1.944669716898352,0.0003,18329.072511672974,0.08925622701644897,,
147456,276,789.01,9,3946.2705,533,6167.0244140625,0.2,0.0119824335,0.1226318359375,0.003587450687518867,2550,0.3939993381500244,-1.9421774817630648,0.0003,15455.44556541443,0.2803274393081665,,
163840,274,807.23,10,4201.0435,597,3736.076171875,0.2,0.010985143,0.11494140625,0.001956330288339814,2560,0.3937298059463501,-1.9394241645000876,0.0003,15060.353001403808,0.25783616304397583,,
