time/fps,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/learning_rate,train/approx_kl,train/std,train/policy_gradient_loss,train/loss,train/clip_range,train/clip_fraction,train/entropy_loss,train/n_updates,train/value_loss
418,1,32768,78,-104.43729,301.0,,,,,,,,,,,
375,2,65536,174,-71.763405,301.0,1.3589859008789062e-05,0.001,0.0059318785,1.0075160264968872,-0.0013400176346294757,120.1582260131836,0.2,0.0862945556640625,-5.699693461880088,10,1585.9885744214057
362,3,98304,271,-14.94077,301.0,0.022210299968719482,0.001,0.00838416,0.9981843829154968,-0.004852852790736506,384.1644592285156,0.2,0.0908935546875,-5.68108448535204,20,1095.3982651025058
355,4,131072,368,93.10664,301.0,0.0688508152961731,0.001,0.0084034875,0.9870492219924927,-0.0031561326835344516,399.96221923828125,0.2,0.089239501953125,-5.649145650118589,30,1325.863396793604
351,5,163840,465,119.41158,301.0,0.01619899272918701,0.001,0.008837405,0.9815593957901001,-0.002579498456543661,2527.2177734375,0.2,0.0779571533203125,-5.617001977935433,40,1756.58599755764
348,6,196608,563,299.2241,301.0,0.012887060642242432,0.001,0.008904217,0.9778640270233154,-0.002526823688458535,506.826171875,0.2,0.071575927734375,-5.58920917250216,50,1482.8647819161415
346,7,229376,662,227.82036,301.0,-0.01524507999420166,0.001,0.007260659,0.976979672908783,-0.0006589503629584215,4435.51904296875,0.2,0.06468505859375,-5.584107103571296,60,3245.2723212003707
